round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.9725452614948153,0.7169943820224719,0.22350674373795762,0.6922075152397156,0.9909589447161702,0.9594594594594594,0.5503875968992248,0.6995073891625616,0.8470995242010866,0.5940094519607556,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5042324066162109,3143280,0.7444790277160219,0.05471803461753211,0.7596899224806202,0.10208333333333333,0.8470995242010866,0.5940094519607556,0.25581746751284373,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.9704139977693558,0.8718398876404494,0.2829076620825147,0.6903401613235474,0.9908107306951237,0.9466666666666667,0.5503875968992248,0.696078431372549,0.8343447867104279,0.5969897087342643,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5043017864227295,3143280,0.8984733955832221,0.12330623306233063,0.7054263565891473,0.209919261822376,0.8343447867104279,0.5969897087342643,0.0977636748262315,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.9704000521451235,0.8829002808988764,0.288153681963714,0.6890289783477783,0.990514302653031,0.922077922077922,0.5503875968992248,0.6893203883495146,0.8352186074623824,0.6031332608074673,0.0009066183136899365,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5050653219223022,3143280,0.9119608714984437,0.13953488372093023,0.6976744186046512,0.23255813953488372,0.8352186074623824,0.6031332608074673,0.08386219401631913,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.9669378055259585,0.8716643258426966,0.29235237173281703,0.6879173517227173,0.9908107306951237,0.971830985915493,0.5348837209302325,0.69,0.8396890322610873,0.6094631920790391,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5091391801834106,3143280,0.8963983992885727,0.1220159151193634,0.7131782945736435,0.20838052095130238,0.8396890322610873,0.6094631920790391,0.10003022061045633,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.9687103368341923,0.8393609550561798,0.2766798418972332,0.6871251463890076,0.9908107306951237,0.971830985915493,0.5348837209302325,0.69,0.8435310323501093,0.6138345361073883,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5129262804985046,3143280,0.868089521268712,0.09820485744456177,0.7209302325581395,0.17286245353159851,0.8435310323501093,0.6138345361073883,0.1290420066485343,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.9683561017736793,0.8033707865168539,0.26412614980289095,0.6866511106491089,0.9908107306951237,0.971830985915493,0.5348837209302325,0.69,0.8471364214580391,0.6198101325001215,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5166585445404053,3143280,0.8341485104490884,0.08050847457627118,0.7364341085271318,0.14514896867838045,0.8471364214580391,0.6198101325001215,0.16394681172559686,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.9580813171342015,0.7643960674157303,0.24606741573033708,0.6862987875938416,0.9908107306951237,0.958904109589041,0.5426356589147286,0.693069306930693,0.850550296232263,0.6235781301933755,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5172460675239563,3143280,0.8067289165555062,0.07022677395757132,0.7441860465116279,0.12834224598930483,0.850550296232263,0.6235781301933755,0.1920519794499849,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.9621010730043054,0.7384129213483146,0.2358974358974359,0.6859042644500732,0.9909589447161702,0.9594594594594594,0.5503875968992248,0.6995073891625616,0.8530183127528634,0.6268838975171548,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5201326608657837,3143280,0.7922039424929599,0.06552901023890785,0.7441860465116279,0.12045169385194479,0.8530183127528634,0.6268838975171548,0.20686007857358718,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.9655902171507478,0.7255969101123596,0.23644357596482657,0.685404896736145,0.9909589447161702,0.9722222222222222,0.5426356589147286,0.6965174129353234,0.8556145911666796,0.6302367723726985,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.523889422416687,3143280,0.7861271676300579,0.0643236074270557,0.751937984496124,0.11850946854001222,0.8556145911666796,0.6302367723726985,0.21320640676941674,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.9613625248894095,0.7271769662921348,0.23823529411764705,0.6846030950546265,0.9909589447161702,0.9358974358974359,0.5658914728682171,0.7053140096618358,0.858032240003186,0.6342221905242573,0.0007555152614082804,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5216620564460754,3143280,0.7923521565140063,0.06616643929058663,0.751937984496124,0.12163009404388715,0.858032240003186,0.6342221905242573,0.20686007857358718,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
