feature,average_precision_direct,average_precision_inverse,average_precision_best_direction,constant_training_source,in_full,in_no_constants,in_no_constants_no_corr,in_top_ap_40
P1_B2004,0.005449335521047193,0.005564262811543445,0.005564262811543445,False,True,True,True,True
P1_B2016,0.004867551591207167,0.0046095032539638855,0.004867551591207167,False,True,True,True,False
P1_B3004,0.005593268192356815,0.005291761562080776,0.005593268192356815,False,True,True,True,True
P1_B3005,0.004753529647622951,0.00508914250783642,0.00508914250783642,False,True,True,False,False
P1_B4002,0.007050511975306151,0.004695594687342144,0.007050511975306151,False,True,True,True,True
P1_B4005,0.004721019477528811,0.004317262731966392,0.004721019477528811,False,True,True,False,False
P1_B400B,0.006654584457839504,0.003876616507210379,0.006654584457839504,False,True,True,True,True
P1_B4022,0.0054691773154160435,0.003947866086506205,0.0054691773154160435,False,True,True,True,False
P1_FCV01D,0.004985640292851905,0.004438753941790729,0.004985640292851905,False,True,True,True,False
P1_FCV01Z,0.004791204536507841,0.004346392912312383,0.004791204536507841,False,True,True,False,False
P1_FCV02D,0.004479708546032671,0.0050470287651937645,0.0050470287651937645,False,True,True,True,False
P1_FCV02Z,0.0039400396435398085,0.0065969253023351136,0.0065969253023351136,False,True,True,True,True
P1_FCV03D,0.05670749059077966,0.039233154096764804,0.05670749059077966,False,True,True,True,True
P1_FCV03Z,0.052410865156923406,0.044752805045966196,0.052410865156923406,False,True,True,False,True
P1_FT01,0.18208416944864578,0.11499524302931238,0.18208416944864578,False,True,True,True,True
P1_FT01Z,0.18080467779139048,0.10849293426473275,0.18080467779139048,False,True,True,True,True
P1_FT02,0.0066282940796702884,0.0038818130665692397,0.0066282940796702884,False,True,True,False,True
P1_FT02Z,0.006640030778663725,0.0038782397995146102,0.006640030778663725,False,True,True,False,True
P1_FT03,0.04480770140194518,0.02581198624309009,0.04480770140194518,False,True,True,True,True
P1_FT03Z,0.044098508142499895,0.026006320354627976,0.044098508142499895,False,True,True,False,True
P1_LCV01D,0.28280187120456646,0.08416527593176926,0.28280187120456646,False,True,True,True,True
P1_LCV01Z,0.2776723123031608,0.08795203071893569,0.2776723123031608,False,True,True,False,True
P1_LIT01,0.03369900511970211,0.12652874616597745,0.12652874616597745,False,True,True,True,True
P1_PCV01D,0.004830451779151101,0.12016856327082205,0.12016856327082205,False,True,True,True,True
P1_PCV01Z,0.005469395298306532,0.12004115779968554,0.12004115779968554,False,True,True,False,True
P1_PCV02D,0.06145241576801937,0.004451300219551199,0.06145241576801937,False,True,True,True,True
P1_PCV02Z,0.0739228529785788,0.006023904523583511,0.0739228529785788,False,True,True,True,True
P1_PIT01,0.04247634597848907,0.11701697226177318,0.11701697226177318,False,True,True,True,True
P1_PIT02,0.004894133385511413,0.004224402635781763,0.004894133385511413,False,True,True,True,False
P1_PP01AD,0.0,0.0,0.0,True,True,False,False,False
P1_PP01AR,0.0,0.0,0.0,True,True,False,False,False
P1_PP01BD,0.0,0.0,0.0,True,True,False,False,False
P1_PP01BR,0.0,0.0,0.0,True,True,False,False,False
P1_PP02D,0.0,0.0,0.0,True,True,False,False,False
P1_PP02R,0.0,0.0,0.0,True,True,False,False,False
P1_STSP,0.0,0.0,0.0,True,True,False,False,False
P1_TIT01,0.008010183802370664,0.005319471460941713,0.008010183802370664,False,True,True,True,True
P1_TIT02,0.009628846439625442,0.003759289989144067,0.009628846439625442,False,True,True,True,True
P2_24Vdc,0.004253411331982039,0.005321187290546681,0.005321187290546681,False,True,True,True,False
P2_ASD,0.0,0.0,0.0,True,True,False,False,False
P2_AutoGO,0.0,0.0,0.0,True,True,False,False,False
P2_CO_rpm,0.047438472082260166,0.08138168543222998,0.08138168543222998,False,True,True,True,True
P2_Emerg,0.04301984565564026,0.004479550157358996,0.04301984565564026,False,True,True,True,True
P2_HILout,0.0052511782760558574,0.008150530479502587,0.008150530479502587,False,True,True,True,True
P2_MSD,0.0,0.0,0.0,True,True,False,False,False
P2_ManualGO,0.0,0.0,0.0,True,True,False,False,False
P2_OnOff,0.004472893274382014,0.042616901741940244,0.042616901741940244,False,True,True,True,True
P2_RTR,0.0,0.0,0.0,True,True,False,False,False
P2_SIT01,0.032248564244572175,0.07191022228250721,0.07191022228250721,False,True,True,False,True
P2_SIT02,0.032456764873546096,0.07250784872204499,0.07250784872204499,False,True,True,True,True
P2_TripEx,0.0,0.0,0.0,True,True,False,False,False
P2_VT01,0.00739035805571365,0.052446880584263944,0.052446880584263944,False,True,True,True,True
P2_VTR01,0.0,0.0,0.0,True,True,False,False,False
P2_VTR02,0.0,0.0,0.0,True,True,False,False,False
P2_VTR03,0.0,0.0,0.0,True,True,False,False,False
P2_VTR04,0.0,0.0,0.0,True,True,False,False,False
P2_VXT02,0.042216647219862936,0.007007105438698242,0.042216647219862936,False,True,True,True,True
P2_VXT03,0.034432867410378716,0.005152047264587054,0.034432867410378716,False,True,True,True,True
P2_VYT02,0.0033791772530033346,0.0503159998314827,0.0503159998314827,False,True,True,True,True
P2_VYT03,0.0032548752742288358,0.04908948150382823,0.04908948150382823,False,True,True,True,True
P3_FIT01,0.01210163437885723,0.00869771232657741,0.01210163437885723,False,True,True,True,True
P3_LCP01D,0.01289952287297694,0.004025271576434713,0.01289952287297694,False,True,True,True,True
P3_LCV01D,0.007535109842563079,0.00442612129014163,0.007535109842563079,False,True,True,True,True
P3_LH,0.0,0.0,0.0,True,True,False,False,False
P3_LIT01,0.004518900263632391,0.0050577273878560525,0.0050577273878560525,False,True,True,True,False
P3_LL,0.0,0.0,0.0,True,True,False,False,False
P3_PIT01,0.012014232051052358,0.007163177723758135,0.012014232051052358,False,True,True,True,True
P4_HT_FD,0.0047894705003386565,0.004837159463961382,0.004837159463961382,False,True,True,True,False
P4_HT_LD,0.004860337847222137,0.004734253991654939,0.004860337847222137,False,True,True,True,False
P4_HT_PO,0.004897635334861695,0.005130277420842979,0.005130277420842979,False,True,True,False,False
P4_HT_PS,0.00452054988837164,0.0050878548839599445,0.0050878548839599445,False,True,True,True,False
P4_LD,0.004708861344112301,0.004751355550056022,0.004751355550056022,False,True,True,True,False
P4_ST_FD,0.004738434566363935,0.00481410774180987,0.00481410774180987,False,True,True,True,False
P4_ST_GOV,0.004807438016685653,0.004587478000489264,0.004807438016685653,False,True,True,False,False
P4_ST_LD,0.004725130580836027,0.004604285971415031,0.004725130580836027,False,True,True,True,False
P4_ST_PO,0.004713852113607587,0.004586752456182166,0.004713852113607587,False,True,True,False,False
P4_ST_PS,0.00452054988837164,0.0050878548839599445,0.0050878548839599445,False,True,True,False,False
P4_ST_PT01,0.04139505205941391,0.11207955694853154,0.11207955694853154,False,True,True,True,True
P4_ST_TT01,0.005820707489294896,0.004815373195915462,0.005820707489294896,False,True,True,True,True
