phase,rank,candidate_key,experiment_id,feature_variant,window_length,stride,negative_to_positive_ratio,positive_class_weight_scale,learning_rate,dropout,rounds,max_train_examples_per_client,heldout_test_attached,validation_precision,validation_recall,validation_f1,validation_pr_auc,validation_fpr,threshold_used,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,test_confusion_matrix,wall_clock_training_seconds,config_path,run_output_root
fast,1,full_w32_s8_r5to1_pcw0p0_lr0p003_do0p05,P_C1_OPT_FAST_0001,full,32,8,5,0.0,0.003,0.05,10,256,False,0.02530459231490159,0.12053571428571429,0.041828040278853604,0.016597963662626593,0.07835455435847209,0.499282568693161,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,"[[0, 0], [0, 0]]",7.527656499994919,configs/same_setup_optimization/fast/proposed_0001_c80d8c33cf.yaml,outputs_c1_same_setup_optimization/fast/0001_c80d8c33cf
fast,2,full_w32_s8_r8to1_pcw0p0_lr0p003_do0p05,P_C1_OPT_FAST_0002,full,32,8,8,0.0,0.003,0.05,10,256,False,0.027149321266968326,0.13392857142857142,0.045146726862302484,0.01617192401997373,0.08099148647630529,0.49890175461769104,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,"[[0, 0], [0, 0]]",7.228891165999812,configs/same_setup_optimization/fast/proposed_0002_6be88555d2.yaml,outputs_c1_same_setup_optimization/fast/0002_6be88555d2
fast,3,full_w32_s8_r10to1_pcw0p0_lr0p003_do0p05,P_C1_OPT_FAST_0003,full,32,8,10,0.0,0.003,0.05,10,256,False,0.024114930733709596,0.20982142857142858,0.04325816843074091,0.016026101766887,0.14329842537482107,0.4982978403568268,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,"[[0, 0], [0, 0]]",7.4929927500052145,configs/same_setup_optimization/fast/proposed_0003_b7d4393887.yaml,outputs_c1_same_setup_optimization/fast/0003_b7d4393887
fast,4,full_w32_s8_r15to1_pcw0p0_lr0p003_do0p05,P_C1_OPT_FAST_0004,full,32,8,15,0.0,0.003,0.05,10,256,False,0.025898078529657476,0.13839285714285715,0.043631245601688955,0.015200742582464928,0.08784750998267159,0.4992772042751312,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,"[[0, 0], [0, 0]]",7.106297333994007,configs/same_setup_optimization/fast/proposed_0004_d05b1a2fa4.yaml,outputs_c1_same_setup_optimization/fast/0004_d05b1a2fa4
fast,5,full_w32_s8_r20to1_pcw0p0_lr0p003_do0p05,P_C1_OPT_FAST_0005,full,32,8,20,0.0,0.003,0.05,10,256,False,0.023762376237623763,0.16071428571428573,0.041403105232892465,0.014775243072957446,0.1114292172078656,0.49818313121795654,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,"[[0, 0], [0, 0]]",7.276801041996805,configs/same_setup_optimization/fast/proposed_0005_2d9b83a9fe.yaml,outputs_c1_same_setup_optimization/fast/0005_2d9b83a9fe
fast,6,full_w64_s8_r5to1_pcw0p0_lr0p003_do0p05,P_C1_OPT_FAST_0006,full,64,8,5,0.0,0.003,0.05,10,256,False,0.025386313465783666,0.26953125,0.04640215198386012,0.017631629895708788,0.2001208733096623,0.4999905824661255,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,"[[0, 0], [0, 0]]",14.316965166995942,configs/same_setup_optimization/fast/proposed_0006_8ffcf6f3f2.yaml,outputs_c1_same_setup_optimization/fast/0006_8ffcf6f3f2
fast,7,full_w64_s8_r8to1_pcw0p0_lr0p003_do0p05,P_C1_OPT_FAST_0007,full,64,8,8,0.0,0.003,0.05,10,256,False,0.02656621728786677,0.26171875,0.0482361411087113,0.017387029791887047,0.1854649845131072,0.49999433755874634,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,"[[0, 0], [0, 0]]",14.35575166700437,configs/same_setup_optimization/fast/proposed_0007_7e0fac18ec.yaml,outputs_c1_same_setup_optimization/fast/0007_7e0fac18ec
fast,8,full_w64_s8_r10to1_pcw0p0_lr0p003_do0p05,P_C1_OPT_FAST_0008,full,64,8,10,0.0,0.003,0.05,10,256,False,0.027038269550748752,0.25390625,0.04887218045112782,0.01732848606484986,0.1767016695625897,0.5000302791595459,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,"[[0, 0], [0, 0]]",14.218999541997619,configs/same_setup_optimization/fast/proposed_0008_40614ff991.yaml,outputs_c1_same_setup_optimization/fast/0008_40614ff991
fast,9,full_w64_s8_r15to1_pcw0p0_lr0p003_do0p05,P_C1_OPT_FAST_0009,full,64,8,15,0.0,0.003,0.05,10,256,False,0.026920031670625493,0.265625,0.04888569374550683,0.017142361969096978,0.18569162196872402,0.49994957447052,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,"[[0, 0], [0, 0]]",14.029058708001685,configs/same_setup_optimization/fast/proposed_0009_a32d5b4fa1.yaml,outputs_c1_same_setup_optimization/fast/0009_a32d5b4fa1
fast,10,full_w64_s8_r20to1_pcw0p0_lr0p003_do0p05,P_C1_OPT_FAST_0010,full,64,8,20,0.0,0.003,0.05,10,256,False,0.02766798418972332,0.24609375,0.049743387287801026,0.017206696471157957,0.16725844224522174,0.5000186562538147,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,"[[0, 0], [0, 0]]",14.059677749995899,configs/same_setup_optimization/fast/proposed_0010_55a72c1791.yaml,outputs_c1_same_setup_optimization/fast/0010_55a72c1791
