file,label,episode_index,start_row,end_row,row_count
test1.csv,attack,1,2111,2302,192
test1.csv,attack,2,8891,8988,98
test1.csv,attack,3,14351,14540,190
test1.csv,attack,4,19266,19325,60
test1.csv,attack,5,21801,21889,89
test1.csv,attack_P1,1,2111,2302,192
test1.csv,attack_P1,2,8891,8988,98
test1.csv,attack_P1,3,14351,14540,190
test1.csv,attack_P2,1,19266,19325,60
test1.csv,attack_P2,2,21801,21889,89
test2.csv,attack,1,2820,2902,83
test2.csv,attack,2,9480,9901,422
test2.csv,attack,3,14346,14362,17
test2.csv,attack,4,18600,18858,259
test2.csv,attack,5,22500,22622,123
test2.csv,attack,6,28920,29175,256
test2.csv,attack,7,36480,36547,68
test2.csv,attack,8,37981,38241,261
test2.csv,attack,9,43391,43589,199
test2.csv,attack,10,52140,52560,421
test2.csv,attack,11,60666,60710,45
test2.csv,attack,12,65581,65732,152
test2.csv,attack,13,71343,71596,254
test2.csv,attack,14,78671,78822,152
test2.csv,attack,15,87064,87214,151
test2.csv,attack,16,88806,88870,65
test2.csv,attack,17,91324,91507,184
test2.csv,attack,18,98473,98571,99
test2.csv,attack,19,109503,109621,119
test2.csv,attack,20,114963,115081,119
test2.csv,attack_P1,1,9480,9901,422
test2.csv,attack_P1,2,14346,14349,4
test2.csv,attack_P1,3,14352,14355,4
test2.csv,attack_P1,4,14359,14359,1
test2.csv,attack_P1,5,14361,14362,2
test2.csv,attack_P1,6,18600,18858,259
test2.csv,attack_P1,7,22500,22504,5
test2.csv,attack_P1,8,22514,22517,4
test2.csv,attack_P1,9,22527,22530,4
test2.csv,attack_P1,10,22540,22543,4
test2.csv,attack_P1,11,22553,22557,5
test2.csv,attack_P1,12,22566,22570,5
test2.csv,attack_P1,13,22579,22583,5
test2.csv,attack_P1,14,22592,22596,5
test2.csv,attack_P1,15,22606,22609,4
test2.csv,attack_P1,16,22619,22622,4
test2.csv,attack_P1,17,28920,29175,256
test2.csv,attack_P1,18,37981,37987,7
test2.csv,attack_P1,19,37989,38241,253
test2.csv,attack_P1,20,43391,43589,199
test2.csv,attack_P1,21,52140,52560,421
test2.csv,attack_P1,22,71343,71596,254
test2.csv,attack_P1,23,78671,78822,152
test2.csv,attack_P1,24,88806,88816,11
test2.csv,attack_P1,25,88826,88831,6
test2.csv,attack_P1,26,88833,88836,4
test2.csv,attack_P1,27,88846,88855,10
test2.csv,attack_P1,28,88865,88870,6
test2.csv,attack_P1,29,98473,98531,59
test2.csv,attack_P1,30,98533,98571,39
test2.csv,attack_P2,1,2820,2902,83
test2.csv,attack_P2,2,36480,36547,68
test2.csv,attack_P2,3,60666,60669,4
test2.csv,attack_P2,4,60674,60676,3
test2.csv,attack_P2,5,60688,60690,3
test2.csv,attack_P2,6,60695,60697,3
test2.csv,attack_P2,7,60708,60710,3
test2.csv,attack_P2,8,65581,65732,152
test2.csv,attack_P2,9,87064,87214,151
test2.csv,attack_P2,10,91324,91423,100
test2.csv,attack_P2,11,91435,91507,73
test2.csv,attack_P3,1,109503,109621,119
test2.csv,attack_P3,2,114963,115081,119
test3.csv,attack,1,49866,49997,132
test3.csv,attack,2,55260,55680,421
test3.csv,attack,3,65468,65656,189
test3.csv,attack,4,75182,75287,106
test3.csv,attack,5,76980,77063,84
test3.csv,attack,6,86111,86348,238
test3.csv,attack,7,93062,93171,110
test3.csv,attack,8,100381,100635,255
test3.csv,attack_P1,1,49866,49869,4
test3.csv,attack_P1,2,49871,49997,127
test3.csv,attack_P1,3,55260,55680,421
test3.csv,attack_P1,4,65468,65656,189
test3.csv,attack_P1,5,86111,86348,238
test3.csv,attack_P1,6,93067,93132,66
test3.csv,attack_P1,7,93134,93171,38
test3.csv,attack_P1,8,100381,100382,2
test3.csv,attack_P1,9,100384,100635,252
test3.csv,attack_P2,1,75182,75287,106
test3.csv,attack_P2,2,76980,77063,84
test3.csv,attack_P2,3,86121,86208,88
test3.csv,attack_P2,4,93062,93126,65
test3.csv,attack_P2,5,100386,100389,4
test3.csv,attack_P2,6,100394,100396,3
test3.csv,attack_P2,7,100408,100410,3
test3.csv,attack_P2,8,100415,100417,3
test3.csv,attack_P2,9,100428,100430,3
test3.csv,attack_P2,10,100436,100438,3
test3.csv,attack_P2,11,100449,100451,3
test3.csv,attack_P2,12,100456,100458,3
test3.csv,attack_P2,13,100469,100472,4
test4.csv,attack,1,2583,2836,254
test4.csv,attack,2,6300,6561,262
test4.csv,attack,3,14221,14483,263
test4.csv,attack,4,20702,20959,258
test4.csv,attack,5,31621,31740,120
test4.csv,attack_P1,1,2583,2836,254
test4.csv,attack_P1,2,6300,6561,262
test4.csv,attack_P1,3,14222,14483,262
test4.csv,attack_P1,4,20703,20959,257
test4.csv,attack_P2,1,20702,20853,152
test4.csv,attack_P2,2,31627,31629,3
test4.csv,attack_P2,3,31634,31637,4
test4.csv,attack_P2,4,31648,31650,3
test4.csv,attack_P2,5,31656,31658,3
test4.csv,attack_P2,6,31669,31671,3
test4.csv,attack_P2,7,31676,31679,4
test4.csv,attack_P2,8,31690,31692,3
test4.csv,attack_P3,1,6300,6419,120
test4.csv,attack_P3,2,14221,14340,120
test4.csv,attack_P3,3,31621,31740,120
test5.csv,attack,1,1560,1731,172
test5.csv,attack,2,9603,9860,258
test5.csv,attack,3,18908,19163,256
test5.csv,attack,4,24900,25019,120
test5.csv,attack,5,28089,28291,203
test5.csv,attack,6,35523,35675,153
test5.csv,attack,7,44585,44663,79
test5.csv,attack,8,51906,51956,51
test5.csv,attack,9,54671,54911,241
test5.csv,attack,10,83041,83302,262
test5.csv,attack,11,85800,85919,120
test5.csv,attack,12,88259,88520,262
test5.csv,attack_P1,1,1576,1731,156
test5.csv,attack_P1,2,9603,9860,258
test5.csv,attack_P1,3,18908,19163,256
test5.csv,attack_P1,4,24908,24966,59
test5.csv,attack_P1,5,24968,25006,39
test5.csv,attack_P1,6,28089,28291,203
test5.csv,attack_P1,7,51906,51918,13
test5.csv,attack_P1,8,51922,51922,1
test5.csv,attack_P1,9,51927,51936,10
test5.csv,attack_P1,10,51946,51956,11
test5.csv,attack_P1,11,54671,54911,241
test5.csv,attack_P1,12,83041,83302,262
test5.csv,attack_P1,13,88259,88520,262
test5.csv,attack_P2,1,1560,1641,82
test5.csv,attack_P2,2,9608,9668,61
test5.csv,attack_P2,3,18908,18968,61
test5.csv,attack_P2,4,28090,28092,3
test5.csv,attack_P2,5,28097,28099,3
test5.csv,attack_P2,6,28111,28113,3
test5.csv,attack_P2,7,28118,28121,4
test5.csv,attack_P2,8,28131,28134,4
test5.csv,attack_P2,9,28139,28141,3
test5.csv,attack_P2,10,28152,28154,3
test5.csv,attack_P2,11,28160,28162,3
test5.csv,attack_P2,12,35524,35675,152
test5.csv,attack_P2,13,44585,44650,66
test5.csv,attack_P2,14,44652,44654,3
test5.csv,attack_P2,15,44659,44661,3
test5.csv,attack_P2,16,44663,44663,1
test5.csv,attack_P2,17,85801,85870,70
test5.csv,attack_P3,1,24900,25019,120
test5.csv,attack_P3,2,35523,35642,120
