feature,process_prefix,feature_type_from_values,row_count,finite_count,missing_or_nonfinite_count,missing_or_nonfinite_rate,unique_count_global,unique_count_train_source,constant_global,constant_train_source,min,p01,p05,p25,median,p75,p95,p99,max,mean,std,normal_mean,normal_std,attack_mean,attack_std,standardized_mean_difference_attack_vs_normal,univariate_auc_attack_direct,univariate_auc_attack_directionless,univariate_average_precision_direct,univariate_average_precision_inverse,univariate_average_precision_best_direction,train_source_mean,validation_mean,heldout_test_mean,validation_standardized_mean_shift_vs_train_source,heldout_test_standardized_mean_shift_vs_train_source
P1_B2004,P1,continuous_numeric,1323608,1323608,0,0.0,948,796,False,False,0.02978000044822693,0.029929999262094498,0.058959998190402985,0.09837000072002411,0.09961999952793121,0.10086999833583832,0.10162000358104706,0.10192999988794327,0.10196000337600708,0.09291867166757584,0.018328217789530754,0.09292423725128174,0.01834145560860634,0.09210226684808731,0.016245650127530098,-0.0474434325955355,0.5085781226010653,0.5085781226010653,0.008511165800321659,0.007683208262490304,0.008511165800321659,0.09459645301103592,0.08201421797275543,0.08806758373975754,-0.7496335082949752,-0.3889817001619555
P1_B2016,P1,continuous_numeric,1323608,1323608,0,0.0,78009,75535,False,False,0.9472900032997131,1.0877100229263306,1.164199948310852,1.3129199743270874,1.386330008506775,1.4647599458694458,1.6158865690231323,1.7791485786437988,2.052299976348877,1.3908575773239136,0.13525724411010742,1.3909245729446411,0.1352921724319458,1.3810309171676636,0.12964868545532227,-0.07466883059708797,0.47939061831080676,0.5206093816891932,0.006387475939161988,0.007148563741409794,0.007148563741409794,1.3919951915740967,1.384063959121704,1.3870769739151,-0.0588844550110134,-0.036514699098018695
P1_B3004,P1,continuous_numeric,1323608,1323608,0,0.0,1868,1573,False,False,369.7560119628906,373.2780456542969,381.79815673828125,396.5707092285156,402.8778076171875,406.4704895019531,435.5022888183594,447.8343811035156,448.763427734375,403.5113830566406,14.462138175964355,403.5033264160156,14.482020378112793,404.69598388671875,11.098448753356934,0.09244233602412687,0.5260939357516218,0.5260939357516218,0.007740722520093607,0.006634126391222552,0.007740722520093607,402.65814208984375,407.19415283203125,407.5028991699219,0.3075267485151424,0.32845874422767296
P1_B3005,P1,continuous_numeric,1323608,1323608,0,0.0,1874,1575,False,False,890.0784301757812,894.7186889648438,961.5441284179688,1013.8746948242188,1090.151123046875,1105.7406005859375,1120.156982421875,1121.86572265625,1121.941162109375,1062.5753173828125,58.4338493347168,1062.66357421875,58.4229736328125,1049.6005859375,58.581634521484375,-0.22328994519509873,0.4235281341458885,0.5764718658541115,0.005727093655716564,0.008823548693859505,0.008823548693859505,1062.245361328125,1081.665283203125,1049.6650390625,0.32901847481919166,-0.2131398092748432
P1_B4002,P1,continuous_numeric,1323608,1323608,0,0.0,1146,973,False,False,31.37904930114746,31.413429260253906,31.648639678955078,32.0,32.0,32.5625114440918,33.485809326171875,33.65549850463867,33.65549850463867,32.30730438232422,0.5767496824264526,32.30683517456055,0.5771251916885376,32.37626266479492,0.5139891505241394,0.12704727508115843,0.5669239511897438,0.5669239511897438,0.00832886686237221,0.006478044551132427,0.00832886686237221,32.34783935546875,31.950342178344727,32.26662063598633,-0.6709490429948316,-0.13709184680069827
P1_B4005,P1,continuous_numeric,1323608,1323608,0,0.0,548285,460068,False,False,0.0,0.0,0.0,11.779244422912598,77.96485900878906,100.0,100.0,100.0,100.0,60.03889846801758,42.19783401489258,60.002742767333984,42.21134948730469,65.35176086425781,39.80656433105469,0.13037933096358187,0.5158203041063893,0.5158203041063893,0.006801660370633007,0.006270686421195539,0.006801660370633007,61.53864669799805,45.75490951538086,59.41428756713867,-0.37659767523332266,-0.05068690011662152
P1_B400B,P1,continuous_numeric,1323608,1323608,0,0.0,16989,16138,False,False,25.02597999572754,29.991369247436523,31.977609634399414,344.8016357421875,2599.384521484375,2830.46044921875,2839.44482421875,2844.49853515625,2860.977294921875,1767.3780517578125,1195.7042236328125,1766.1124267578125,1195.954833984375,1953.3204345703125,1143.170654296875,0.16002592631948406,0.5441826283610876,0.5441826283610876,0.007888272193027733,0.0060203899277864615,0.007888272193027733,1808.82421875,1381.089111328125,1743.197509765625,-0.3607102397164559,-0.055343191425734635
P1_B4022,P1,continuous_numeric,1323608,1323608,0,0.0,134570,121764,False,False,34.20232009887695,34.883480072021484,35.14862060546875,35.598121643066406,35.89706039428711,36.394630432128906,37.37643814086914,37.78755187988281,38.65092849731445,36.052154541015625,0.6712191700935364,36.051841735839844,0.6715079545974731,36.09858703613281,0.6256114840507507,0.07203047641462705,0.5313245260383122,0.5313245260383122,0.007047518695425994,0.006047876899296072,0.007047518695425994,36.091339111328125,35.70547103881836,36.0141487121582,-0.5641112957461992,-0.1128467971234105
P1_FCV01D,P1,continuous_numeric,1323608,1323608,0,0.0,540971,456550,False,False,0.0,0.0,0.0,13.912420272827148,43.900638580322266,100.0,100.0,100.0,100.0,54.48838806152344,43.228858947753906,54.46160125732422,43.236698150634766,58.424407958984375,41.875919342041016,0.09310723693050732,0.5207932905892823,0.5207932905892823,0.007015281789551409,0.006485648384299179,0.007015281789551409,55.94633483886719,39.259727478027344,54.97981643676758,-0.3863771205921719,-0.022379659874959667
P1_FCV01Z,P1,continuous_numeric,1323608,1323608,0,0.0,100972,94348,False,False,0.26093000173568726,0.28380998969078064,0.2914400100708008,13.513179779052734,43.878170013427734,99.80925750732422,100.0,100.0,100.0,54.30128479003906,43.24612808227539,54.27411651611328,43.254085540771484,58.293357849121094,41.86925506591797,0.09442086117409808,0.5141641863891107,0.5141641863891107,0.006833421258714929,0.006366056635508738,0.006833421258714929,55.76952362060547,39.04726028442383,54.728946685791016,-0.38699230357230036,-0.024081385213970682
P1_FCV02D,P1,continuous_numeric,1323608,1323608,0,0.0,29112,23729,False,False,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,30.09202766418457,45.424591064453125,30.12636947631836,45.43851852416992,25.045351028442383,43.03229904174805,-0.11482069118314292,0.4728251363429812,0.5271748636570188,0.006477218719886391,0.007171572544151743,0.007171572544151743,28.79085922241211,41.19295120239258,31.690786361694336,0.27646679958522336,0.06464502734876121
P1_FCV02Z,P1,continuous_numeric,1323608,1323608,0,0.0,13691,12862,False,False,-1.8981900215148926,-1.8829400539398193,-1.875309944152832,-1.8676799535751343,-1.8066400289535522,43.21440887451172,97.21527099609375,97.32208251953125,97.39836883544922,25.268844604492188,40.53687286376953,25.298341751098633,40.54419708251953,20.934566497802734,39.20480728149414,-0.10942230474115291,0.44266611345222945,0.5573338865477706,0.006198273960182578,0.008205545038760151,0.008205545038760151,24.01400375366211,35.61949920654297,27.101177215576172,0.2901954211996322,0.07719477438372446
P1_FCV03D,P1,continuous_numeric,1323608,1323608,0,0.0,849887,747196,False,False,0.0,46.77235412597656,48.73973846435547,51.64485168457031,60.15134048461914,63.21592712402344,67.6241683959961,72.0678939819336,93.40084838867188,58.53569793701172,6.4679059982299805,58.55320739746094,6.431101322174072,55.96240997314453,10.243288040161133,-0.3029353954385703,0.40078928197086805,0.599210718029132,0.04799186594788456,0.10325651449781573,0.10325651449781573,58.63793182373047,60.227943420410156,56.311920166015625,0.24618681308296397,-0.36014416398121285
P1_FCV03Z,P1,continuous_numeric,1323608,1323608,0,0.0,6235,5307,False,False,0.25328999757766724,47.257999420166016,49.37133026123047,52.1026611328125,60.9527587890625,64.11895751953125,68.475341796875,72.96141815185547,93.11065673828125,59.26047134399414,6.579165458679199,59.27824783325195,6.543931484222412,56.64940643310547,10.215821266174316,-0.3064404334484349,0.40134207576939973,0.5986579242306003,0.04504296122578475,0.1026044960355373,0.1026044960355373,59.36581039428711,60.9435920715332,57.0186882019043,0.24014257968523983,-0.35723825814677035
P1_FT01,P1,continuous_numeric,1323608,1323608,0,0.0,8143,6965,False,False,-15.792869567871094,111.99949645996094,146.5225372314453,175.70494079589844,204.31517028808594,214.99635314941406,224.15162658691406,229.68287658691406,976.6006469726562,195.6024627685547,30.51089859008789,195.3879852294922,26.743257522583008,227.11912536621094,177.84109497070312,0.24952428981758024,0.5096395305956285,0.5096395305956285,0.20735511175102084,0.13102349969689264,0.20735511175102084,195.3029327392578,202.77664184570312,192.1917266845703,0.2643038185066689,-0.1100261769227573
P1_FT01Z,P1,continuous_numeric,1323608,1323608,0,0.0,7798,6675,False,False,0.0,583.14404296875,762.8939819335938,839.49853515625,904.8385620117188,929.1917114257812,950.0657348632812,962.6769409179688,1991.728759765625,880.8071899414062,81.16061401367188,880.99755859375,73.65113830566406,852.8375244140625,420.2663879394531,-0.09333721308588727,0.5088728704193208,0.5088728704193208,0.2061440524908362,0.12524329257025174,0.2061440524908362,880.4952392578125,899.0490112304688,868.4429931640625,0.24207845759744787,-0.15725045824965853
P1_FT02,P1,continuous_numeric,1323608,1323608,0,0.0,17493,16536,False,False,4.806529998779297,5.760190010070801,6.141660213470459,66.22310638427734,1661.910888671875,1969.375732421875,1981.582763671875,1988.44921875,2011.5279541015625,1124.5216064453125,890.8007202148438,1123.581298828125,891.0154418945312,1262.671630859375,847.4094848632812,0.1599684790663089,0.5437231923766825,0.5437231923766825,0.007870898712146756,0.006025558541595699,0.007870898712146756,1154.9464111328125,828.1261596679688,1117.26708984375,-0.3688102837194508,-0.04252037966646734
P1_FT02Z,P1,continuous_numeric,1323608,1323608,0,0.0,16949,16025,False,False,25.02597999572754,29.991369247436523,31.97760009765625,344.8016357421875,2599.384521484375,2830.46044921875,2839.44482421875,2844.49853515625,2860.977294921875,1767.371826171875,1195.70068359375,1766.1053466796875,1195.9522705078125,1953.46826171875,1142.9913330078125,0.1601705161208412,0.5438877905092058,0.5438877905092058,0.007874873639752356,0.006023677846187445,0.007874873639752356,1808.8275146484375,1381.012451171875,1743.172607421875,-0.3607800809543222,-0.0553673415605325
P1_FT03,P1,continuous_numeric,1323608,1323608,0,0.0,7391,6027,False,False,53.06241989135742,199.3560333251953,228.1570281982422,251.78005981445312,297.96600341796875,308.0749206542969,316.24639892578125,317.77227783203125,351.2129211425781,283.32684326171875,32.1877326965332,283.38275146484375,32.14677429199219,275.11309814453125,36.81433868408203,-0.23928778532099007,0.42249744092318353,0.5775025590768165,0.03939446472518851,0.024727297319819166,0.03939446472518851,283.1929626464844,293.4690246582031,276.1279296875,0.3164565244793749,-0.2175712615380061
P1_FT03Z,P1,continuous_numeric,1323608,1323608,0,0.0,6595,5343,False,False,276.2783508300781,893.53173828125,959.197998046875,1011.9762573242188,1089.19921875,1106.101318359375,1119.7640380859375,1122.3153076171875,1178.22802734375,1062.552978515625,58.50349807739258,1062.659912109375,58.4031867980957,1046.82568359375,69.9769058227539,-0.24568096796243286,0.4220947559645898,0.5779052440354102,0.03844178553938567,0.02421994087464607,0.03844178553938567,1062.22216796875,1081.6263427734375,1049.662841796875,0.32871048988104756,-0.21275742463088884
