feature_a,feature_b,correlation,abs_correlation
P4_HT_PS,P4_ST_PS,1.0,1.0
P2_SIT01,P2_SIT02,0.9998737608926757,0.9998737608926757
P1_B400B,P1_FT02Z,0.9997169386093316,0.9997169386093316
P4_ST_GOV,P4_ST_PO,0.9996343384345845,0.9996343384345845
P1_FCV01D,P1_FCV01Z,0.9996217066861643,0.9996217066861643
P1_PCV01D,P1_PCV01Z,0.9993971948790168,0.9993971948790168
P3_LCV01D,P4_HT_PO,0.9980854643023829,0.9980854643023829
P1_FT03,P1_FT03Z,0.9967578211247174,0.9967578211247174
P1_FCV03D,P1_FCV03Z,0.9966064922782354,0.9966064922782354
P1_B3005,P1_FT03Z,0.9964459811620358,0.9964459811620358
P1_B3005,P1_FT03,0.9942698295736535,0.9942698295736535
P1_B4005,P1_FT02Z,0.991979255360314,0.991979255360314
P1_B4005,P1_B400B,0.9919350177201949,0.9919350177201949
P1_LCV01D,P1_LCV01Z,0.9890528295151911,0.9890528295151911
P1_B2016,P4_ST_PO,0.987676272542413,0.987676272542413
P1_B2016,P4_ST_GOV,0.9861417278280793,0.9861417278280793
P1_B4005,P1_FT02,0.9850772504207339,0.9850772504207339
P1_FT02,P1_FT02Z,0.9832703148040749,0.9832703148040749
P1_B400B,P1_FT02,0.9829339957092764,0.9829339957092764
