feature_a,feature_b,pearson_corr_sample,abs_corr
P4_HT_PS,P4_ST_PS,0.9999999999999925,0.9999999999999925
P2_SIT01,P2_SIT02,0.9998518835447808,0.9998518835447808
P1_B400B,P1_FT02Z,0.9997108191077239,0.9997108191077239
P4_ST_GOV,P4_ST_PO,0.9996390931627283,0.9996390931627283
P1_FCV01D,P1_FCV01Z,0.9996225036127601,0.9996225036127601
P1_PCV01D,P1_PCV01Z,0.999397070213415,0.999397070213415
P3_LCV01D,P4_HT_PO,0.998114191952686,0.998114191952686
P1_FT03,P1_FT03Z,0.996607063426358,0.996607063426358
P1_FCV03D,P1_FCV03Z,0.9965949691459205,0.9965949691459205
P1_B3005,P1_FT03Z,0.9963527089141286,0.9963527089141286
P1_B3005,P1_FT03,0.9943486730546429,0.9943486730546429
P1_B4005,P1_FT02Z,0.9919522326180074,0.9919522326180074
P1_B4005,P1_B400B,0.9919061813336553,0.9919061813336553
P1_LCV01D,P1_LCV01Z,0.9886034296861931,0.9886034296861931
P1_B2016,P4_ST_PO,0.9876548299318966,0.9876548299318966
P1_B2016,P4_ST_GOV,0.9861293353869394,0.9861293353869394
P1_B4005,P1_FT02,0.9850541155726222,0.9850541155726222
P1_FT02,P1_FT02Z,0.9832086989822219,0.9832086989822219
P1_B400B,P1_FT02,0.9828708110171989,0.9828708110171989
P2_Emerg,P2_OnOff,-0.9803185911318788,0.9803185911318788
