experiment_id,status,cluster_id,dataset,model,fl_method,aggregation,hierarchy_type,clustering_type,best_validation_round,validation_f1,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_false_positive_rate,communication_cost_per_round_bytes,total_communication_cost_bytes,wall_clock_training_seconds,run_summary_exists,round_metrics_exists,metrics_csv_exists,ledger_exists,convergence_plot_exists,notes
A_C1,COMPLETE,1,HAI_2103,cnn1d,FedAvg,weighted_arithmetic_mean,flat,none,50,0.0,0.9896690879741727,0.0,0.0,0.0,0.8340363011743599,0.3551872102134908,0.0,139872,6993600,96.1244998339971,True,True,True,True,True,All expected per-experiment run/metrics/ledger/plot artifacts are present under outputs/.
A_C2,COMPLETE,2,TON_IoT_combined_telemetry,cnn1d,FedAvg,weighted_arithmetic_mean,flat,none,50,0.8,0.6666666666666666,0.6666666666666666,1.0,0.8,0.7558120101835532,0.8241162054228939,1.0,4920,246000,14.661226582997188,True,True,True,True,True,All expected per-experiment run/metrics/ledger/plot artifacts are present under outputs/.
A_C3,COMPLETE,3,WUSTL_IIOT_2021,cnn1d,FedAvg,weighted_arithmetic_mean,flat,none,28,0.010642558791554615,0.8978038230779963,0.08333333333333333,0.004449261308539159,0.008447500947636324,0.9836048723983171,0.7538185747390086,0.0053079607037687755,4920,246000,180.3743500000055,True,True,True,True,True,All expected per-experiment run/metrics/ledger/plot artifacts are present under outputs/.
B_C1,COMPLETE,1,HAI_2103,cnn1d,FedAvg,weighted_arithmetic_mean,hierarchical_fixed,agglomerative,50,0.0,0.9896690879741727,0.0,0.0,0.0,0.8344345080329474,0.3551420763424446,0.0,163184,8159200,96.92407070799527,True,True,True,True,True,All expected per-experiment run/metrics/ledger/plot artifacts are present under outputs/.
B_C2,COMPLETE,2,TON_IoT_combined_telemetry,cnn1d,FedAvg,weighted_arithmetic_mean,hierarchical_fixed,agglomerative,50,0.8,0.6666666666666666,0.6666666666666666,1.0,0.8,0.7558729975609322,0.8235666458358522,1.0,5904,295200,14.790098124998622,True,True,True,True,True,All expected per-experiment run/metrics/ledger/plot artifacts are present under outputs/.
B_C3,COMPLETE,3,WUSTL_IIOT_2021,cnn1d,FedAvg,weighted_arithmetic_mean,hierarchical_fixed,agglomerative,18,0.010102169670531512,0.8980996232733361,0.08266360505166476,0.004107010438651531,0.0078252363873492,0.9827336436296281,0.7548066709239704,0.004942961074954839,5904,295200,180.08062020799844,True,True,True,True,True,All expected per-experiment run/metrics/ledger/plot artifacts are present under outputs/.
P_C1,COMPLETE,1,HAI_2103,tcn,FedBN,weighted_non_bn_mean,hierarchical_fixed,agglomerative,31,0.6272189349112426,0.9930992736077482,0.9292929292929293,0.359375,0.5183098591549296,0.7825871786311369,0.5190394307132689,0.0002854346762355244,2964080,148204000,928.9195912499999,True,True,True,True,True,All expected per-experiment run/metrics/ledger/plot artifacts are present under outputs/.
P_C2,COMPLETE,2,TON_IoT_combined_telemetry,compact_mlp,FedProx,weighted_arithmetic_mean,hierarchical_fixed,agglomerative,50,0.8648688099843083,0.8,0.7692307692307693,1.0,0.8695652173913043,0.8110169666542043,0.855178696698054,0.6,442512,22125600,10.730791582995153,True,True,True,True,True,All expected per-experiment run/metrics/ledger/plot artifacts are present under outputs/.
P_C3,COMPLETE,3,WUSTL_IIOT_2021,cnn1d,SCAFFOLD,weighted_arithmetic_mean,hierarchical_fixed,agglomerative,42,0.6889131771295853,0.9550272080368355,0.7999493382306377,0.720552164736752,0.7581777804453514,0.9836592721567876,0.7487750378199967,0.01954294622751231,11808,590400,182.45721320900338,True,True,True,True,True,All expected per-experiment run/metrics/ledger/plot artifacts are present under outputs/.
AB_C1_FEDAVG_TCN,MISSING,1,HAI_2103,tcn,FedAvg,weighted_arithmetic_mean,hierarchical_fixed,agglomerative,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,False,False,False,False,False,No standalone outputs found under outputs/ for this experiment id. Ablation-specific standalone output id not found under outputs/.
AB_C2_FEDAVG_MLP,MISSING,2,TON_IoT_combined_telemetry,compact_mlp,FedAvg,weighted_arithmetic_mean,hierarchical_fixed,agglomerative,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,False,False,False,False,False,No standalone outputs found under outputs/ for this experiment id. Ablation-specific standalone output id not found under outputs/.
AB_C3_FEDAVG_CNN1D,MISSING,3,WUSTL_IIOT_2021,cnn1d,FedAvg,weighted_arithmetic_mean,hierarchical_fixed,agglomerative,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,False,False,False,False,False,No standalone outputs found under outputs/ for this experiment id. Ablation-specific standalone output id not found under outputs/. docs/EXPERIMENT_MATRIX.csv notes that B_C3 may be reused as the FedAvg comparator when configuration is identical.
