round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.6529337998169163,0.9917513128800443,0.0,0.29608604311943054,0.9956012913640032,0.4074074074074074,0.10576923076923077,0.16793893129770993,0.4766941095053431,0.09866905607070267,0.000648403306856865,0.31134122610092163,0.9862792574656981,0.05319148936170213,0.01953125,0.02857142857142857,0.4943566124000979,0.015806184880705103,0.003629098026423096,0.3673216998577118,139872,0.9958030669895077,0.0,0.0,0.0,0.4766941095053431,0.09866905607070267,0.0,0.9896690879741727,0.0,0.0,0.0,0.4943566124000979,0.015806184880705103,0.0
2,0.49180643283251446,0.9936774461028193,0.40390879478827363,0.19141145050525665,0.9968926553672316,0.8292682926829268,0.3269230769230769,0.4689655172413793,0.819496443133783,0.375994681014136,0.0002836764467498784,0.20721055567264557,0.990637610976594,0.75,0.140625,0.23684210526315788,0.7371438119291306,0.2555094592571525,0.0004893165878323275,0.42335057258605957,139872,0.9968926553672316,0.8857142857142857,0.2980769230769231,0.4460431654676259,0.819496443133783,0.375994681014136,0.00016210082671421625,0.9906779661016949,0.8571428571428571,0.1171875,0.20618556701030927,0.7371438119291306,0.2555094592571525,0.00020388191159680314
3,0.46587200958195973,0.9947052929795467,0.5746009715475364,0.1346699595451355,0.9973365617433414,0.8064516129032258,0.4807692307692308,0.6024096385542169,0.9389702077384441,0.5331940990082152,0.0004863024801426487,0.14878466725349426,0.9916061339790153,0.7857142857142857,0.2578125,0.38823529411764707,0.8404170085936226,0.37893126537690786,0.0007339748817484913,0.4688906669616699,139872,0.9972962066182405,0.8245614035087719,0.4519230769230769,0.5838509316770186,0.9389702077384441,0.5331940990082152,0.00040525206678554063,0.9914043583535109,0.7792207792207793,0.234375,0.36036036036036034,0.8404170085936226,0.37893126537690786,0.0006931984994291307
4,0.40398397165750916,0.9946275566611388,0.5913272010512484,0.0873296856880188,0.997457627118644,0.759493670886076,0.5769230769230769,0.6557377049180327,0.951209599486265,0.5594838850134934,0.0007699789268925272,0.1010531559586525,0.9919289749798225,0.7745098039215687,0.30859375,0.441340782122905,0.8705853194829555,0.38640791972507244,0.0009378567933452944,0.48455286026000977,139872,0.9974172719935431,0.7702702702702703,0.5480769230769231,0.6404494382022472,0.951209599486265,0.5594838850134934,0.000688928513535419,0.9918079096045198,0.7849462365591398,0.28515625,0.4183381088825215,0.8705853194829555,0.38640791972507244,0.0008155276463872126
5,0.38186442559756534,0.9946016445550028,0.6061751732829238,0.0707613006234169,0.997497982243745,0.7837837837837838,0.5576923076923077,0.651685393258427,0.9450135291843834,0.5661886369973426,0.000648403306856865,0.08280660957098007,0.9915657788539144,0.7831325301204819,0.25390625,0.3834808259587021,0.8722829549624858,0.4007680454274121,0.0007339748817484913,0.630193829536438,139872,0.9970540758676352,0.6703296703296703,0.5865384615384616,0.6256410256410256,0.9450135291843834,0.5661886369973426,0.0012157562003566218,0.9918079096045198,0.7623762376237624,0.30078125,0.43137254901960786,0.8722829549624858,0.4007680454274121,0.000978633175664655
6,0.3773685960638287,0.9944116224433389,0.6100060277275468,0.06471921503543854,0.9974172719935431,0.7439024390243902,0.5865384615384616,0.6559139784946236,0.9519834750676459,0.5909291629531926,0.0008510293402496353,0.0731479749083519,0.9918079096045198,0.7912087912087912,0.28125,0.414985590778098,0.8829558544690916,0.43276660634624337,0.0007747512640678519,0.6751371026039124,139872,0.9968523002421308,0.6274509803921569,0.6153846153846154,0.6213592233009708,0.9519834750676459,0.5909291629531926,0.0015399578537850544,0.9919693301049233,0.7522123893805309,0.33203125,0.46070460704607047,0.8829558544690916,0.43276660634624337,0.0011417387049420975
7,0.3581995374064591,0.994117951907131,0.6061307113938693,0.06038600951433182,0.9976997578692494,0.8309859154929577,0.5673076923076923,0.6742857142857143,0.960267957342544,0.5939047085032911,0.0004863024801426487,0.06649724394083023,0.9919693301049233,0.8202247191011236,0.28515625,0.42318840579710143,0.878525404960447,0.4602425772116699,0.0006524221171097701,0.859340488910675,139872,0.996408393866021,0.5630252100840336,0.6442307692307693,0.600896860986547,0.960267957342544,0.5939047085032911,0.002107310747284811,0.9924132364810331,0.7463768115942029,0.40234375,0.5228426395939086,0.878525404960447,0.4602425772116699,0.001427173381177622
8,0.361252293321549,0.994135226644555,0.6144236229415105,0.05829259380698204,0.9975786924939467,0.7682926829268293,0.6057692307692307,0.6774193548387096,0.9597306086886044,0.5911990232179302,0.0007699789268925272,0.06480126827955246,0.9922114608555287,0.8181818181818182,0.31640625,0.4563380281690141,0.8836434780725004,0.4640854858695958,0.0007339748817484913,0.8319708108901978,139872,0.9961662631154157,0.536,0.6442307692307693,0.5851528384279476,0.9597306086886044,0.5911990232179302,0.0023504619873561355,0.992453591606134,0.7379310344827587,0.41796875,0.5336658354114713,0.8836434780725004,0.4640854858695958,0.0015495025281357037
9,0.345384871807223,0.9938933803206191,0.61003861003861,0.05777033790946007,0.9976997578692494,0.8309859154929577,0.5673076923076923,0.6742857142857143,0.961138859620684,0.592595481582957,0.0004863024801426487,0.06404396146535873,0.992090395480226,0.8333333333333334,0.29296875,0.43352601156069365,0.884312306312184,0.4710035304293656,0.0006116457347904094,0.9324631094932556,139872,0.9957627118644068,0.49635036496350365,0.6538461538461539,0.5643153526970954,0.961138859620684,0.592595481582957,0.0027962392608202303,0.9924132364810331,0.7236842105263158,0.4296875,0.5392156862745098,0.884312306312184,0.4710035304293656,0.0017126080574131463
10,0.32784832740435377,0.9938156440022111,0.6091703056768559,0.05190454423427582,0.9975383373688459,0.7590361445783133,0.6057692307692307,0.6737967914438503,0.9603562165667044,0.5870992654076576,0.0008105041335710813,0.05868379399180412,0.9926150121065376,0.8288288288288288,0.359375,0.5013623978201635,0.8864394477093868,0.4727563143772861,0.0007747512640678519,0.832542896270752,139872,0.9956012913640032,0.48226950354609927,0.6538461538461539,0.5551020408163265,0.9603562165667044,0.5870992654076576,0.0029583400875344465,0.992453591606134,0.7254901960784313,0.43359375,0.5427872860635696,0.8864394477093868,0.4727563143772861,0.0017126080574131463
