round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_f1,test_loss,test_accuracy,test_f1,communication_cost_bytes
1,0.49717897535295025,0.6003182985495714,0.7502486212819818,0.6668334007263184,0.6666666666666666,0.8,0.6669152975082397,0.6666666666666666,0.8,5904
2,0.5021649762278512,0.6003182985495714,0.7502486212819818,0.6540724635124207,0.6666666666666666,0.8,0.6542513966560364,0.6666666666666666,0.8,5904
3,0.5034608886258685,0.6003182985495714,0.7502486212819818,0.6463940143585205,0.6666666666666666,0.8,0.6467514634132385,0.6666666666666666,0.8,5904
4,0.49871540148332616,0.6003182985495714,0.7502486212819818,0.6405828595161438,0.6666666666666666,0.8,0.6412331461906433,0.6666666666666666,0.8,5904
5,0.48743943950701585,0.6003182985495714,0.7502486212819818,0.6357128024101257,0.6666666666666666,0.8,0.63677579164505,0.6666666666666666,0.8,5904
6,0.47026836978806474,0.6003182985495714,0.7502486212819818,0.6318901777267456,0.6666666666666666,0.8,0.6334511041641235,0.6666666666666666,0.8,5904
7,0.44837045846009715,0.6003182985495714,0.7502486212819818,0.6291385293006897,0.6666666666666666,0.8,0.6312312483787537,0.6666666666666666,0.8,5904
8,0.4225214340510371,0.6003182985495714,0.7502486212819818,0.6270877718925476,0.6666666666666666,0.8,0.6297118067741394,0.6666666666666666,0.8,5904
9,0.3936025110714428,0.6003182985495714,0.7502486212819818,0.6253764629364014,0.6666666666666666,0.8,0.628512978553772,0.6666666666666666,0.8,5904
10,0.3619767342671258,0.6003182985495714,0.7502486212819818,0.6237709522247314,0.6666666666666666,0.8,0.6273975372314453,0.6666666666666666,0.8,5904
11,0.328921040076585,0.6003182985495714,0.7502486212819818,0.6221958994865417,0.6666666666666666,0.8,0.6262887120246887,0.6666666666666666,0.8,5904
12,0.2965723600461649,0.6003182985495714,0.7502486212819818,0.6206709742546082,0.6666666666666666,0.8,0.625210702419281,0.6666666666666666,0.8,5904
13,0.26696559855469854,0.6003182985495714,0.7502486212819818,0.6192057728767395,0.6666666666666666,0.8,0.6241809129714966,0.6666666666666666,0.8,5904
14,0.24158117003486226,0.6003182985495714,0.7502486212819818,0.6177783012390137,0.6666666666666666,0.8,0.6231885552406311,0.6666666666666666,0.8,5904
15,0.2200923895269826,0.6003182985495714,0.7502486212819818,0.6163427233695984,0.6666666666666666,0.8,0.6221942901611328,0.6666666666666666,0.8,5904
16,0.2023738434116261,0.6003182985495714,0.7502486212819818,0.6148779392242432,0.6666666666666666,0.8,0.6211810111999512,0.6666666666666666,0.8,5904
17,0.18788350026713196,0.6003182985495714,0.7502486212819818,0.6134346723556519,0.6666666666666666,0.8,0.6201866269111633,0.6666666666666666,0.8,5904
18,0.1755446049984152,0.6003182985495714,0.7502486212819818,0.6119855642318726,0.6666666666666666,0.8,0.6191983819007874,0.6666666666666666,0.8,5904
19,0.16513819493081897,0.6003182985495714,0.7502486212819818,0.6105918288230896,0.6666666666666666,0.8,0.618261992931366,0.6666666666666666,0.8,5904
20,0.15655066206255688,0.6003182985495714,0.7502486212819818,0.6092917323112488,0.6666666666666666,0.8,0.6174126267433167,0.6666666666666666,0.8,5904
21,0.14846513627404764,0.6003182985495714,0.7502486212819818,0.6080713272094727,0.6666666666666666,0.8,0.6166332364082336,0.6666666666666666,0.8,5904
22,0.1417336744383316,0.6003182985495714,0.7502486212819818,0.6069514155387878,0.6666666666666666,0.8,0.6159424781799316,0.6666666666666666,0.8,5904
23,0.1357566612281448,0.6003182985495714,0.7502486212819818,0.6059387922286987,0.6666666666666666,0.8,0.6153455972671509,0.6666666666666666,0.8,5904
24,0.1303035380250894,0.6003182985495714,0.7502486212819818,0.6049649715423584,0.6666666666666666,0.8,0.6147893071174622,0.6666666666666666,0.8,5904
25,0.12589213985904063,0.6003182985495714,0.7502486212819818,0.6041314005851746,0.6666666666666666,0.8,0.6143577098846436,0.6666666666666666,0.8,5904
26,0.12116068771477212,0.6003182985495714,0.7502486212819818,0.6033257246017456,0.6666666666666666,0.8,0.6139442324638367,0.6666666666666666,0.8,5904
27,0.11708197892612603,0.6003182985495714,0.7502486212819818,0.6026009917259216,0.6666666666666666,0.8,0.613601803779602,0.6666666666666666,0.8,5904
28,0.11337773707892858,0.6003182985495714,0.7502486212819818,0.6019691228866577,0.6666666666666666,0.8,0.613339364528656,0.6666666666666666,0.8,5904
29,0.10994419896696972,0.6003182985495714,0.7502486212819818,0.6013936400413513,0.6666666666666666,0.8,0.613128662109375,0.6666666666666666,0.8,5904
30,0.10701340241834768,0.6003182985495714,0.7502486212819818,0.6009377241134644,0.6666666666666666,0.8,0.6130197644233704,0.6666666666666666,0.8,5904
31,0.10425993280275624,0.6003182985495714,0.7502486212819818,0.6005682349205017,0.6666666666666666,0.8,0.6129889488220215,0.6666666666666666,0.8,5904
32,0.10212175553754606,0.6003182985495714,0.7502486212819818,0.6002724766731262,0.6666666666666666,0.8,0.6130251884460449,0.6666666666666666,0.8,5904
33,0.09912828975934991,0.6003182985495714,0.7502486212819818,0.5998419523239136,0.6666666666666666,0.8,0.6129298806190491,0.6666666666666666,0.8,5904
34,0.09726988249639801,0.6003182985495714,0.7502486212819818,0.5997186303138733,0.6666666666666666,0.8,0.6131148934364319,0.6666666666666666,0.8,5904
35,0.09452857046447222,0.6003182985495714,0.7502486212819818,0.5993192791938782,0.6666666666666666,0.8,0.6130406856536865,0.6666666666666666,0.8,5904
36,0.09287983181293043,0.6003182985495714,0.7502486212819818,0.5993373394012451,0.6666666666666666,0.8,0.6133514046669006,0.6666666666666666,0.8,5904
37,0.09131354089788717,0.6003182985495714,0.7502486212819818,0.5992246270179749,0.6666666666666666,0.8,0.6135287284851074,0.6666666666666666,0.8,5904
38,0.08883561526222254,0.6003182985495714,0.7502486212819818,0.5990152955055237,0.6666666666666666,0.8,0.6136210560798645,0.6666666666666666,0.8,5904
39,0.08724099511521215,0.6003182985495714,0.7502486212819818,0.5989295840263367,0.6666666666666666,0.8,0.6138155460357666,0.6666666666666666,0.8,5904
40,0.0856148382387773,0.6003182985495714,0.7502486212819818,0.5989513397216797,0.6666666666666666,0.8,0.614111065864563,0.6666666666666666,0.8,5904
41,0.08410383515633794,0.6003182985495714,0.7502486212819818,0.5989875793457031,0.6666666666666666,0.8,0.6144142150878906,0.6666666666666666,0.8,5904
42,0.08269825374034286,0.6003182985495714,0.7502486212819818,0.5989858508110046,0.6666666666666666,0.8,0.6146743893623352,0.6666666666666666,0.8,5904
43,0.08117875896735603,0.6003182985495714,0.7502486212819818,0.5990789532661438,0.6666666666666666,0.8,0.6150184869766235,0.6666666666666666,0.8,5904
44,0.08013894903362012,0.6003182985495714,0.7502486212819818,0.5992727279663086,0.6666666666666666,0.8,0.6154530644416809,0.6666666666666666,0.8,5904
