round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7612354692794212,0.93649318574598,0.006659807314563651,0.28285127878189087,0.9720718407804704,0.7725075384099938,0.9846867183210298,0.8657869327325395,0.9812110396295863,0.7155845595092191,0.02919838066628579,0.29336827993392944,0.9726077856843868,0.7842633878304733,0.9932690662255433,0.8764785825741179,0.98480263310852,0.7449740899855605,0.029633020712182327,0.08147773146629333,5904,0.9070289216069296,0.17985611510791366,0.004575681776584711,0.008924321751546883,0.9812110396295863,0.7155845595092191,0.0021009564880853653,0.9011078554485837,0.19480519480519481,0.003422508698876276,0.006726834463815236,0.98480263310852,0.7449740899855605,0.00153423572789587
2,0.6152328447681082,0.9361642836212722,0.007475453734007736,0.26190605759620667,0.9720885842812015,0.7725141161833669,0.9849307546824477,0.8658853817479686,0.9813500385107445,0.7161029670364141,0.02920452381391177,0.2637844383716583,0.9726301102274313,0.7843022470392219,0.993497233472135,0.876591675474357,0.984950875688076,0.7458366689981596,0.029633020712182327,0.04961166903376579,5904,0.9052931786978021,0.10733695652173914,0.004819718138002562,0.009225199976645063,0.9813500385107445,0.7161029670364141,0.004036047990269254,0.8996344356076461,0.1103448275862069,0.003650675945468028,0.007067528021644304,0.984950875688076,0.7458366689981596,0.0031922001435252777
3,0.5794570354617286,0.9365051458232421,0.0711723848347534,0.24297292530536652,0.9721443959503053,0.7728578267113452,0.9849917637728022,0.8661248357071967,0.9816359238707282,0.7165912711257991,0.029149235485277945,0.23792558908462524,0.9726691781777592,0.7844214317874831,0.9937824425303747,0.8767771319292419,0.9851521546532627,0.747160046235611,0.02962064784340897,0.03700006753206253,5904,0.9060466362307031,0.3628482972136223,0.03575132694771521,0.0650894146395646,0.9816359238707282,0.7165912711257991,0.0063212989071340375,0.900326496442026,0.38903924221921515,0.03279904169756431,0.06049765900362986,0.9851521546532627,0.747160046235611,0.005586350251169236
4,0.549614376515668,0.9380515838132314,0.1544062428576093,0.23427227139472961,0.9723508991259893,0.774413359566198,0.9845647001403209,0.866935267257588,0.9823800690793446,0.7176270189633205,0.028878936989734802,0.2255455106496811,0.9728310311148318,0.7858335966773509,0.9929268153556557,0.8773247316163499,0.985383937916805,0.7483710448338311,0.02934844473039519,0.029706163331866264,5904,0.9091386026990523,0.5202038587550054,0.08718199011652736,0.14933639878775212,0.9823800690793446,0.7176270189633205,0.00809666857104243,0.90282126412725,0.5238095238095238,0.07466773144715076,0.1307039440838742,0.985383937916805,0.7483710448338311,0.007361856920145505
5,0.5205742044999172,0.939148322898166,0.19112573726967774,0.2316555380821228,0.9726355386384186,0.7759680983953109,0.985357818314929,0.8682166375487166,0.9838961844960317,0.717147433287101,0.028645497379947538,0.22221411764621735,0.9728031254360262,0.7856046931407942,0.9930408989789515,0.8772265752941473,0.9851350801155287,0.7433963902108975,0.029391749771101927,0.02460939809679985,5904,0.9111701474544298,0.5725190839694656,0.11439204441461778,0.1906844299806773,0.9838961844960317,0.717147433287101,0.00860040667637284,0.9040323705874146,0.5590717299578059,0.09069648052022132,0.15607361963190183,0.9851350801155287,0.7433963902108975,0.007757788720892826
6,0.48684268802591385,0.9390275261178187,0.18847500795924865,0.23316004872322083,0.9727192561420742,0.7756265874347055,0.9874321273869806,0.8688066992323796,0.9841826781366935,0.7159118896183628,0.02876221718484117,0.2244594544172287,0.9727249895353705,0.7844928449284493,0.9944099024585021,0.87706588182024,0.9848249381140244,0.7386131684634504,0.02962683427779565,0.02092651091516018,5904,0.9111534039536986,0.572039072039072,0.11433103532426332,0.190573041134896,0.9841826781366935,0.7159118896183628,0.008612692971624801,0.9037868006139249,0.5521056388294076,0.08824368261936,0.15216642895785176,0.9848249381140244,0.7386131684634504,0.007763975155279503
7,0.46228738526761215,0.9375289284368777,0.16189849654220753,0.23811447620391846,0.9723453179590789,0.7736932797242964,0.9861509364895369,0.8670976048064801,0.9839771969508341,0.7121243743609512,0.029044801975636275,0.2313196063041687,0.9719213059857681,0.7799677477154632,0.9932120244138953,0.8737674068498307,0.9844534169861126,0.7334078161867883,0.030387765707356906,0.02013547159731388,5904,0.9092613883710806,0.5215001616553508,0.09840766274174852,0.16557175118045575,0.9839771969508341,0.7121243743609512,0.009091858486451289,0.9019673503557974,0.4935897435897436,0.07466773144715076,0.12971312490710005,0.9844534169861126,0.7334078161867883,0.00830838138130707
8,0.4417260823894263,0.938214240863996,0.14856445924119063,0.24123027920722961,0.9712737339122863,0.7649137687305626,0.9903605637239948,0.8631590141706325,0.9836286307592975,0.7065820334357764,0.030648163506017213,0.23645907640457153,0.9705204409097251,0.7703854134475299,0.995379613256517,0.8685481061171669,0.9839243517481685,0.7259562501383837,0.03217564524510653,0.017543425783514977,5904,0.9095795148849721,0.5350036845983788,0.08858519919468001,0.15200209369275058,0.9836286307592975,0.7065820334357764,0.007752652303987517,0.9023077996372262,0.5058416270012981,0.06668187781643944,0.11783086382421126,0.9839243517481685,0.7259562501383837,0.007064908069585014
9,0.41234265520665475,0.9377621499434886,0.12997391827726879,0.24340860545635223,0.9716365097614609,0.7663824374617233,0.992495881886401,0.8649050986229996,0.983238609658618,0.7014019093819173,0.030463869077237794,0.24047313630580902,0.9705204409097251,0.7703138103014521,0.9955507386914608,0.8685677316611924,0.983414361026105,0.7195397805775873,0.03219420454826656,0.016840949654579163,5904,0.9088260573520712,0.511165245635404,0.07681044475626868,0.13355256179060146,0.983238609658618,0.7014019093819173,0.007396349741680642,0.9018222408260081,0.48565965583174,0.057954480634304945,0.10355195433929572,0.983414361026105,0.7195397805775873,0.006656603400064339
10,0.39500296773753263,0.9363664089270016,0.11071553928696785,0.24500185251235962,0.9720048667775458,0.7680886165448975,0.9941431273259715,0.8666170291974685,0.9827582125909211,0.6952691100814092,0.030224286319824552,0.2439478188753128,0.9706041579461421,0.7706806744945705,0.9958929895613484,0.8689311932313052,0.9829414312135947,0.7132323509811249,0.03213852663878647,0.01654318906366825,5904,0.9072465871164344,0.4533169533169533,0.06753706302239033,0.11755960282482876,0.9827582125909211,0.6952691100814092,0.0082011020806841,0.9002204548625645,0.4154895275207014,0.04865666533569106,0.08711192810457516,0.9829414312135947,0.7132323509811249,0.007423721264012274
11,0.37669410445227686,0.935513655418214,0.08780537321513163,0.2480456382036209,0.9723397367921685,0.7698588757256808,0.995119272771643,0.8681143222098036,0.9819492217761382,0.6847684549392966,0.029953987824281405,0.24913069605827332,0.97069345611832,0.7711774578217472,0.9960070731846443,0.8692903193687302,0.9821454709652006,0.7019777881503078,0.032051916557372995,0.016418371349573135,5904,0.9059573375601371,0.39601268690530134,0.0533219449698005,0.09398860092483062,0.9819492217761382,0.6847684549392966,0.00818881578543214,0.8992046881540393,0.3567948023822415,0.037590553875991105,0.06801527505418516,0.9821454709652006,0.7019777881503078,0.007349484051372151
12,0.36383808066098905,0.9347793066743211,0.06776531728665208,0.24878090620040894,0.9727862301449988,0.7726992848008336,0.9953023000427064,0.8699872013651877,0.9810138661785724,0.6717728574378419,0.0294809654570809,0.25074318051338196,0.9706711315752755,0.7713527851458886,0.9952655296332211,0.8691190754900252,0.9814310433062814,0.6896673913934399,0.0319962386478929,0.0171511210501194,5904,0.9050141203522832,0.3465298142717498,0.04325544506131414,0.07691056028638064,0.9810138661785724,0.6717728574378419,0.008213388375936062,0.8982726384819311,0.29285714285714287,0.028064571330785465,0.0512206548331685,0.9814310433062814,0.6896673913934399,0.007349484051372151
13,0.35196117820123235,0.933763896114769,0.03964138935613089,0.25256848335266113,0.9731378436603525,0.7742042440318302,0.9971935818436947,0.8716636002453138,0.9800649569406448,0.6584321227923929,0.02928438473304952,0.25528809428215027,0.9707660108832147,0.7717405720854149,0.9957218641264046,0.8695392278953923,0.980602513850467,0.6768943383490283,0.03194056073841281,0.016785765066742897,5904,0.9033676761137218,0.23703703703703705,0.025379781587456532,0.04585032514052684,0.9800649569406448,0.6584321227923929,0.008225674671188024,0.8970113017999163,0.1829436038514443,0.015173121898351492,0.028022122728469843,0.980602513850467,0.6768943383490283,0.007349484051372151
14,0.34551310757125875,0.9325344001722251,0.02667586920886895,0.25261959433555603,0.9733164410014846,0.7753011476809257,0.9973766091147581,0.8724284227659631,0.9790713100268085,0.6454299709214659,0.029106233451896082,0.25535669922828674,0.9708776335984373,0.7725441586612953,0.9954366550681649,0.8699401794616152,0.9795415719363976,0.6636836146424624,0.03178589987874589,0.017315708100795746,5904,0.901922153883934,0.16458569807037457,0.017692636202794217,0.03195064176720101,0.9790713100268085,0.6454299709214659,0.009042713305443444,0.8957555462536626,0.1153588195841717,0.009811191603445325,0.018084323414993164,0.9795415719363976,0.6636836146424624,0.008159906956026825
15,0.3338646447805223,0.9323478229669364,0.021315985258750454,0.2532041370868683,0.973411320838961,0.77592671697755,0.9973766091147581,0.8728243459690337,0.9782768757846702,0.6349923927935821,0.02900179994225441,0.2559492886066437,0.9709446072275708,0.773293715907579,0.9946380697050938,0.8701097804391218,0.9786128613079357,0.6520885276105952,0.03162505258469229,0.017488660290837288,5904,0.9016430955384152,0.13807285546415982,0.01433713623329876,0.025976897142541314,0.9782768757846702,0.6349923927935821,0.00901199756731354,0.8955434630947398,0.09334248455730954,0.00775768638411956,0.014324836738993048,0.9786128613079357,0.6520885276105952,0.008172279824800179
16,0.3293632495766678,0.9321588537461952,0.016744960044375878,0.25382092595100403,0.9735396876778997,0.7768536121673004,0.9971935818436947,0.8733402794475168,0.9776654007896007,0.6266539062722132,0.028842078103978916,0.25675278902053833,0.9709613506348542,0.7738581837568864,0.993554275283783,0.870051699592897,0.9779701080312571,0.6436333657649489,0.03148895102818539,0.017832521349191666,5904,0.9014086865281793,0.11393939393939394,0.011469708986639009,0.020841416772906157,0.9776654007896007,0.6266539062722132,0.008981281829183637,0.895381610157667,0.07729805013927576,0.006331641092921111,0.011704539463278325,0.9779701080312571,0.6436333657649489,0.008197025562346886
17,0.32181167301212066,0.9329422388068627,0.012539626629094752,0.2573869824409485,0.9736066616808242,0.7776402247405009,0.9964004636690867,0.8735324793410532,0.9772929690448365,0.6216460916441007,0.0286884994133294,0.2606719434261322,0.9711734337937771,0.7755838830451061,0.992584564485768,0.8707683839167313,0.9776493912886628,0.6397178852003779,0.031148697136918167,0.01734638772904873,5904,0.9020449395559623,0.08981612446958982,0.007748154475016778,0.014265655714686886,0.9772929690448365,0.6216460916441007,0.007906230994637033,0.8963973768661923,0.0728476821192053,0.005019679425018539,0.009392176743689631,0.9776493912886628,0.6397178852003779,0.0069288065130781226
18,0.31696859324748233,0.9335844949558374,0.01178082679337284,0.25825029611587524,0.9736066616808242,0.7780373831775701,0.9954853273137697,0.8734309343468137,0.9770938897976126,0.6190625328285712,0.028596352198939693,0.2612636685371399,0.9712794753732384,0.7764879224896192,0.9920141463692886,0.8711180124223602,0.9774881870510017,0.6380539279217182,0.030969290539704535,0.01705348491668701,5904,0.9027983970888633,0.09422011084718923,0.007260081752181075,0.013481363996827915,0.9770938897976126,0.6190625328285712,0.007027760884121806,0.8970280452071997,0.0733519034354689,0.004506303120187097,0.008490971625107481,0.9774881870510017,0.6380539279217182,0.006174061517903541
19,0.3118865783834806,0.9334230339127991,0.008725692713156208,0.2631804049015045,0.973617824014645,0.7785366319610278,0.9945091818680983,0.873369230357095,0.9769364815247263,0.6171629236619511,0.028485775541672042,0.2665223777294159,0.9713297055950886,0.7772955074279577,0.99087331013633,0.871185335640312,0.9773814046271503,0.6370805060679324,0.030789883942490905,0.016266584396362305,5904,0.9026421244153727,0.07506053268765134,0.005673845402965042,0.010550198525241066,0.9769364815247263,0.6171629236619511,0.007040047179373767,0.8968829356774104,0.06451612903225806,0.003992926815355655,0.007520412548345509,0.9773814046271503,0.6370805060679324,0.006279230902477048
20,0.31064919958501963,0.9329601789227558,0.005464771739323291,0.2653675377368927,0.9735787558462723,0.7784625674836367,0.9940821182356171,0.8731579229408928,0.976827087510515,0.6159778971175482,0.028485775541672042,0.268897145986557,0.9712906376447608,0.7772257284812676,0.9904740174547944,0.8709871589085072,0.9773102249902756,0.6365367308074803,0.030789883942490905,0.015810806304216385,5904,0.9021230758927077,0.03790322580645161,0.002867427246659752,0.005331518348363678,0.976827087510515,0.6159778971175482,0.0073287751177948555,0.8965145807171759,0.04582210242587601,0.002909132394044835,0.00547092898519631,0.9773102249902756,0.6365367308074803,0.006569993318650862
21,0.3079653335163224,0.9326791171070965,0.004351363781087487,0.2671787142753601,0.973573174679362,0.7785052088311192,0.9938990909645538,0.8731141302891443,0.9767847407936863,0.6155106238163246,0.02847348924642008,0.27074718475341797,0.9712794753732384,0.7773299296878499,0.9900747247732588,0.8708981435022579,0.9772918525399481,0.6364224604735393,0.03075895177055752,0.015232826583087444,5904,0.9020281960552312,0.03368083400160385,0.0025623817948874383,0.004762444721623767,0.9767847407936863,0.6155106238163246,0.007402492889306623,0.89638621459467,0.0448943661971831,0.002909132394044835,0.005464188139497509,0.9772918525399481,0.6364224604735393,0.006712281309544431
22,0.30478880054228646,0.932630080790322,0.004172191284363122,0.2708282768726349,0.973500619509527,0.7784207757425032,0.9929839546092368,0.8727077747989276,0.9767197107918983,0.6148922239754936,0.028461202951168118,0.27484288811683655,0.9712069206083438,0.7773742265267689,0.9889338885403001,0.8704842718349107,0.9772602144207219,0.6362724510873585,0.030715646729850783,0.014777026139199734,5904,0.9019891278868586,0.03349282296650718,0.0025623817948874383,0.004760555398129781,0.9767197107918983,0.6148922239754936,0.007445494922688487,0.896296916422492,0.019230769230769232,0.0011978780446066967,0.00225527573430704,0.9772602144207219,0.6362724510873585,0.006625671228130955
23,0.30345789307912,0.9326312767980481,0.004207474454619383,0.27328065037727356,0.9734894571757063,0.7785061486195511,0.99261790006711,0.8726200053633681,0.9767224332508305,0.614983816752238,0.028436630360664197,0.27748817205429077,0.9711845960652993,0.7773840495200502,0.9885916376704124,0.8703578154425612,0.9772619444415183,0.6363819371002888,0.030703273861077428,0.014232872053980827,5904,0.901994709053769,0.0335195530726257,0.0025623817948874383,0.004760825209703015,0.9767224332508305,0.614983816752238,0.007439351775062507,0.8963359843728199,0.01935483870967742,0.0011978780446066967,0.0022561237645036527,0.9772619444415183,0.6363819371002888,0.006582366187424216
24,0.2991614727878801,0.9326252967594171,0.004207102579059942,0.27539047598838806,0.9735062006764374,0.7785645933014355,0.9927399182478189,0.8727038695663834,0.9767487474804667,0.6152704945181442,0.028430487213038216,0.2797228991985321,0.9711845960652993,0.7773094170403587,0.9887627631053563,0.8703773442795812,0.9772818595304814,0.6365662821434095,0.03072183316423746,0.01354148332029581,5904,0.9020058713875897,0.03357314148681055,0.0025623817948874383,0.004761364924611722,0.9767487474804667,0.6152704945181442,0.0074270654798105455,0.896341565508581,0.01937269372693727,0.0011978780446066967,0.0022562449637389204,0.9772818595304814,0.6365662821434095,0.006576179753037539
