round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.5087845734494615,0.6003182985495714,0.7502486212819818,0.6661147475242615,0.7916736990154711,0.7619108853597377,1.0,0.8648688099843083,0.5732723245918567,0.6500157147541042,0.6249789029535865,0.6652734875679016,0.8,0.7692307692307693,1.0,0.8695652173913043,0.60094823123075,0.6571544857829601,0.6,0.5391432642936707,442512,0.6666666666666666,0.6666666666666666,1.0,0.8,0.5732723245918567,0.6500157147541042,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8,0.60094823123075,0.6571544857829601,1.0
2,0.40793245942107464,0.6003182985495714,0.7502486212819818,0.6383785009384155,0.6809001406469761,0.6762926606551763,1.0,0.8068909165191339,0.49510106286385724,0.6274235631263095,0.9572995780590717,0.6336766481399536,0.6782559774964838,0.6744834651943764,1.0,0.8056018219517999,0.5373362744574409,0.6388899033889796,0.9652320675105486,0.6163298487663269,442512,0.6666666666666666,0.6666666666666666,1.0,0.8,0.49510106286385724,0.6274235631263095,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8,0.5373362744574409,0.6388899033889796,1.0
3,0.37062738463474143,0.6003182985495714,0.7502486212819818,0.6560665369033813,0.6809001406469761,0.6762926606551763,1.0,0.8068909165191339,0.5091446313802988,0.6314232419719867,0.9572995780590717,0.6487337350845337,0.6782559774964838,0.6744834651943764,1.0,0.8056018219517999,0.5515689579661379,0.6427098099860247,0.9652320675105486,0.7044218182563782,442512,0.6666666666666666,0.6666666666666666,1.0,0.8,0.5091446313802988,0.6314232419719867,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8,0.5515689579661379,0.6427098099860247,1.0
4,0.3805235265696769,0.6003182985495714,0.7502486212819818,0.6993674039840698,0.7916736990154711,0.7619108853597377,1.0,0.8648688099843083,0.5535072798162688,0.6436389191632026,0.6249789029535865,0.691536009311676,0.8,0.7692307692307693,1.0,0.8695652173913043,0.5810733963574214,0.6506537294770249,0.6,0.7860360145568848,442512,0.6666666666666666,0.6666666666666666,1.0,0.8,0.5535072798162688,0.6436389191632026,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8,0.5810733963574214,0.6506537294770249,1.0
5,0.3982018189942232,0.6003182985495714,0.7502486212819818,0.7431115508079529,0.7916736990154711,0.7619108853597377,1.0,0.8648688099843083,0.5559488970784597,0.6437325330010106,0.6249789029535865,0.7355563640594482,0.8,0.7692307692307693,1.0,0.8695652173913043,0.5852804714344211,0.6529960359921166,0.6,0.8338635563850403,442512,0.6666666666666666,0.6666666666666666,1.0,0.8,0.5559488970784597,0.6437325330010106,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8,0.5852804714344211,0.6529960359921166,1.0
6,0.40417541119261374,0.6003182985495714,0.7502486212819818,0.772727906703949,0.7916736990154711,0.7619108853597377,1.0,0.8648688099843083,0.5330821271519877,0.7170009874071097,0.6249789029535865,0.7656471729278564,0.8,0.7692307692307693,1.0,0.8695652173913043,0.5692694048318468,0.7295944000094639,0.6,0.8554236888885498,442512,0.6666666666666666,0.6666666666666666,1.0,0.8,0.5330821271519877,0.7170009874071097,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8,0.5692694048318468,0.7295944000094639,1.0
7,0.39730605152041903,0.6003182985495714,0.7502486212819818,0.7887222766876221,0.7916736990154711,0.7619108853597377,1.0,0.8648688099843083,0.754809620965301,0.8427643527707955,0.6249789029535865,0.782417356967926,0.8,0.7692307692307693,1.0,0.8695652173913043,0.7486105146967188,0.83112882745592,0.6,0.8666207194328308,442512,0.6666666666666666,0.6666666666666666,1.0,0.8,0.754809620965301,0.8427643527707955,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8,0.7486105146967188,0.83112882745592,1.0
8,0.3788759516240013,0.6003182985495714,0.7502486212819818,0.7931563258171082,0.8718987341772152,0.8587812008095346,0.9668354430379746,0.9096105752054305,0.8081548042514554,0.8715204559175436,0.3179746835443038,0.7877042293548584,0.8735864978902954,0.8608793686583991,0.9665822784810126,0.9106738223017293,0.8089296871940037,0.8549476262865677,0.31240506329113926,0.9090561866760254,442512,0.6666666666666666,0.6666666666666666,1.0,0.8,0.8081548042514554,0.8715204559175436,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8,0.8089296871940037,0.8549476262865677,1.0
9,0.3555333231357745,0.6003182985495714,0.7502486212819818,0.7919412851333618,0.8738115330520394,0.86179106725917,0.9655696202531645,0.9107334739523222,0.8071148640709287,0.8712804032895058,0.309704641350211,0.7872011661529541,0.8766244725738397,0.8643875933891781,0.9665822784810126,0.9126329628301662,0.8078101728711568,0.8550084269014578,0.3032911392405063,0.9054569602012634,442512,0.6666666666666666,0.6666666666666666,1.0,0.8,0.8071148640709287,0.8712804032895058,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8,0.8078101728711568,0.8550084269014578,1.0
10,0.3305583127253656,0.6003182985495714,0.7502486212819818,0.7841349840164185,0.8738115330520394,0.8617365765494389,0.9656540084388185,0.91074057861435,0.8064369527675408,0.8712875164038077,0.309873417721519,0.7800387144088745,0.8763994374120957,0.86412674462467,0.9665822784810126,0.9124875522804222,0.8069526535989602,0.8546050343859489,0.3039662447257384,0.8988721370697021,442512,0.6666666666666666,0.6666666666666666,1.0,0.8,0.8064369527675408,0.8712875164038077,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8,0.8069526535989602,0.8546050343859489,1.0
