round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_f1,test_loss,test_accuracy,test_f1,communication_cost_bytes
1,0.5940257361161376,0.6003182985495714,0.7502486212819818,0.6653633713722229,0.6666666666666666,0.8,0.6644710898399353,0.6666666666666666,0.8,442512
2,0.45687794001526033,0.6003182985495714,0.7502486212819818,0.6383400559425354,0.6666666666666666,0.8,0.6334683299064636,0.6666666666666666,0.8,442512
3,0.3975162368682752,0.6003182985495714,0.7502486212819818,0.6590337157249451,0.6666666666666666,0.8,0.6514056921005249,0.6666666666666666,0.8,442512
4,0.4007277213686771,0.6003182985495714,0.7502486212819818,0.7073997259140015,0.6666666666666666,0.8,0.6992828845977783,0.6666666666666666,0.8,442512
5,0.41836201202628437,0.6003182985495714,0.7502486212819818,0.7574407458305359,0.6666666666666666,0.8,0.7496544718742371,0.6666666666666666,0.8,442512
6,0.42666002104266293,0.6003182985495714,0.7502486212819818,0.7936074137687683,0.6666666666666666,0.8,0.7862133979797363,0.6666666666666666,0.8,442512
7,0.42204142215432355,0.6003182985495714,0.7502486212819818,0.815484881401062,0.6666666666666666,0.8,0.8087188601493835,0.6666666666666666,0.8,442512
8,0.4064469519894259,0.6003182985495714,0.7502486212819818,0.8246944546699524,0.6666666666666666,0.8,0.8186941742897034,0.6666666666666666,0.8,442512
9,0.3830845016421931,0.6003182985495714,0.7502486212819818,0.8261252641677856,0.6666666666666666,0.8,0.8207048773765564,0.6666666666666666,0.8,442512
10,0.35818927971065057,0.6003182985495714,0.7502486212819818,0.8200175762176514,0.6666666666666666,0.8,0.8151832818984985,0.6666666666666666,0.8,442512
11,0.33330028980483933,0.6003182985495714,0.7502486212819818,0.8140755891799927,0.6666666666666666,0.8,0.8096068501472473,0.6666666666666666,0.8,442512
12,0.31113268858258236,0.6003182985495714,0.7502486212819818,0.8041709065437317,0.6666666666666666,0.8,0.8000665307044983,0.6666666666666666,0.8,442512
13,0.2905839055780889,0.6003182985495714,0.7502486212819818,0.7950283885002136,0.6666666666666666,0.8,0.791114866733551,0.6666666666666666,0.8,442512
14,0.27129677785749695,0.6003182985495714,0.7502486212819818,0.7874748110771179,0.6666666666666666,0.8,0.7835946679115295,0.6666666666666666,0.8,442512
15,0.2563478114145111,0.6003182985495714,0.7502486212819818,0.7809610962867737,0.6666666666666666,0.8,0.7770167589187622,0.6666666666666666,0.8,442512
16,0.24128785727842164,0.6003182985495714,0.7502486212819818,0.7719446420669556,0.6666666666666666,0.8,0.7679259181022644,0.6666666666666666,0.8,442512
17,0.2286881992359958,0.6003182985495714,0.7502486212819818,0.7625293731689453,0.6666666666666666,0.8,0.7583733201026917,0.6666666666666666,0.8,442512
18,0.21435763357643603,0.6003182985495714,0.7502486212819818,0.7556099891662598,0.6666666666666666,0.8,0.7512021064758301,0.6666666666666666,0.8,442512
19,0.20428308675312432,0.6003182985495714,0.7502486212819818,0.7459662556648254,0.6666666666666666,0.8,0.7413241267204285,0.6666666666666666,0.8,442512
20,0.19388064042358896,0.6003182985495714,0.7502486212819818,0.7419602274894714,0.6666666666666666,0.8,0.7368866801261902,0.6666666666666666,0.8,442512
21,0.18393949256882838,0.6003182985495714,0.7502486212819818,0.7363795042037964,0.6666666666666666,0.8,0.7309011220932007,0.6666666666666666,0.8,442512
22,0.17712133285950207,0.6003182985495714,0.7502486212819818,0.7298356294631958,0.6666666666666666,0.8,0.723987340927124,0.6666666666666666,0.8,442512
23,0.17122461844650613,0.6003182985495714,0.7502486212819818,0.7236737012863159,0.6666666666666666,0.8,0.7174347043037415,0.6666666666666666,0.8,442512
24,0.16332686280621642,0.6003182985495714,0.7502486212819818,0.7156240940093994,0.6666666666666666,0.8,0.70904940366745,0.6666666666666666,0.8,442512
25,0.1575449252364343,0.7258050903654405,0.8140839083090808,0.7173387408256531,0.7916736990154711,0.8648688099843083,0.7101755142211914,0.8,0.8695652173913043,442512
26,0.15339190567298774,0.7258050903654405,0.8140839083090808,0.7087115049362183,0.7916736990154711,0.8648688099843083,0.7012026309967041,0.8,0.8695652173913043,442512
27,0.14774519854086662,0.7258050903654405,0.8140839083090808,0.7036175727844238,0.7916736990154711,0.8648688099843083,0.6956959366798401,0.8,0.8695652173913043,442512
28,0.14327270954981616,0.7258050903654405,0.8140839083090808,0.6964928507804871,0.7916736990154711,0.8648688099843083,0.6882730722427368,0.8,0.8695652173913043,442512
29,0.13838717335864376,0.7258050903654405,0.8140839083090808,0.6954746246337891,0.7916736990154711,0.8648688099843083,0.6868109703063965,0.8,0.8695652173913043,442512
30,0.13487503705203238,0.7258050903654405,0.8140839083090808,0.6863575577735901,0.7916736990154711,0.8648688099843083,0.6775460839271545,0.8,0.8695652173913043,442512
31,0.13208849009703008,0.7258050903654405,0.8140839083090808,0.6803969144821167,0.7916736990154711,0.8648688099843083,0.6713790893554688,0.8,0.8695652173913043,442512
32,0.12765103880916753,0.7258050903654405,0.8140839083090808,0.6837959289550781,0.7916736990154711,0.8648688099843083,0.6743683218955994,0.8,0.8695652173913043,442512
33,0.12775289357652364,0.7258050903654405,0.8140839083090808,0.6820279359817505,0.7916736990154711,0.8648688099843083,0.6723315119743347,0.8,0.8695652173913043,442512
34,0.12328566499868866,0.7258050903654405,0.8140839083090808,0.6816957592964172,0.7916736990154711,0.8648688099843083,0.6717143654823303,0.8,0.8695652173913043,442512
35,0.1221283842070976,0.7258050903654405,0.8140839083090808,0.683469295501709,0.7916736990154711,0.8648688099843083,0.6731840968132019,0.8,0.8695652173913043,442512
36,0.11895054417182088,0.7258050903654405,0.8140839083090808,0.6809511780738831,0.7916736990154711,0.8648688099843083,0.6705282330513,0.8,0.8695652173913043,442512
37,0.11997443083003025,0.7258050903654405,0.8140839083090808,0.6743873953819275,0.7916736990154711,0.8648688099843083,0.6639775633811951,0.8,0.8695652173913043,442512
38,0.11516237714085707,0.7258050903654405,0.8140839083090808,0.6837195158004761,0.7916736990154711,0.8648688099843083,0.6729157567024231,0.8,0.8695652173913043,442512
39,0.11706701528297987,0.7258050903654405,0.8140839083090808,0.6815979480743408,0.7916736990154711,0.8648688099843083,0.6707731485366821,0.8,0.8695652173913043,442512
40,0.11539252792501124,0.7258050903654405,0.8140839083090808,0.6817829012870789,0.7916736990154711,0.8648688099843083,0.6709011197090149,0.8,0.8695652173913043,442512
41,0.1144076823493656,0.7258050903654405,0.8140839083090808,0.6877565979957581,0.7916736990154711,0.8648688099843083,0.676706075668335,0.8,0.8695652173913043,442512
42,0.11364505271986843,0.7258050903654405,0.8140839083090808,0.687518298625946,0.7916736990154711,0.8648688099843083,0.6764415502548218,0.8,0.8695652173913043,442512
43,0.11352371296437036,0.7258050903654405,0.8140839083090808,0.6888735890388489,0.7916736990154711,0.8648688099843083,0.6777076125144958,0.8,0.8695652173913043,442512
44,0.11265189284593903,0.7258050903654405,0.8140839083090808,0.6964609622955322,0.7916736990154711,0.8648688099843083,0.6851164698600769,0.8,0.8695652173913043,442512
45,0.11158353353528111,0.7258050903654405,0.8140839083090808,0.6985384821891785,0.7916736990154711,0.8648688099843083,0.6871497631072998,0.8,0.8695652173913043,442512
46,0.11251234279110461,0.7258050903654405,0.8140839083090808,0.6983962655067444,0.7916736990154711,0.8648688099843083,0.6870225667953491,0.8,0.8695652173913043,442512
47,0.11119320932881849,0.7258050903654405,0.8140839083090808,0.711519181728363,0.7916736990154711,0.8648688099843083,0.6998521685600281,0.8,0.8695652173913043,442512
48,0.11343678323861145,0.7258050903654405,0.8140839083090808,0.7063839435577393,0.7916736990154711,0.8648688099843083,0.6947665810585022,0.8,0.8695652173913043,442512
49,0.10918968923902166,0.7258050903654405,0.8140839083090808,0.7102636098861694,0.7916736990154711,0.8648688099843083,0.6985827684402466,0.8,0.8695652173913043,442512
50,0.11025804097491942,0.7258050903654405,0.8140839083090808,0.7178372740745544,0.7916736990154711,0.8648688099843083,0.7059874534606934,0.8,0.8695652173913043,442512
