round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_f1,test_loss,test_accuracy,test_f1,communication_cost_bytes,control_variate_communication_cost_bytes,server_control_variate_l2_norm
1,0.5141177962412976,0.936499165784611,0.0,0.3715694546699524,0.9085190931720004,0.0,0.379210501909256,0.9021571089716758,0.0,11808,5904,0.2768805737129574
2,0.5187545699411155,0.936499165784611,0.0,0.31991803646087646,0.9085190931720004,0.0,0.3308912217617035,0.9021571089716758,0.0,11808,5904,0.12217004610369675
3,0.5984253503313852,0.936499165784611,0.0,0.3071680963039398,0.9085190931720004,0.0,0.31998273730278015,0.9021571089716758,0.0,11808,5904,0.06892333617368643
4,0.5777969125893131,0.9364955777614323,0.0,0.30125725269317627,0.90851351200509,0.0,0.3149660527706146,0.9021515278359146,0.00011406410402646287,11808,5904,0.056497223012888384
5,0.6624702687976193,0.9364919897382538,0.0,0.2995063066482544,0.90851351200509,0.0,0.31388500332832336,0.9021571089716758,0.0002281151981750784,11808,5904,0.035338396840113834
6,0.4726585959969647,0.9365230859391351,0.002630886608787161,0.2942371964454651,0.9079609764809626,0.003986229389382134,0.3084098696708679,0.901643644481652,0.0007937857912343369,11808,5904,0.053656523678923256
7,0.638602512139565,0.9364776376455392,0.002778820878708224,0.29127180576324463,0.9076819181354437,0.003974227735292346,0.3050021231174469,0.9015766708525185,0.0009064642229901988,11808,5904,0.02969309690245197
8,0.4193809303954345,0.9364967737691585,0.006660181097059043,0.2839929759502411,0.9070400839407503,0.008925383791503035,0.2956102788448334,0.9011469233989117,0.006729475100942127,11808,5904,0.052674780281147665
9,0.5276334609994517,0.9363269406720367,0.006939003917179631,0.2738528251647949,0.9058066460535569,0.008925949850255447,0.28156208992004395,0.9001479000976699,0.0067728862488202965,11808,5904,0.05372429605057962
10,0.42413104684325426,0.9361965758298798,0.007442275847954305,0.2610362470149994,0.9052875975308917,0.009108957141188836,0.2639278471469879,0.8996567601506906,0.007069089302479704,11808,5904,0.06009659337936999
11,0.41155894695433054,0.9348630272151558,0.013941193511008112,0.24802492558956146,0.9037862636320002,0.013166180090445933,0.2466696798801422,0.8981163666806196,0.011051519583942793,11808,5904,0.056177138537497354
12,0.35426808752678635,0.9388158327502796,0.13520412475699434,0.23438268899917603,0.9093004565394532,0.12774408244323976,0.228956937789917,0.9032956606669458,0.11511158776364844,11808,5904,0.0520240771328003
13,0.3535556991962956,0.9408047935989666,0.23019255295984073,0.22354748845100403,0.9138379452375903,0.2352125235311602,0.2147211879491806,0.9059299567461978,0.18900062551123514,11808,5904,0.04561949138840908
14,0.3273002970475161,0.9430150158770025,0.28873828148325076,0.21473105251789093,0.9174880283969773,0.29813900493733386,0.2030176967382431,0.9079391656202037,0.22830409356725145,11808,5904,0.039349622246323164
15,0.3332123359646872,0.9452814505181704,0.3362975643015682,0.20889295637607574,0.920100014511034,0.3361157484696717,0.195052370429039,0.9098590763220316,0.2571178878616439,11808,5904,0.03450345681670128
16,0.3148202883930567,0.9504936521889932,0.4452753320199949,0.20448698103427887,0.9267248596336523,0.43033800494641383,0.18896497786045074,0.918816799218641,0.3846869712351946,11808,5904,0.028646600365980976
17,0.32293493049037414,0.9559175472273551,0.535734979216526,0.20152318477630615,0.9340306071193365,0.5159308706691784,0.18500719964504242,0.9294321194363053,0.506325160081212,11808,5904,0.025418749550087882
18,0.3077565979668654,0.962036322754645,0.6319170647989238,0.1990855634212494,0.9448469085916483,0.6302476988700142,0.18175487220287323,0.9443002651039486,0.6509757291739525,11808,5904,0.02165068585000847
19,0.3179923037062236,0.9635672126441936,0.6565804604180289,0.19772639870643616,0.9478049270541484,0.6598035649327028,0.1797620952129364,0.9498200083717037,0.6989049261578648,11808,5904,0.01925727511280254
20,0.30311896950768896,0.9628161197921339,0.659742590728013,0.1965147852897644,0.9484635047495731,0.6713177190859259,0.17803436517715454,0.953079391656202,0.7278319142736897,11808,5904,0.01710049944150964
21,0.31536789530808457,0.9627706714985379,0.6634446967239701,0.19589745998382568,0.9471407681918136,0.6695740152810243,0.17699868977069855,0.9502497558253105,0.7230989065606361,11808,5904,0.015440374655806754
22,0.3011919165180632,0.9631043576541505,0.6693675444519469,0.19523590803146362,0.9477770212195966,0.6758133250181894,0.1759965419769287,0.9521417608483327,0.7372774901191825,11808,5904,0.014657035430249373
23,0.3139430091745268,0.9632335264885811,0.6710961322420157,0.19506604969501495,0.9479556185607286,0.677369131232052,0.17557065188884735,0.9526608064741174,0.7410550738795946,11808,5904,0.013055249760512179
24,0.3000790382077305,0.963432063771132,0.67459903577016,0.19466014206409454,0.9483630437451862,0.6816461358474984,0.1749264895915985,0.953604018417748,0.7480069113947073,11808,5904,0.013334211455879036
25,0.3128907652065715,0.9634236917170484,0.6742575944782924,0.19471468031406403,0.9483797872459174,0.6816069399979345,0.1747935563325882,0.9534644900237198,0.7470113477759572,11808,5904,0.011572365432877357
26,0.2995810203031415,0.9636605012468381,0.6777874398184479,0.19431667029857635,0.9488039559311061,0.6855654200802112,0.17422975599765778,0.9542514301660387,0.7526031449008541,11808,5904,0.012844961490645677
27,0.3126776803665431,0.9636461491541235,0.677427570837313,0.19440993666648865,0.9487704689296438,0.6851006895605338,0.17413370311260223,0.9541844565369053,0.7520014501072475,11808,5904,0.010585367295473165
28,0.2985241604718932,0.9637645539190183,0.6792033289920905,0.1941453367471695,0.9489992967729693,0.6872689938398358,0.1737731546163559,0.9545974605832287,0.7550362853443343,11808,5904,0.012137736127700681
29,0.3122296179277799,0.9637334577181369,0.6786490181324912,0.1942662000656128,0.9489323227700448,0.686622371395301,0.1737368106842041,0.9544021208315893,0.7536485345555421,11808,5904,0.01019400401537309
30,0.29888555374278236,0.9638733906221034,0.6806301543666737,0.1939988136291504,0.9491276636119079,0.6884080265271938,0.17339830100536346,0.9548876796428073,0.7570994981518767,11808,5904,0.011760522182464966
31,0.3124165158685743,0.963774121980828,0.6791249536522062,0.19423018395900726,0.9489546474376863,0.6868237227777017,0.1734948307275772,0.9544411887819171,0.7539115492448223,11808,5904,0.010615426730332979
32,0.29836536558260396,0.9638674105834724,0.6804793180399996,0.19401636719703674,0.949083014276625,0.688027904113805,0.17324285209178925,0.954826287149435,0.756615347606447,11808,5904,0.011599455282976914
33,0.3115104574727,0.9637561818649348,0.6787720748796879,0.19428148865699768,0.948921160436224,0.6863175212503427,0.17339129745960236,0.9542291056229942,0.7524226415094339,11808,5904,0.011032577909491003
34,0.2983285276135121,0.9638805666684607,0.6806125470620584,0.19399984180927277,0.9491053389442665,0.6881646889853982,0.17307481169700623,0.9548207060136737,0.7566365030213751,11808,5904,0.01178215345542135
35,0.3120159431555865,0.9637944541121736,0.6793016505286353,0.1942233443260193,0.9489379039369551,0.6866458882761928,0.1731826514005661,0.9543797962885447,0.7534684521655206,11808,5904,0.011405709709878763
36,0.2985107112883815,0.9639128588770683,0.6810768531535055,0.1939486861228943,0.9491332447788183,0.6885167464114833,0.17288029193878174,0.954965815543463,0.7576512989938429,11808,5904,0.0120235501607561
37,0.31134817287565975,0.9638052181817095,0.6794343519940681,0.19420944154262543,0.9489434851038655,0.686690869237619,0.1730395406484604,0.954390958560067,0.7535733671069296,11808,5904,0.011425757996165053
38,0.2986532067886607,0.9639331910084139,0.6813609467455621,0.1939350664615631,0.9491444071126391,0.688648944167293,0.17274554073810577,0.9549993023580299,0.757933291302651,11808,5904,0.01196600180954847
39,0.3113514792574585,0.9638076101971619,0.679475908527608,0.19421683251857758,0.9489155792693136,0.6864874122281213,0.1729365438222885,0.9543686340170224,0.7534230050063333,11808,5904,0.011486589267591567
40,0.2982242888048242,0.9639296029852353,0.6813393489217375,0.1939392238855362,0.9491499882795494,0.6887150227202843,0.17264334857463837,0.9549937212222688,0.7579105373761633,11808,5904,0.012045971485402323
41,0.3113351911534228,0.9638171782589715,0.6797370398992199,0.19415342807769775,0.9489602286045966,0.6869330046900141,0.17276832461357117,0.9545472303613786,0.7546840171094644,11808,5904,0.01164206527835958
42,0.29749098213021896,0.9639511311243071,0.6816371798257196,0.193913072347641,0.9491667317802807,0.6889131771295853,0.17252422869205475,0.9550272080368355,0.7581777804453514,11808,5904,0.012060979969077991
43,0.31056319370283497,0.9637944541121736,0.6794171220400729,0.1941729187965393,0.9489099981024033,0.6865283199780837,0.17270265519618988,0.9544970001395284,0.7543463195637109,11808,5904,0.011697679266933285
44,0.2965233242874244,0.9638686065911986,0.6805811076571718,0.19399899244308472,0.9490718519428042,0.6880661812463679,0.17253190279006958,0.9548318682851961,0.7567989902935962,11808,5904,0.011591649871452895
45,0.30965368418074257,0.9637011655095292,0.6781070360392847,0.19431155920028687,0.9487816312634646,0.6852772728831579,0.1727757602930069,0.9541174829077718,0.751713931925946,11808,5904,0.011642316377434351
46,0.2961002836364072,0.9638422944212219,0.68022001269304,0.19403399527072906,0.9490327837744316,0.6877308165777596,0.1724938601255417,0.9547537323845402,0.7562757418152302,11808,5904,0.011610101151180784
47,0.3088681052921555,0.9636712653163739,0.6777701161618841,0.19431158900260925,0.9487537254289127,0.6850733982713678,0.17270708084106445,0.9540895772289661,0.7515103914934751,11808,5904,0.011436682756485192
48,0.29611210477144273,0.9638064141894357,0.679733305111652,0.1940784454345703,0.9489546474376863,0.6870808813466539,0.1724778562784195,0.9545974605832287,0.7551689890751497,11808,5904,0.011603445791656083
49,0.30889937621614716,0.9636760493472788,0.6779013903766001,0.1942693293094635,0.948742563095092,0.6850696111377821,0.17259609699249268,0.9541398074508163,0.7518946828104713,11808,5904,0.011512584642339473
50,0.2956106528849894,0.963802826166257,0.6797523940532247,0.19404439628124237,0.9489602286045966,0.6871472067325785,0.17238381505012512,0.9546811776196455,0.7557600914395717,11808,5904,0.011838157625910112
