round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.8329713004307028,0.9741224433388612,0.18007662835249041,0.6324758529663086,0.9963276836158192,0.6181818181818182,0.3269230769230769,0.4276729559748428,0.640597333753133,0.2670172197173183,0.0008510293402496353,0.6281006932258606,0.9905165456012913,0.5801526717557252,0.296875,0.39276485788113696,0.6292705296342359,0.2942508516612869,0.0022427010275648343,0.5251451730728149,5042800,0.9685230024213075,0.05643044619422572,0.41346153846153844,0.09930715935334873,0.640597333753133,0.2670172197173183,0.02913762360188037,0.9623486682808716,0.10409356725146199,0.34765625,0.16021602160216022,0.6292705296342359,0.2942508516612869,0.03123470885663024
2,0.7580705601989368,0.9760053897180763,0.23513215859030837,0.5846987366676331,0.9962873284907183,0.5681818181818182,0.4807692307692308,0.5208333333333334,0.751066124668005,0.4198110180081624,0.0015399578537850544,0.582485556602478,0.9894269572235674,0.4819277108433735,0.3125,0.3791469194312796,0.6770766169109852,0.3112821308882703,0.003506768879465014,0.5542517304420471,5042800,0.9844632768361582,0.14786967418546365,0.5673076923076923,0.2345924453280318,0.751066124668005,0.4198110180081624,0.013778570270708381,0.9604923325262308,0.1108719052744887,0.40234375,0.17383966244725738,0.6770766169109852,0.3112821308882703,0.03368129179579188
3,0.6807815709539007,0.9867502763957988,0.34163090128755363,0.5108078122138977,0.9960048426150121,0.5333333333333333,0.38461538461538464,0.44692737430167595,0.7037969780665112,0.34282035628391466,0.0014183822337493922,0.5100728869438171,0.9895076674737692,0.4879518072289157,0.31640625,0.38388625592417064,0.7106660822051868,0.3147783929134043,0.0034659924971456534,0.5635705590248108,5042800,0.9909604519774011,0.22477064220183487,0.47115384615384615,0.30434782608695654,0.7037969780665112,0.34282035628391466,0.006848759928675637,0.9753430185633576,0.1743119266055046,0.37109375,0.23720349563046192,0.7106660822051868,0.3147783929134043,0.018349372043712283
4,0.5971297779116048,0.9881236180210061,0.34241989478718315,0.4386167526245117,0.9953995157384988,0.4375,0.33653846153846156,0.3804347826086957,0.6632402084866018,0.2800980444363503,0.0018236343005349326,0.43906769156455994,0.9884180790960452,0.4236453201970443,0.3359375,0.3747276688453159,0.742418380336609,0.32528557045831097,0.004770836731365193,0.5736685991287231,5042800,0.9920500403551251,0.2342857142857143,0.3942307692307692,0.2939068100358423,0.6632402084866018,0.2800980444363503,0.005430377694926244,0.9761904761904762,0.18250950570342206,0.375,0.24552429667519182,0.742418380336609,0.32528557045831097,0.01753384439732507
5,0.5147028343047965,0.9885641238253179,0.36038647342995167,0.37066349387168884,0.9958434221146085,0.5084745762711864,0.28846153846153844,0.36809815950920244,0.6429335729516066,0.2790914070790919,0.0011752309936780678,0.3716653883457184,0.9914447134786117,0.6896551724137931,0.3125,0.43010752688172044,0.7431549833836242,0.33595082574463064,0.0014679497634969825,0.6705772280693054,5042800,0.9917675544794189,0.21910112359550563,0.375,0.2765957446808511,0.6429335729516066,0.2790914070790919,0.005633003728319015,0.9804277643260694,0.23058823529411765,0.3828125,0.2878120411160059,0.7431549833836242,0.33595082574463064,0.013333877018430924
6,0.4541668412788063,0.9879249585406302,0.3455056179775281,0.3144649565219879,0.9958837772397094,0.5166666666666667,0.2980769230769231,0.3780487804878049,0.6332406449119043,0.2862795499252449,0.0011752309936780678,0.31656813621520996,0.991000807102502,0.6299212598425197,0.3125,0.4177545691906005,0.7388874801215136,0.33327064820192054,0.0019164899690099495,0.698167622089386,5042800,0.9922518159806295,0.23170731707317074,0.36538461538461536,0.2835820895522388,0.6332406449119043,0.2862795499252449,0.005106176041497812,0.9804681194511703,0.2361111111111111,0.3984375,0.29651162790697677,0.7388874801215136,0.33327064820192054,0.013456206165389006
7,0.3994260410907451,0.9877090243228303,0.3700752545374059,0.2697254419326782,0.9963680387409201,0.6458333333333334,0.2980769230769231,0.40789473684210525,0.6459634166490018,0.3294585753572739,0.000688928513535419,0.2701958417892456,0.9916464891041162,0.7289719626168224,0.3046875,0.4297520661157025,0.7429034759317403,0.35332960839999905,0.0011825150872614581,0.8006556034088135,5042800,0.9919693301049233,0.23163841807909605,0.3942307692307692,0.2918149466192171,0.6459634166490018,0.3294585753572739,0.005511428108283352,0.9806698950766748,0.24249422632794457,0.41015625,0.3047895500725689,0.7429034759317403,0.35332960839999905,0.013374653400750286
8,0.35833217202280276,0.9876140132669984,0.3620996441281139,0.24046777188777924,0.9958030669895077,0.5,0.2980769230769231,0.37349397590361444,0.6454153521952193,0.28059669214631794,0.001256281407035176,0.23870009183883667,0.9914043583535109,0.6869565217391305,0.30859375,0.42587601078167114,0.7556213269399364,0.349383029096442,0.0014679497634969825,0.7967821955680847,5042800,0.9909604519774011,0.2,0.38461538461538464,0.2631578947368421,0.6454153521952193,0.28059669214631794,0.00648403306856865,0.9799838579499597,0.23333333333333334,0.41015625,0.29745042492917845,0.7556213269399364,0.349383029096442,0.014067851900179416
9,0.32902294992241987,0.9856187810945274,0.3503706593835349,0.22282375395298004,0.9959241323648104,0.5272727272727272,0.27884615384615385,0.36477987421383645,0.7375786344875743,0.2555459277872887,0.0010536553736424056,0.2221013903617859,0.9916061339790153,0.6904761904761905,0.33984375,0.45549738219895286,0.7350137238011745,0.3591163087446679,0.0015902789104550645,0.8323688507080078,5042800,0.9892251815980629,0.17269076305220885,0.41346153846153844,0.24362606232294617,0.7375786344875743,0.2555459277872887,0.008348192575782136,0.9769975786924939,0.20708955223880596,0.43359375,0.2803030303030303,0.7350137238011745,0.3591163087446679,0.017329962485728267
10,0.3018042102776931,0.9842195273631841,0.33003300330033003,0.19829174876213074,0.9963276836158192,0.6444444444444445,0.27884615384615385,0.38926174496644295,0.7830058325124382,0.3067599957471423,0.000648403306856865,0.20180583000183105,0.9916868442292172,0.7314814814814815,0.30859375,0.4340659340659341,0.7550013188611157,0.35636262102858884,0.0011825150872614581,0.8970451354980469,5042800,0.9890637610976594,0.17254901960784313,0.4230769230769231,0.24512534818941503,0.7830058325124382,0.3067599957471423,0.008550818609174907,0.9722356739305892,0.17567567567567569,0.45703125,0.25379609544468545,0.7550013188611157,0.35636262102858884,0.022386233893328982
11,0.2819469626012601,0.980427722498618,0.2988861386138614,0.18594171106815338,0.9963276836158192,0.6382978723404256,0.28846153846153844,0.3973509933774834,0.7837130753020687,0.32189701433117557,0.000688928513535419,0.1962476670742035,0.9910815173527038,0.6495726495726496,0.296875,0.4075067024128686,0.7221072023833794,0.3367413614838136,0.0016718316750937857,0.8952926993370056,5042800,0.9874899112187248,0.16987179487179488,0.5096153846153846,0.2548076923076923,0.7837130753020687,0.32189701433117557,0.010496028529745502,0.9649313962873285,0.1381345926800472,0.45703125,0.21214868540344514,0.7221072023833794,0.3367413614838136,0.02976675909313326
12,0.2692708260464397,0.9866811774461028,0.38369304556354916,0.1802070289850235,0.99499596448749,0.3979591836734694,0.375,0.38613861386138615,0.7954809718568026,0.31241067686976803,0.0023909871940346896,0.1812240332365036,0.9895480225988701,0.4927536231884058,0.3984375,0.4406047516198704,0.7528895482486545,0.3730173307190269,0.004281520143532866,0.749674916267395,5042800,0.9864003228410008,0.1437308868501529,0.4519230769230769,0.21809744779582366,0.7954809718568026,0.31241067686976803,0.011347057869995137,0.9715496368038741,0.17790530846484937,0.484375,0.2602308499475341,0.7528895482486545,0.3730173307190269,0.023364867068993638
13,0.26395852376292483,0.9837099226091763,0.36154366960054163,0.17004570364952087,0.9962066182405166,0.5641025641025641,0.4230769230769231,0.4835164835164835,0.8159423045749841,0.3975633749258531,0.001377857027070838,0.17973566055297852,0.9911622276029056,0.6258503401360545,0.359375,0.456575682382134,0.7532249180649566,0.37404455433399697,0.0022427010275648343,0.8674888014793396,5042800,0.9836158192090395,0.14218009478672985,0.5769230769230769,0.22813688212927757,0.8159423045749841,0.3975633749258531,0.01467012481763657,0.9645278450363196,0.144,0.4921875,0.22281167108753316,0.7532249180649566,0.37404455433399697,0.03054151035720111
14,0.2398292190689397,0.9833298783858485,0.3519140362659503,0.15543913841247559,0.9960855528652138,0.5393258426966292,0.46153846153846156,0.49740932642487046,0.8026122392358817,0.3976070290881903,0.0016615334738207166,0.17476710677146912,0.9894269572235674,0.4857142857142857,0.3984375,0.43776824034334766,0.7424393260173707,0.37689473768468573,0.004403849290490948,0.8250757455825806,5042800,0.9847457627118644,0.15051020408163265,0.5673076923076923,0.23790322580645162,0.8026122392358817,0.3976070290881903,0.013494893823958503,0.9596448748991122,0.125,0.484375,0.1987179487179487,0.7424393260173707,0.37689473768468573,0.03539389985320503
15,0.23138323420676532,0.9858001658374793,0.39111111111111113,0.14975987374782562,0.9961662631154157,0.5483870967741935,0.49038461538461536,0.5177664974619289,0.8128912241106275,0.41343048046436903,0.0017020586804992706,0.16954606771469116,0.9892251815980629,0.47533632286995514,0.4140625,0.44258872651356995,0.7306516065894634,0.3893534850108187,0.004770836731365193,0.8100204467773438,5042800,0.9839386602098467,0.14146341463414633,0.5576923076923077,0.22568093385214008,0.8128912241106275,0.41343048046436903,0.014264872750851029,0.9595641646489104,0.12922465208747516,0.5078125,0.20602218700475436,0.7306516065894634,0.3893534850108187,0.03572011091175991
