experiment_id,cluster_id,dataset,hierarchy,model_family,fl_method,aggregation,clustering_method,membership_hash,input_adapter,num_leaf_clients,n_subclusters,rounds,positive_class_weight,best_validation_round,best_validation_f1,best_validation_f1_default_threshold,threshold_used,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,test_confusion_matrix,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold,test_confusion_matrix_default_threshold,communication_cost_per_round_bytes,total_communication_cost_bytes,wall_clock_training_seconds,cnn_bn_channels,cnn_bn_kernel_sizes,cnn_bn_hidden_dim,cnn_bn_dropout,learning_rate,computed_positive_class_weight,positive_class_weight_scale
B_C1_BAL_1TO1,1,HAI 21.03 balanced-training variant 1to1,hierarchical_fixed,cnn1d,FedAvg,weighted_arithmetic_mean,agglomerative,2861676255553ccc4afd53e1c89b7dbc69579899225d2cb598f861c75b753531,sliding_window_feature_channels,12,2,50,1.0,50,0.2937062937062937,0.044476850164053956,0.5308841466903687,0.9727779798714684,0.9210526315789473,0.07276507276507277,0.1348747591522158,0.6104841012103861,0.1513863564689736,0.00018734777992880785,"[[16010, 3], [446, 35]]",0.5420759063902025,0.03534822601839684,0.5592515592515592,0.06649363490297862,0.6104841012103861,0.1513863564689736,0.4584400174857928,"[[8672, 7341], [212, 269]]",214256,10712800,10.110715416994935,,,,,,,
P_C1_BAL_1TO1,1,HAI 21.03 balanced-training variant 1to1,hierarchical_fixed,cnn1d_bn,FedBN,weighted_non_bn_mean,agglomerative,2861676255553ccc4afd53e1c89b7dbc69579899225d2cb598f861c75b753531,sliding_window_feature_channels,12,2,50,1.0,50,0.05026656511805026,0.03837118245888802,0.5054724812507629,0.8568570389232448,0.044573643410852716,0.19126819126819128,0.07229862475442043,0.5253827678732443,0.04888687093992927,0.12314994067320302,"[[14041, 1972], [389, 92]]",0.490663271492664,0.03323903818953324,0.5862785862785863,0.06291132180702733,0.5253827678732443,0.04888687093992927,0.5122088303253607,"[[7811, 8202], [199, 282]]",3734640,186732000,42.08091387499735,"[32, 64, 64]","[5, 3, 3]",32,0.1,0.003,1.0,1.0
B_C1_BAL_2TO1,1,HAI 21.03 balanced-training variant 2to1,hierarchical_fixed,cnn1d,FedAvg,weighted_arithmetic_mean,agglomerative,2861676255553ccc4afd53e1c89b7dbc69579899225d2cb598f861c75b753531,sliding_window_feature_channels,12,2,50,2.0,46,0.7263157894736842,0.31299212598425197,0.5646883249282837,0.9434339759912695,0.2365967365967366,0.42203742203742206,0.3032113517550411,0.7341812194431941,0.3936328465771154,0.04090426528445638,"[[15358, 655], [278, 203]]",0.7778586152540318,0.07090860070099757,0.5467775467775468,0.12553699284009545,0.7341812194431941,0.3936328465771154,0.21520014987822395,"[[12567, 3446], [218, 263]]",214256,10712800,10.644176208996214,,,,,,,
P_C1_BAL_2TO1,1,HAI 21.03 balanced-training variant 2to1,hierarchical_fixed,cnn1d_bn,FedBN,weighted_non_bn_mean,agglomerative,2861676255553ccc4afd53e1c89b7dbc69579899225d2cb598f861c75b753531,sliding_window_feature_channels,12,2,50,2.0,50,0.2315112540192926,0.050793650793650794,0.516010046005249,0.963380623256942,0.25101214574898784,0.1288981288981289,0.17032967032967034,0.5914307151426992,0.10729881674895353,0.011553113095609817,"[[15828, 185], [419, 62]]",0.45471080392870133,0.03455440131219246,0.656964656964657,0.06565551630999376,0.5914307151426992,0.10729881674895353,0.5513645163304814,"[[7184, 8829], [165, 316]]",3734640,186732000,48.61794916600047,"[32, 64, 64]","[5, 3, 3]",32,0.1,0.003,2.0,1.0
B_C1_BAL_3TO1,1,HAI 21.03 balanced-training variant 3to1,hierarchical_fixed,cnn1d,FedAvg,weighted_arithmetic_mean,agglomerative,2861676255553ccc4afd53e1c89b7dbc69579899225d2cb598f861c75b753531,sliding_window_feature_channels,12,2,50,3.0,47,0.7315789473684211,0.2365038560411311,0.6653572916984558,0.9804171213774706,0.8347457627118644,0.4095634095634096,0.5495118549511855,0.7697483450621526,0.47209171461608973,0.002435521139074502,"[[15974, 39], [284, 197]]",0.8246635140050927,0.09641781051221962,0.5987525987525988,0.16608996539792387,0.7697483450621526,0.47209171461608973,0.1685505526759508,"[[13314, 2699], [193, 288]]",214256,10712800,11.353414791999967,,,,,,,
P_C1_BAL_3TO1,1,HAI 21.03 balanced-training variant 3to1,hierarchical_fixed,cnn1d_bn,FedBN,weighted_non_bn_mean,agglomerative,2861676255553ccc4afd53e1c89b7dbc69579899225d2cb598f861c75b753531,sliding_window_feature_channels,12,2,50,3.0,50,0.2789115646258503,0.04334451901565996,0.522558867931366,0.96804898751061,0.3776595744680851,0.14760914760914762,0.21225710014947682,0.6119184217916498,0.17498218108984884,0.007306563417223506,"[[15896, 117], [410, 71]]",0.32466351400509275,0.032543859649122805,0.7713097713097713,0.062452655500378755,0.6119184217916498,0.17498218108984884,0.6887528882782739,"[[4984, 11029], [110, 371]]",3734640,186732000,52.30842679100169,"[32, 64, 64]","[5, 3, 3]",32,0.1,0.003,3.0,1.0
B_C1_BAL_5TO1,1,HAI 21.03 balanced-training variant 5to1,hierarchical_fixed,cnn1d,FedAvg,weighted_arithmetic_mean,agglomerative,2861676255553ccc4afd53e1c89b7dbc69579899225d2cb598f861c75b753531,sliding_window_feature_channels,12,2,50,5.0,24,0.74,0.2081701175153889,0.6226304769515991,0.9801746089487087,0.7361963190184049,0.498960498960499,0.5947955390334573,0.7867098107527759,0.5155123514121632,0.005370636357959158,"[[15927, 86], [241, 240]]",0.8212683400024251,0.09938291653134135,0.6361746361746362,0.17191011235955056,0.7867098107527759,0.5155123514121632,0.1731717979141947,"[[13240, 2773], [175, 306]]",214256,10712800,12.535517750002327,,,,,,,
P_C1_BAL_5TO1,1,HAI 21.03 balanced-training variant 5to1,hierarchical_fixed,cnn1d_bn,FedBN,weighted_non_bn_mean,agglomerative,2861676255553ccc4afd53e1c89b7dbc69579899225d2cb598f861c75b753531,sliding_window_feature_channels,12,2,50,5.0,50,0.4378698224852071,0.043643469764412114,0.5323683619499207,0.9667151691524191,0.38513513513513514,0.23700623700623702,0.29343629343629346,0.6857805112348296,0.2731809829102522,0.011365765315681009,"[[15831, 182], [367, 114]]",0.18800776039772038,0.03264803822209353,0.9376299376299376,0.06309898565932144,0.6857805112348296,0.2731809829102522,0.8345094610628864,"[[2650, 13363], [30, 451]]",3734640,186732000,60.622973915997136,"[32, 64, 64]","[5, 3, 3]",32,0.1,0.003,5.0,1.0
B_C1_BAL_8TO1,1,HAI 21.03 balanced-training variant 8to1,hierarchical_fixed,cnn1d,FedAvg,weighted_arithmetic_mean,agglomerative,2861676255553ccc4afd53e1c89b7dbc69579899225d2cb598f861c75b753531,sliding_window_feature_channels,12,2,50,8.0,16,0.7506297229219143,0.1787982413287738,0.6633669137954712,0.981447799199709,0.7986348122866894,0.4864864864864865,0.6046511627906976,0.7976914027622826,0.548633225061605,0.0036845063385998874,"[[15954, 59], [247, 234]]",0.8440645083060507,0.1163302752293578,0.659043659043659,0.19775421085464753,0.7976914027622826,0.548633225061605,0.15037781802285644,"[[13605, 2408], [164, 317]]",214256,10712800,14.256179167001392,,,,,,,
P_C1_BAL_8TO1,1,HAI 21.03 balanced-training variant 8to1,hierarchical_fixed,cnn1d_bn,FedBN,weighted_non_bn_mean,agglomerative,2861676255553ccc4afd53e1c89b7dbc69579899225d2cb598f861c75b753531,sliding_window_feature_channels,12,2,50,8.0,49,0.6334310850439883,0.04137104027180973,0.5651556253433228,0.9756275009094216,0.7309941520467836,0.2598752598752599,0.3834355828220859,0.7479256394200502,0.35064028715384105,0.002872665958908387,"[[15967, 46], [356, 125]]",0.15314659876318662,0.032123777145632415,0.9625779625779626,0.06217268698804888,0.7479256394200502,0.35064028715384105,0.8711671766689565,"[[2063, 13950], [18, 463]]",3734640,186732000,78.06770412500191,"[32, 64, 64]","[5, 3, 3]",32,0.1,0.003,8.0,1.0
