round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.932740518823266,0.5129476584022039,0.43114543114543114,0.6930044889450073,0.7696525153737868,0.020285999334885268,0.27232142857142855,0.03775920767564222,0.4593024507324214,0.01564431203131254,0.22195434340390266,0.6932840943336487,0.677640354068146,0.029937791601866253,0.3201663201663202,0.05475555555555556,0.48841897299400583,0.030522173729426234,0.31162180728158373,0.5004305243492126,3734640,0.598503371119508,0.0160238494503447,0.38392857142857145,0.030763727419066356,0.4593024507324214,0.01564431203131254,0.39787538612220297,0.5090335879713835,0.029175423414513537,0.49064449064449067,0.05507584597432905,0.48841897299400583,0.030522173729426234,0.4904140385936427
2,0.9179687555879354,0.4997245179063361,0.4126778783958603,0.6932133436203003,0.8573757131214343,0.023529411764705882,0.1875,0.041811846689895474,0.45855206864633896,0.016389996297246794,0.13131921946809313,0.6935385465621948,0.80835455317085,0.042662116040955635,0.2598752598752599,0.0732922896511287,0.5069016818845083,0.036592979792334536,0.17517017423343534,0.5009995698928833,3734640,0.5306364377269023,0.016305208168434383,0.45982142857142855,0.03149365540437242,0.45855206864633896,0.016389996297246794,0.4681684622918707,0.44725354674427065,0.02808743169398907,0.5343035343035343,0.05336932821098536,0.5069016818845083,0.036592979792334536,0.5553612689689628
3,0.926645727828145,0.5085399449035812,0.3770949720670391,0.693006694316864,0.9188708601911536,0.031216361679224973,0.12946428571428573,0.05030355594102342,0.46894877893898457,0.017586911374364286,0.06780682588713931,0.6934802532196045,0.8714684127561537,0.05582655826558266,0.21413721413721415,0.0885640584694755,0.5186029334533675,0.03735834864388864,0.1087866108786611,0.5015536546707153,3734640,0.5609394680299326,0.017597292724196276,0.4642857142857143,0.033909357678513205,0.46894877893898457,0.017586911374364286,0.4374293678897009,0.47502121983751666,0.029242459129633892,0.5280665280665281,0.05541616668484783,0.5186029334533675,0.03735834864388864,0.5265721601199026
4,0.922133794054389,0.5388429752066116,0.3566487317448117,0.6926482915878296,0.9212417574275765,0.03440621531631521,0.13839285714285715,0.05511111111111111,0.478437193927522,0.018697433701839815,0.065546598357568,0.6932796835899353,0.8684370073966291,0.05246422893481717,0.20582120582120583,0.08361486486486487,0.5241745499660944,0.0389001725069272,0.11165927683756947,0.501684844493866,3734640,0.6200637178632289,0.018271119842829076,0.41517857142857145,0.03500188182160331,0.478437193927522,0.018697433701839815,0.3764785655089279,0.5295258882017704,0.030447684169784543,0.49064449064449067,0.057337220602526724,0.5241745499660944,0.0389001725069272,0.46930618872166363
5,0.9186750650405884,0.5564738292011019,0.3449959316517494,0.6923094987869263,0.921389938504853,0.03551609322974473,0.14285714285714285,0.05688888888888889,0.486835856357159,0.019338156014643358,0.06547125743991562,0.6931224465370178,0.8662543955377713,0.04819277108433735,0.19126819126819128,0.07698744769874477,0.5265862469072361,0.039550098496944,0.11347030537688128,0.5018652677536011,3734640,0.6568867155664222,0.01899148657498363,0.38839285714285715,0.03621227887617066,0.486835856357159,0.019338156014643358,0.3385820839297823,0.5545046683642537,0.031390746553841956,0.4781704781704782,0.05891393442622951,0.5265862469072361,0.039550098496944,0.44320239805158307
6,0.9246978014707565,0.5586776859504132,0.33305578684429643,0.6920076608657837,0.9294658072164185,0.03689567430025445,0.12946428571428573,0.05742574257425743,0.49482956135441447,0.019742514778571977,0.057033074662849396,0.6930150985717773,0.8734085121862496,0.04783342712436691,0.17671517671517672,0.07528786536758193,0.5279252057806982,0.04010122180340058,0.10566414787984763,0.5022032856941223,3734640,0.6773357042305698,0.019539427773900907,0.375,0.03714348883484413,0.49482956135441447,0.019742514778571977,0.3175619679047691,0.5677215957317813,0.031826503309393045,0.4698544698544699,0.05961487734107096,0.5279252057806982,0.04010122180340058,0.4293386623368513
7,0.9238600265234709,0.5619834710743802,0.3291139240506329,0.6917667388916016,0.9182781358820479,0.0368809272918862,0.15625,0.059676044330775786,0.4996369173187244,0.020070416290981413,0.06886159873427258,0.6929713487625122,0.8548563113859585,0.046467520151730675,0.20374220374220375,0.07567567567567568,0.5270589008177218,0.04043224232813081,0.12558546181227753,0.5022091865539551,3734640,0.68563384455805,0.01983273596176822,0.3705357142857143,0.03765026083012021,0.4996369173187244,0.020070416290981413,0.30904844421005045,0.5684491330180672,0.03174827148299704,0.4677754677754678,0.05946088794926004,0.5270589008177218,0.04043224232813081,0.4285268219571598
8,0.9213302675634623,0.5630853994490358,0.34299917149958575,0.6916311383247375,0.9276876342891013,0.038083538083538086,0.13839285714285715,0.05973025048169557,0.5023036158258979,0.020152955885494442,0.0589919385218112,0.6930168271064758,0.8682551230750576,0.047109207708779445,0.18295218295218296,0.07492550021285653,0.5260856141702953,0.040919733947108364,0.11115968275775932,0.5027238726615906,3734640,0.6817811365488627,0.019815994338287332,0.375,0.03764284113824781,0.5023036158258979,0.020152955885494442,0.3130415128456265,0.5628107190493513,0.03172836070136376,0.47401247401247404,0.05947567497065345,0.5260856141702953,0.040919733947108364,0.43452195091488166
9,0.9187211990356445,0.5564738292011019,0.3407043407043407,0.6914821267127991,0.9333185152256057,0.03825136612021858,0.125,0.058577405857740586,0.5041392098352186,0.020140831862989657,0.05304000602727341,0.693056046962738,0.8757730083666788,0.04786620530565167,0.17255717255717257,0.07494356659142212,0.5243920837188807,0.041190407474738414,0.10310372822082059,0.503181517124176,3734640,0.6807438690079277,0.019524817689955305,0.3705357142857143,0.03709497206703911,0.5041392098352186,0.020140831862989657,0.31402094477510734,0.5585061234388262,0.0324487831706311,0.49064449064449067,0.06087180809904565,0.5243920837188807,0.041190407474738414,0.43945544245300694
10,0.925395280122757,0.5564738292011019,0.35237329042638776,0.6914474964141846,0.9309476179891828,0.0390625,0.13392857142857142,0.06048387096774194,0.5107803099202463,0.020574765596354336,0.05560159722745423,0.6931971311569214,0.8742573056869165,0.04770017035775128,0.17463617463617465,0.07493309545049064,0.52428698460048,0.044743792864714464,0.10472740898020358,0.5034847259521484,3734640,0.6718530043713418,0.01920878115710039,0.375,0.03654557319991299,0.5107803099202463,0.020574765596354336,0.323137195811045,0.5457742209288226,0.03266231169177443,0.5093555093555093,0.06138812327737409,0.52428698460048,0.044743792864714464,0.4531318303878099
11,0.9197342731058598,0.5537190082644629,0.35917721518987344,0.6913586854934692,0.9202044898866415,0.03791982665222102,0.15625,0.06102877070619006,0.5122896508486616,0.02075823879653109,0.06690273487531079,0.6932899951934814,0.8577058324239117,0.04796511627906977,0.20582120582120583,0.07779960707269155,0.5248342270761555,0.04721149850869042,0.12271279585336914,0.5034282207489014,3734640,0.6682225679780692,0.018995929443690638,0.375,0.036160137752905726,0.5122896508486616,0.02075823879653109,0.32682890077601146,0.5383775918515824,0.03250753702975488,0.5155925155925156,0.061159062885326756,0.5248342270761555,0.04721149850869042,0.4609379878848436
12,0.9273407384753227,0.5520661157024793,0.36135113904163396,0.6913071274757385,0.9237608357412759,0.03788748564867968,0.14732142857142858,0.06027397260273973,0.516944643260755,0.021311368968099695,0.06313568899269194,0.6934160590171814,0.8620710561416273,0.04924623115577889,0.20374220374220375,0.07932011331444759,0.5255447334695446,0.049270831368272414,0.11815399987510149,0.5038077235221863,3734640,0.6607394235756094,0.019633796602691374,0.39732142857142855,0.03741854109733025,0.516944643260755,0.021311368968099695,0.3348150380471634,0.5291014914514369,0.03246919917864476,0.525987525987526,0.061162818808171156,0.5255447334695446,0.049270831368272414,0.47080497096109414
13,0.9169398471713066,0.5520661157024793,0.36034618410700237,0.6911489367485046,0.9253908275913166,0.038869257950530034,0.14732142857142858,0.06150978564771668,0.5220261190817019,0.021784547814357055,0.06147818880433964,0.6934330463409424,0.864617436643628,0.04891864057672503,0.19750519750519752,0.07841518778373917,0.526682127943603,0.05275184472616703,0.11534378317616936,0.5041219592094421,3734640,0.6644439505075201,0.020708082832331328,0.41517857142857145,0.039448568398727464,0.5220261190817019,0.021784547814357055,0.33134935583515407,0.52825269795077,0.03229113275243465,0.5239085239085239,0.060832830416415205,0.526682127943603,0.05275184472616703,0.4716168113407856
14,0.9254234544932842,0.5498622589531681,0.3681361175560712,0.6911041140556335,0.9200563088093651,0.03783783783783784,0.15625,0.060922541340295906,0.5251653800411146,0.022495343924778095,0.06705341671061553,0.6935516595840454,0.8541894022068631,0.047932330827067667,0.21205821205821207,0.07819087773093139,0.5280831465806174,0.05312084560251763,0.12652220071192155,0.5041247010231018,3734640,0.6606653330369712,0.02089749230092389,0.42410714285714285,0.039832285115303984,0.5251653800411146,0.022495343924778095,0.33534242447073004,0.5214017218382442,0.03242084016651949,0.5343035343035343,0.06113225499524263,0.5280831465806174,0.05312084560251763,0.4789858240179854
15,0.930223036557436,0.5526170798898071,0.3782542113323124,0.6911312937736511,0.9158331481069867,0.04032258064516129,0.17857142857142858,0.06578947368421052,0.5303728164587617,0.023221117475297436,0.07172455360506291,0.6937110424041748,0.8480053352734328,0.04817127564674398,0.22453222453222454,0.07932427469702534,0.5298447739901558,0.05465193056864667,0.13326672078935864,0.5042450428009033,3734640,0.6531821886345114,0.02085572995054827,0.4330357142857143,0.039794871794871796,0.5303728164587617,0.023221117475297436,0.3431025389889249,0.5131562992603371,0.03326326202547298,0.5592515592515592,0.06279178338001867,0.5298447739901558,0.05465193056864667,0.48822831449447324
16,0.927765654399991,0.5498622589531681,0.3852520692249812,0.6910988092422485,0.9275394532118248,0.04578313253012048,0.16964285714285715,0.07210626185958255,0.5362677387499866,0.02443814051806578,0.059670006780682586,0.6938055753707886,0.8678913544319147,0.05174234424498416,0.20374220374220375,0.08252631578947368,0.5319727877025073,0.0560296403325827,0.11215887091737962,0.5049358606338501,3734640,0.6505890197821739,0.02069995731967563,0.4330357142857143,0.039511201629327905,0.5362677387499866,0.02443814051806578,0.34573947110675807,0.509215472292955,0.033341505270899734,0.5654885654885655,0.06297025118647992,0.5319727877025073,0.0560296403325827,0.49247486417285957
