round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,1.0421348102390766,0.5413223140495868,0.253028263795424,0.6949151754379272,0.9822182707268282,0.2777777777777778,0.044642857142857144,0.07692307692307693,0.4400212299942956,0.05403595644613837,0.0019588638589618022,0.6879808902740479,0.9703528555838487,0.1,0.002079002079002079,0.004073319755600814,0.4341606280655803,0.03433576008852736,0.0005620433397864235,0.5308994650840759,214256,0.5210787582425724,0.01567836075752872,0.45089285714285715,0.030303030303030304,0.4400212299942956,0.05403595644613837,0.4777367588337226,0.6770340729962411,0.03151585460170147,0.3388773388773389,0.057668494604634704,0.4341606280655803,0.03433576008852736,0.3128083432211328
2,1.048134297132492,0.5190082644628099,0.27970297029702973,0.6974830627441406,0.9828109950359339,0.4375,0.125,0.19444444444444445,0.4921616856454026,0.12563130961224572,0.0027122730354855722,0.6902259588241577,0.9712016490845156,0.6153846153846154,0.033264033264033266,0.0631163708086785,0.4607062375125824,0.06882090911310526,0.0006244925997626928,0.5325743556022644,214256,0.4903311847077128,0.01684332800929287,0.5178571428571429,0.03262550977359021,0.4921616856454026,0.12563130961224572,0.5101333534242447,0.6386564811446587,0.031949427643943276,0.3887733887733888,0.059046416166719295,0.4607062375125824,0.06882090911310526,0.35383750702554173
3,1.0465577393770218,0.4863636363636364,0.29971830985915493,0.7000506520271301,0.9855523449655479,0.9393939393939394,0.13839285714285715,0.24124513618677043,0.5152797435179903,0.15991239588018633,0.00015068183530475403,0.692484974861145,0.97174730204923,0.8571428571428571,0.037422037422037424,0.07171314741035857,0.4794956099208894,0.08854405228248939,0.00018734777992880785,0.5388005375862122,214256,0.45284137215677556,0.01686681959249764,0.5580357142857143,0.03274394237066143,0.5152797435179903,0.15991239588018633,0.5489339260152188,0.5947617315387413,0.03114134542705971,0.4282744282744283,0.0580608793686584,0.4794956099208894,0.08854405228248939,0.40023730718790984
4,1.043539622798562,0.46322314049586777,0.3237896928682978,0.7020851969718933,0.9858487071201008,0.9459459459459459,0.15625,0.2681992337164751,0.529741836273423,0.1792240267067402,0.00015068183530475403,0.6942268013954163,0.972111070692373,0.8888888888888888,0.0498960498960499,0.09448818897637795,0.49697711825358115,0.10110790129728423,0.00018734777992880785,0.5425283312797546,214256,0.42231607023783063,0.017089656931513836,0.5982142857142857,0.03323000619962802,0.529741836273423,0.1792240267067402,0.5806524523468696,0.5517764035406815,0.030179445350734094,0.46153846153846156,0.056654332014801585,0.49697711825358115,0.10110790129728423,0.44551302067070503
5,1.0362598113715649,0.4479338842975207,0.33664349553128103,0.7036397457122803,0.9859968881973772,0.926829268292683,0.16964285714285715,0.28679245283018867,0.5456145531745434,0.18760389464940846,0.000226022752957131,0.6954189538955688,0.972353583121135,0.9032258064516129,0.058212058212058215,0.109375,0.5179608485984556,0.10714912469020439,0.00018734777992880785,0.5423596501350403,214256,0.4081647773579314,0.017164179104477612,0.6160714285714286,0.03339787028073572,0.5456145531745434,0.18760389464940846,0.5953439312890831,0.5187340851218625,0.030474751290769424,0.5031185031185031,0.05746853478983614,0.5179608485984556,0.10714912469020439,0.4807968525572972
6,1.0276983343064785,0.45330578512396696,0.35368832437713726,0.7040987610816956,0.9859968881973772,0.926829268292683,0.16964285714285715,0.28679245283018867,0.5597530835961296,0.1932806048608496,0.000226022752957131,0.6956960558891296,0.972353583121135,0.9032258064516129,0.058212058212058215,0.109375,0.541870021667686,0.11452200438114143,0.00018734777992880785,0.5460537672042847,214256,0.40979476920797214,0.017452006980802792,0.625,0.03395585738539898,0.5597530835961296,0.1932806048608496,0.5938371129360356,0.5113374560446223,0.032449105490438,0.5467775467775468,0.06126252038201724,0.541870021667686,0.11452200438114143,0.4897270967339037
7,1.0298029351979494,0.4553719008264463,0.37297811607992387,0.7049469947814941,0.9860709787360155,0.9285714285714286,0.17410714285714285,0.2932330827067669,0.5739228939522769,0.19788269075740325,0.000226022752957131,0.6962732076644897,0.972353583121135,0.9032258064516129,0.058212058212058215,0.109375,0.5662461360331841,0.12203579167346087,0.00018734777992880785,0.5502442717552185,214256,0.4069052382010817,0.01820433436532508,0.65625,0.035425954934329436,0.5739228939522769,0.19788269075740325,0.5973027951480449,0.49581666060385593,0.032796660703637445,0.5717255717255717,0.062034739454094295,0.5662461360331841,0.12203579167346087,0.5064634984075439
8,1.031685285270214,0.4479338842975207,0.3820536540240518,0.7060351371765137,0.9860709787360155,0.9285714285714286,0.17410714285714285,0.2932330827067669,0.5873646890572699,0.2050923539745607,0.000226022752957131,0.6970723271369934,0.9724748393355159,0.9090909090909091,0.062370062370062374,0.11673151750972763,0.591375731230849,0.12985954734742122,0.00018734777992880785,0.5539761185646057,214256,0.398755278950878,0.018430367386793604,0.6741071428571429,0.03587976713793513,0.5873646890572699,0.2050923539745607,0.6058916597604159,0.47884079059051776,0.034636999655923845,0.6278586278586279,0.06565217391304348,0.591375731230849,0.12985954734742122,0.5256354212202585
9,1.0244607795029879,0.45826446280991734,0.39613081529249194,0.706041157245636,0.9863673408905683,0.9347826086956522,0.19196428571428573,0.31851851851851853,0.6003845413890712,0.2236976238096264,0.000226022752957131,0.6969484090805054,0.9725960955498969,0.9142857142857143,0.06652806652806653,0.12403100775193798,0.6141148570424784,0.13924941304416766,0.00018734777992880785,0.5516788363456726,214256,0.4095724975920575,0.01888433345757237,0.6785714285714286,0.03674604133929651,0.6003845413890712,0.2236976238096264,0.5949672267008213,0.4834485267369953,0.03633637097704464,0.6548856548856549,0.06885245901639345,0.6141148570424784,0.13924941304416766,0.5217011178417535
10,1.0244462750852108,0.4681818181818182,0.411522633744856,0.7066289782524109,0.9864414314292065,0.9361702127659575,0.19642857142857142,0.3247232472324723,0.6132496757649795,0.23284172934783331,0.000226022752957131,0.6972593665122986,0.9725354674427065,0.9117647058823529,0.06444906444906445,0.1203883495145631,0.634763230966316,0.15069220174047362,0.00018734777992880785,0.5575618147850037,214256,0.4122397569830333,0.01956873987286551,0.7008928571428571,0.03807445131562993,0.6132496757649795,0.23284172934783331,0.5926316582535975,0.4778707408754699,0.03711715814641922,0.6777546777546778,0.07037996545768567,0.634763230966316,0.15069220174047362,0.5281333916193093
