round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.8888011288486029,0.7359815505804311,0.029341716680956465,0.6852272152900696,0.9967312348668281,0.8484848484848485,0.2692307692307692,0.40875912408759124,0.7067527853286283,0.29931615989349464,0.00020262603339277031,0.688311755657196,0.9905569007263922,0.7619047619047619,0.125,0.21476510067114093,0.5940670523008074,0.1828567034088259,0.0004077638231936063,0.5907944440841675,3394160,0.6955609362389024,0.008456659619450317,0.6153846153846154,0.016684045881126174,0.7067527853286283,0.29931615989349464,0.30410115091586964,0.6511299435028248,0.01536683997689197,0.51953125,0.029850746268656716,0.5940670523008074,0.1828567034088259,0.3474963301255913
2,0.837435143879441,0.8015910033167496,0.0456981429936438,0.6732184886932373,0.9969733656174334,0.7377049180327869,0.4326923076923077,0.5454545454545454,0.7591559690512113,0.39587605797162,0.000648403306856865,0.6781854033470154,0.9911622276029056,0.7032967032967034,0.25,0.3688760806916426,0.6482775004842196,0.27740986730076567,0.001100962322622737,0.648813784122467,3394160,0.7506053268765133,0.01157556270096463,0.6923076923076923,0.022770398481973434,0.7591559690512113,0.39587605797162,0.24914897065975036,0.7017352703793381,0.018880647336480108,0.546875,0.036501108069352105,0.6482775004842196,0.27740986730076567,0.29664818137334853
3,0.7970667442921816,0.8762437810945274,0.07178025395180099,0.6446280479431152,0.9967715899919289,0.6666666666666666,0.46153846153846156,0.5454545454545454,0.7766609100091026,0.4158283982565632,0.0009726049602852974,0.6504358053207397,0.9911622276029056,0.6831683168316832,0.26953125,0.3865546218487395,0.6822615887752813,0.2915120208073842,0.0013048442342195401,0.6854750514030457,3394160,0.8407990314769975,0.01782575947778057,0.6826923076923077,0.03474431123073159,0.7766609100091026,0.4158283982565632,0.15853460852650347,0.8013720742534302,0.02735008103727715,0.52734375,0.052003081664098616,0.6822615887752813,0.2915120208073842,0.19576741151525037
4,0.7560370276775656,0.9142913902708679,0.10077027639329407,0.6131315231323242,0.9967715899919289,0.6714285714285714,0.4519230769230769,0.5402298850574713,0.7898333556741525,0.42439913914862165,0.0009320797536067434,0.6205886006355286,0.9915254237288136,0.7169811320754716,0.296875,0.4198895027624309,0.7018465170598189,0.32283102555883003,0.0012232914695808187,0.7409484386444092,3394160,0.8860371267150928,0.024142757172848146,0.6634615384615384,0.04659014179608373,0.7898333556741525,0.42439913914862165,0.11302480142648727,0.848224374495561,0.035515504903260005,0.5234375,0.06651774633904195,0.7018465170598189,0.32283102555883003,0.1483852552601533
5,0.7103743860988241,0.9396247927031509,0.13916256157635468,0.5765900015830994,0.9965698143664246,0.6067415730337079,0.5192307692307693,0.5595854922279793,0.7985503665972542,0.447797885316237,0.0014183822337493922,0.5840897560119629,0.9912832929782083,0.6639344262295082,0.31640625,0.42857142857142855,0.7192582712343011,0.33946372847481715,0.0016718316750937857,0.7503652572631836,3394160,0.9168280871670702,0.03293556085918854,0.6634615384615384,0.06275579809004093,0.7985503665972542,0.447797885316237,0.08210406873075053,0.8892655367231639,0.04862119013062409,0.5234375,0.08897742363877822,0.7192582712343011,0.33946372847481715,0.10691567444136356
6,0.6694655748859546,0.9587220149253731,0.18683001531393567,0.5344009399414062,0.9966908797417272,0.6375,0.49038461538461536,0.5543478260869565,0.8043275465416412,0.43922995267741377,0.0011752309936780678,0.5420629978179932,0.9914447134786117,0.6929824561403509,0.30859375,0.42702702702702705,0.7323361012426601,0.345597914222891,0.001427173381177622,0.7754732370376587,3394160,0.9443099273607748,0.048797736916548796,0.6634615384615384,0.09090909090909091,0.8043275465416412,0.43922995267741377,0.05450640298265521,0.9277643260694108,0.07293986636971046,0.51171875,0.1276803118908382,0.7323361012426601,0.345597914222891,0.06789267656173545
7,0.6196983020093167,0.9685340657822001,0.23482461667716867,0.49623972177505493,0.9968523002421308,0.6666666666666666,0.5,0.5714285714285714,0.812576374427971,0.4591085484288008,0.0010536553736424056,0.4995843768119812,0.9917675544794189,0.7280701754385965,0.32421875,0.4486486486486487,0.7412402455247921,0.37497445737527,0.0012640678519001793,0.8043367266654968,3394160,0.9515334947538338,0.055870445344129556,0.6634615384615384,0.10306198655713218,0.812576374427971,0.4591085484288008,0.04725239098719403,0.9486682808716707,0.10250391236306729,0.51171875,0.17079530638852672,0.7412402455247921,0.37497445737527,0.04677051052030664
8,0.5719644175084868,0.9768691265892758,0.2896551724137931,0.4560222923755646,0.9963276836158192,0.5783132530120482,0.46153846153846156,0.5133689839572193,0.7995112815940746,0.40475508331346827,0.0014183822337493922,0.4600246250629425,0.9916061339790153,0.6875,0.34375,0.4583333333333333,0.7347052727685124,0.37873154098185613,0.001631055292774425,0.7867577075958252,3394160,0.9651331719128329,0.07494407158836688,0.6442307692307693,0.1342685370741483,0.7995112815940746,0.40475508331346827,0.033514345923164206,0.9612590799031477,0.1340956340956341,0.50390625,0.21182266009852216,0.7347052727685124,0.37873154098185613,0.0339667264720274
9,0.5251474054129215,0.9793826008844666,0.3181948014852899,0.416849285364151,0.9964487489911219,0.6142857142857143,0.41346153846153844,0.4942528735632184,0.8160147823484669,0.3967997398958764,0.0010941805803209596,0.4201350808143616,0.9918079096045198,0.7086614173228346,0.3515625,0.4699738903394256,0.7442471055139863,0.388477911607388,0.001508726145816343,0.8100929260253906,3394160,0.9722356739305892,0.09217877094972067,0.6346153846153846,0.16097560975609757,0.8160147823484669,0.3967997398958764,0.02634138434106014,0.9687247780468119,0.1677336747759283,0.51171875,0.25265188042430087,0.7442471055139863,0.388477911607388,0.026504648507584407
10,0.48042448652845826,0.9826388888888888,0.3414154652686763,0.37784022092819214,0.9962066182405166,0.5862068965517241,0.3269230769230769,0.41975308641975306,0.8108185935882889,0.3693911716265665,0.0009726049602852974,0.38291627168655396,0.9914850686037127,0.7102803738317757,0.296875,0.418732782369146,0.7482336340166775,0.3758708706495912,0.0012640678519001793,0.8355321288108826,3394160,0.9794592413236481,0.11132437619961612,0.5576923076923077,0.1856,0.8108185935882889,0.3693911716265665,0.01876317069217053,0.9707828894269572,0.17590027700831026,0.49609375,0.25971370143149286,0.7482336340166775,0.3758708706495912,0.02426194748001957
11,0.43550735532025403,0.9828720978441128,0.3383383383383383,0.33892321586608887,0.9951573849878934,0.4298245614035088,0.47115384615384615,0.44954128440366975,0.8248099211940596,0.3918792624876757,0.002634138434106014,0.34656357765197754,0.9899919289749798,0.52,0.40625,0.45614035087719296,0.7449155355468112,0.3763917482951047,0.00391453270265862,0.7106994986534119,3394160,0.9842615012106537,0.14603960396039603,0.5673076923076923,0.23228346456692914,0.8248099211940596,0.3918792624876757,0.01398119630410115,0.967958030669895,0.16375,0.51171875,0.2481060606060606,0.7449155355468112,0.3763917482951047,0.02727939977165226
