round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.8132659345187925,0.9721666666666666,0.2422867513611615,0.6431553363800049,0.9974166666666666,0.828125,0.5096153846153846,0.6309523809523809,0.8568180464706033,0.5130160940869278,0.00046032808838299296,0.6454190611839294,0.9912083333333334,0.835820895522388,0.21875,0.34674922600619196,0.7776105114713191,0.32268938085848037,0.00046327493261455525,0.5532408952713013,3466176,0.9714166666666667,0.09917355371900827,0.6923076923076923,0.17349397590361446,0.8568180464706033,0.5130160940869278,0.02736859725477067,0.9585416666666666,0.12024665981500514,0.45703125,0.1903986981285598,0.7776105114713191,0.32268938085848037,0.03605121293800539
2,0.7198894055390901,0.9690666666666666,0.24736415247364152,0.584652841091156,0.997375,0.7808219178082192,0.5480769230769231,0.6440677966101694,0.8538426128608586,0.5212535594696656,0.0006695681285570807,0.5856649279594421,0.9915833333333334,0.7934782608695652,0.28515625,0.41954022988505746,0.7965868515467065,0.36281717286883597,0.0008002021563342318,0.6136104464530945,3466176,0.9647083333333333,0.0858416945373467,0.7403846153846154,0.15384615384615385,0.8538426128608586,0.5212535594696656,0.03431536658855038,0.95675,0.12547892720306514,0.51171875,0.20153846153846153,0.7965868515467065,0.36281717286883597,0.038451819407008085
3,0.6311669206077402,0.98365,0.37635092180546725,0.5036749243736267,0.997375,0.7733333333333333,0.5576923076923077,0.6480446927374302,0.8517723436172131,0.5210933755682468,0.0007114161365918983,0.5041421055793762,0.991625,0.7777777777777778,0.30078125,0.43380281690140843,0.7897839816111438,0.3765088478663915,0.0009265498652291105,0.6296356320381165,3466176,0.9844583333333333,0.16790123456790124,0.6538461538461539,0.26719056974459726,0.8517723436172131,0.5210933755682468,0.014102778707733512,0.9785,0.23029045643153526,0.43359375,0.3008130081300813,0.7897839816111438,0.3765088478663915,0.015625
4,0.5424611406570131,0.9902666666666666,0.5008547008547009,0.4208182096481323,0.9972916666666667,0.7468354430379747,0.5673076923076923,0.644808743169399,0.8566556842471222,0.5339086883921061,0.0008369601606963508,0.4208194315433502,0.9917083333333333,0.7714285714285715,0.31640625,0.4487534626038781,0.7843896912114638,0.3927888901823332,0.0010107816711590297,0.6290364861488342,3466176,0.9922916666666667,0.30985915492957744,0.6346153846153846,0.416403785488959,0.8566556842471222,0.5339086883921061,0.006151657181118179,0.9879583333333334,0.4331983805668016,0.41796875,0.4254473161033797,0.7843896912114638,0.3927888901823332,0.00589622641509434
5,0.47900733537971973,0.9796166666666667,0.3276525563496427,0.37984609603881836,0.9972083333333334,0.7283950617283951,0.5673076923076923,0.6378378378378379,0.8578547906311966,0.5213546254488141,0.0009206561767659859,0.37471073865890503,0.9911666666666666,0.7291666666666666,0.2734375,0.3977272727272727,0.7903001481953336,0.38252634991488543,0.0010950134770889488,0.8233743906021118,3466176,0.9773333333333334,0.1206896551724138,0.6730769230769231,0.2046783625730994,0.8578547906311966,0.5213546254488141,0.021342484097756947,0.98175,0.28837209302325584,0.484375,0.36151603498542273,0.7903001481953336,0.38252634991488543,0.012887466307277629
6,0.4103470799767158,0.9929666666666667,0.578,0.29040271043777466,0.997125,0.7011494252873564,0.5865384615384616,0.6387434554973822,0.8362924032989105,0.5616008532450641,0.001088048208905256,0.2885727286338806,0.9922916666666667,0.762962962962963,0.40234375,0.5268542199488491,0.767814286635571,0.4075378633158753,0.0013477088948787063,0.6660215854644775,3466176,0.9947916666666666,0.432258064516129,0.6442307692307693,0.5173745173745173,0.8362924032989105,0.5616008532450641,0.0036826247070639436,0.9922916666666667,0.7232704402515723,0.44921875,0.5542168674698795,0.767814286635571,0.4075378633158753,0.001853099730458221
7,0.34800839154896407,0.9941666666666666,0.609375,0.23099666833877563,0.9975,0.8333333333333334,0.5288461538461539,0.6470588235294118,0.8371221205351395,0.5572337282086423,0.00046032808838299296,0.23430180549621582,0.9919583333333334,0.8181818181818182,0.31640625,0.4563380281690141,0.771575680961506,0.4255764873997673,0.0007580862533692722,0.7854545712471008,3466176,0.99625,0.5625,0.6057692307692307,0.5833333333333334,0.8371221205351395,0.5572337282086423,0.0020505523937060597,0.9925,0.7638888888888888,0.4296875,0.55,0.771575680961506,0.4255764873997673,0.0014319407008086254
8,0.3068996001204306,0.9936666666666667,0.6098562628336756,0.2060396522283554,0.9974583333333333,0.8115942028985508,0.5384615384615384,0.6473988439306358,0.8383697142746773,0.52896075131035,0.000544024104452628,0.2004561722278595,0.9919583333333334,0.8118811881188119,0.3203125,0.45938375350140054,0.7539715625526449,0.4348512556570318,0.0008002021563342318,0.8802736401557922,3466176,0.995125,0.4557823129251701,0.6442307692307693,0.5338645418326693,0.8383697142746773,0.52896075131035,0.0033478406427854034,0.992625,0.7581699346405228,0.453125,0.5672371638141809,0.7539715625526449,0.4348512556570318,0.001558288409703504
9,0.28265569342130964,0.993,0.5945945945945946,0.18682856857776642,0.997375,0.7971014492753623,0.5288461538461539,0.6358381502890174,0.8559595587288507,0.5430107045911935,0.0005858721124874456,0.17797249555587769,0.9921666666666666,0.8333333333333334,0.33203125,0.4748603351955307,0.7641040565511287,0.445999552295575,0.0007159703504043127,0.8998523354530334,3466176,0.99425,0.39880952380952384,0.6442307692307693,0.49264705882352944,0.8559595587288507,0.5430107045911935,0.004226648811516572,0.9918333333333333,0.6744186046511628,0.453125,0.5420560747663551,0.7641040565511287,0.445999552295575,0.0023584905660377358
10,0.2574160549620335,0.9942166666666666,0.6374085684430512,0.1567927747964859,0.9974166666666666,0.8088235294117647,0.5288461538461539,0.6395348837209303,0.8595560731116891,0.5293941219546393,0.000544024104452628,0.1502116322517395,0.9923333333333333,0.839622641509434,0.34765625,0.49171270718232046,0.7576989844802898,0.44892583484022436,0.0007159703504043127,0.8800913095474243,3466176,0.9954583333333333,0.48148148148148145,0.625,0.5439330543933054,0.8595560731116891,0.5293941219546393,0.002929360562437228,0.9925833333333334,0.7532467532467533,0.453125,0.5658536585365853,0.7576989844802898,0.44892583484022436,0.0016004043126684635
