round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.8967868721791974,0.870608214849921,0.06527817403708987,0.44650766253471375,0.9973580512269389,0.9295774647887324,0.55,0.6910994764397905,0.8697123176661264,0.6066458520912184,0.00022510354763191067,0.5331840515136719,0.981690311628471,0.8776371308016878,0.43243243243243246,0.5793871866295265,0.8502214871414897,0.557185661779834,0.001811028539311809,0.9691954851150513,2964080,0.8777986745477342,0.030586541921554515,0.7083333333333334,0.058640910658847877,0.8697123176661264,0.6066458520912184,0.12128579146407348,0.7970170971262277,0.10102978012802671,0.7546777546777547,0.17820324005891017,0.8502214871414897,0.557185661779834,0.20171110972334977
2,0.6209474533779988,0.8882938388625592,0.0733848774734635,0.31860780715942383,0.9976267239835214,0.971830985915493,0.575,0.7225130890052356,0.8471520649498769,0.6238409438942853,9.004141905276428e-05,0.46624556183815,0.9805990056990421,0.8181818181818182,0.4303534303534304,0.5640326975476839,0.8263082243598073,0.5064546290468598,0.002872665958908387,0.9315614104270935,2964080,0.8806197384918503,0.0306047197640118,0.6916666666666667,0.05861581920903955,0.8471520649498769,0.6238409438942853,0.11835944534485864,0.7821025827573663,0.09497788186312776,0.7588357588357588,0.16882516188714153,0.8263082243598073,0.5064546290468598,0.21719852619746455
3,0.5151549542867472,0.7812717219589258,0.041004329004329,0.7330856919288635,0.995925129858499,0.7230769230769231,0.39166666666666666,0.5081081081081081,0.8134448721411849,0.35913962050656434,0.0008103727714748784,1.5209088325500488,0.9793258154480418,0.8431372549019608,0.3575883575883576,0.5021897810218978,0.8161871597829882,0.4604801303813605,0.001998376319240617,0.9999985694885254,2964080,0.7347304316675622,0.01487796723503845,0.7416666666666667,0.02917076368403802,0.8134448721411849,0.35913962050656434,0.2653070412389699,0.5606281071904935,0.05192052980132451,0.814968814968815,0.09762171585107708,0.8161871597829882,0.4604801303813605,0.44701180291013554
4,0.44789400591177364,0.8959873617693523,0.07838745800671892,0.23333577811717987,0.9970445996775927,0.921875,0.49166666666666664,0.6413043478260869,0.8535067380995257,0.5568276464704426,0.00022510354763191067,1.028527855873108,0.925669940584455,0.20271348762968874,0.5280665280665281,0.29296424452133796,0.8310973425567819,0.46275316742896183,0.06238681071629301,0.9894477128982544,2964080,0.9191742790614365,0.044840626688276604,0.6916666666666667,0.08422120750887874,0.8535067380995257,0.5568276464704426,0.07959661444264361,0.6727901054929065,0.06649029982363315,0.7837837837837838,0.1225816940334905,0.8310973425567819,0.46275316742896183,0.3305439330543933
5,0.4528833745207601,0.9232069510268562,0.10758215531485221,0.21168339252471924,0.9970445996775927,0.8461538461538461,0.55,0.6666666666666666,0.8577105468515517,0.6140526324519765,0.0005402485143165856,1.3362841606140137,0.9094216078574027,0.14555633310007,0.43243243243243246,0.21780104712041884,0.8034614677030215,0.28755608584301406,0.07625054643102479,0.9956887364387512,2964080,0.9383396023643202,0.06202090592334495,0.7416666666666667,0.11446945337620579,0.8577105468515517,0.6140526324519765,0.06059787502251036,0.6350794228204195,0.06158961367954401,0.8087318087318087,0.11446226276298367,0.8034614677030215,0.28755608584301406,0.370136763879348
6,0.2854523879367764,0.9651421800947867,0.21182353991784247,0.16537262499332428,0.9974028300197026,0.8974358974358975,0.5833333333333334,0.7070707070707071,0.844617774176121,0.6463949491364785,0.0003601656762110571,1.3136764764785767,0.8869892081969201,0.13624408206207259,0.5384615384615384,0.2174643157010915,0.8059647612198664,0.43889943436881307,0.10254168488103416,0.9862120151519775,2964080,0.9519971341572632,0.0742397137745975,0.6916666666666667,0.13408723747980614,0.844617774176121,0.6463949491364785,0.04659643435980551,0.5588092639747787,0.05254148011588096,0.8295218295218295,0.0988235294117647,0.8059647612198664,0.43889943436881307,0.4493224255292575
7,0.3180795326351564,0.921650868878357,0.1072810728107281,0.2524329125881195,0.9972684936414115,0.9538461538461539,0.5166666666666667,0.6702702702702703,0.8363883636472776,0.5809609260647838,0.0001350621285791464,0.9429241418838501,0.9354916939493149,0.19792746113989637,0.3970893970893971,0.2641770401106501,0.8338399167100847,0.41247943446033347,0.04833572722163242,0.9976275563240051,2964080,0.889351603080781,0.03260437375745527,0.6833333333333333,0.06223908918406072,0.8363883636472776,0.5809609260647838,0.10953538627768773,0.7169273675275858,0.07594167679222358,0.7796257796257796,0.1384019191732792,0.8338399167100847,0.41247943446033347,0.28495597327171673
8,0.22668076505749876,0.9425355450236966,0.147227757589966,0.1598377227783203,0.997537166397994,0.9577464788732394,0.5666666666666667,0.7120418848167539,0.8631209106188846,0.6443024591698584,0.0001350621285791464,1.4268957376480103,0.9505880926397478,0.29433497536945813,0.4968814968814969,0.3696829079659706,0.8072785326579119,0.49492230509341684,0.0357834259664023,0.997989296913147,2964080,0.9440712878380799,0.06409266409266409,0.6916666666666667,0.11731448763250883,0.8631209106188846,0.6443024591698584,0.05456509994597515,0.5696010670546866,0.052353896103896104,0.8045738045738046,0.09831068207798806,0.8072785326579119,0.49492230509341684,0.43745706613376634
9,0.25981317434219187,0.946824644549763,0.15042907622412924,0.22102591395378113,0.996999820884829,0.8533333333333334,0.5333333333333333,0.6564102564102564,0.8591151929887748,0.6033777167845001,0.0004952278047902034,1.4043300151824951,0.9556202255365588,0.3029827315541601,0.40124740124740127,0.34525939177101966,0.8201774857304739,0.42506952421005917,0.027727471429463562,0.9994398951530457,2964080,0.92387605230163,0.04805491990846682,0.7,0.08993576017130621,0.8591151929887748,0.6033777167845001,0.07491446065189987,0.5375287983509155,0.050446597056233486,0.8336798336798337,0.09513641755634639,0.8201774857304739,0.42506952421005917,0.4713670143008805
10,0.3062939985623626,0.9460979462875198,0.15271914576607898,0.16158679127693176,0.9974476088124664,0.8705882352941177,0.6166666666666667,0.7219512195121951,0.8734430337955459,0.6590032969855325,0.0004952278047902034,1.8900395631790161,0.7955620225536558,0.0949845895208742,0.7047817047817048,0.1674074074074074,0.8286015793041336,0.45637580158485774,0.20171110972334977,0.9714072942733765,2964080,0.9473401397098334,0.07073170731707316,0.725,0.1288888888888889,0.8734430337955459,0.6590032969855325,0.05145867098865478,0.4568934157875591,0.046053336189354185,0.893970893970894,0.08759421470767977,0.8286015793041336,0.45637580158485774,0.5562355586086305
