experiment_id,cluster_id,dataset,run_category,hierarchy,model_family,fl_method,aggregation,clustering_method,rounds,best_validation_round,best_validation_f1,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,communication_cost_per_round_bytes,total_communication_cost_bytes,wall_clock_training_seconds,summary_path,round_metrics_path,metrics_csv_path,model_manifest_path,ledger_path,convergence_plot_path,best_validation_f1_default_threshold,cnn_bn_channels,cnn_bn_dropout,cnn_bn_hidden_dim,cnn_bn_kernel_sizes,computed_positive_class_weight,control_variate_bytes,control_variate_communication_cost_per_round_bytes,final_server_control_variate_l2_norm,input_adapter,learning_rate,membership_hash,model_input_layout,mu,n_subclusters,num_leaf_clients,positive_class_weight,positive_class_weight_scale,test_accuracy_default_threshold,test_auroc_default_threshold,test_confusion_matrix,test_confusion_matrix_default_threshold,test_f1_default_threshold,test_fpr_default_threshold,test_pr_auc_default_threshold,test_precision_default_threshold,test_recall_default_threshold,threshold_used
A_C1,1,HAI 21.03,baseline_flat,flat,cnn1d,FedAvg,weighted_arithmetic_mean,,50,40,0.7027027027027027,0.9934624697336562,0.9122807017543859,0.40625,0.5621621621621622,0.8997713336935247,0.5194450729573689,0.0004077638231936063,139872,6993600,112.35587812499944,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/runs/A_C1/run_summary.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/runs/A_C1/round_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/metrics/A_C1_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/models/A_C1/model_manifest.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/ledgers/A_C1_ledger.jsonl,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/plots/convergence_A_C1.svg,0.2908366533864542,,,,,,,,,sliding_window_feature_channels,,,,,,12,120.23141361256545,,0.9920500403551251,0.8997713336935247,"[[24514, 10], [152, 104]]","[[24459, 65], [132, 124]]",0.5573033707865168,0.0026504648507584406,0.5194450729573689,0.656084656084656,0.484375,0.9642142653465271
B_C1,1,HAI 21.03,baseline_uniform_hierarchical,hierarchical_fixed,cnn1d,FedAvg,weighted_arithmetic_mean,agglomerative,50,39,0.7027027027027027,0.9934624697336562,0.9122807017543859,0.40625,0.5621621621621622,0.899704992430884,0.519671859183932,0.0004077638231936063,163184,8159200,111.85652862499956,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/runs/B_C1/run_summary.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/runs/B_C1/round_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/metrics/B_C1_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/models/B_C1/model_manifest.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/ledgers/B_C1_ledger.jsonl,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/plots/convergence_B_C1.svg,0.3037974683544304,,,,,,,,,sliding_window_feature_channels,,866d3cc56e44be563b9f9a489c87a5957dcf6d108c2a096dfb809333dca64cc2,,,2,12,120.23141361256545,,0.9921307506053268,0.899704992430884,"[[24514, 10], [152, 104]]","[[24460, 64], [131, 125]]",0.5617977528089888,0.0026096884684390803,0.519671859183932,0.6613756613756614,0.48828125,0.9632313847541809
P_C1,1,HAI 21.03,proposed_specialized_hierarchical,hierarchical_fixed,cnn1d_bn,FedBN,weighted_non_bn_mean,agglomerative,50,25,0.5988700564971752,0.9922114608555287,0.7480314960629921,0.37109375,0.4960835509138381,0.7647131062938347,0.40302886394641274,0.0013048442342195401,3394160,169708000,1056.6945431250006,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/runs/P_C1/run_summary.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/runs/P_C1/round_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/metrics/P_C1_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/models/P_C1/model_manifest.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/ledgers/P_C1_ledger.jsonl,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/plots/convergence_P_C1.svg,0.18543046357615894,"[32, 64, 64]",0.1,32,"[5, 3, 3]",120.23141361256545,,,,sliding_window_feature_channels,0.003,866d3cc56e44be563b9f9a489c87a5957dcf6d108c2a096dfb809333dca64cc2,,,2,12,120.23141361256545,1.0,0.9674737691686844,0.7647131062938347,"[[24492, 32], [161, 95]]","[[23844, 680], [126, 130]]",0.24390243902439024,0.027727939977165227,0.40302886394641274,0.16049382716049382,0.5078125,0.9483963847160339
A_C2,2,TON IoT combined telemetry,baseline_flat,flat,cnn1d,FedAvg,weighted_arithmetic_mean,,50,1,0.9115505510683165,0.8950773558368496,0.868749538370633,0.9925738396624473,0.9265429910591201,0.7873180508821593,0.8337321641663626,0.299915611814346,4920,246000,9.19468708400018,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/runs/A_C2/run_summary.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/runs/A_C2/round_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/metrics/A_C2_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/models/A_C2/model_manifest.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/ledgers/A_C2_ledger.jsonl,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/plots/convergence_A_C2.svg,0.8,,,,,,,,,feature_vector_as_sequence,,,,,,15,0.6657829728264144,,0.6666666666666666,0.7873180508821593,"[[4148, 1777], [88, 11762]]","[[0, 5925], [0, 11850]]",0.8,1.0,0.8337321641663626,0.6666666666666666,1.0,0.5080185532569885
B_C2,2,TON IoT combined telemetry,baseline_uniform_hierarchical,hierarchical_fixed,cnn1d,FedAvg,weighted_arithmetic_mean,agglomerative,50,1,0.9115505510683165,0.8950773558368496,0.868749538370633,0.9925738396624473,0.9265429910591201,0.7873050259039684,0.8337393295535916,0.299915611814346,5904,295200,9.21466750000036,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/runs/B_C2/run_summary.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/runs/B_C2/round_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/metrics/B_C2_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/models/B_C2/model_manifest.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/ledgers/B_C2_ledger.jsonl,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/plots/convergence_B_C2.svg,0.8,,,,,,,,,feature_vector_as_sequence,,572fc5b59e36576bcd52becf06e8095decd701dade53abf72f398ffcda6c02cd,,,3,15,0.6657829728264144,,0.6666666666666666,0.7873050259039684,"[[4148, 1777], [88, 11762]]","[[0, 5925], [0, 11850]]",0.8,1.0,0.8337393295535916,0.6666666666666666,1.0,0.5080230236053467
P_C2,2,TON IoT combined telemetry,proposed_specialized_hierarchical,hierarchical_fixed,compact_mlp,FedProx,weighted_arithmetic_mean,agglomerative,50,50,0.9270453565408288,0.8985091420534459,0.867877545041746,1.0,0.9292659974905897,0.8124017732201038,0.8557143271227138,0.3044725738396625,442512,22125600,11.363372333998996,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/runs/P_C2/run_summary.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/runs/P_C2/round_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/metrics/P_C2_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/models/P_C2/model_manifest.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/ledgers/P_C2_ledger.jsonl,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/plots/convergence_P_C2.svg,0.8648688099843083,,,,,,,,,feature_vector_as_sequence,,572fc5b59e36576bcd52becf06e8095decd701dade53abf72f398ffcda6c02cd,batch_x_features,0.01,3,15,0.6657829728264144,,0.8,0.8124017732201038,"[[4121, 1804], [0, 11850]]","[[2370, 3555], [0, 11850]]",0.8695652173913043,0.6,0.8557143271227138,0.7692307692307693,1.0,0.637915849685669
A_C3,3,WUSTL-IIOT-2021,baseline_flat,flat,cnn1d,FedAvg,weighted_arithmetic_mean,,50,50,0.8737417005782823,0.9710785544858379,0.7758566769423223,0.9905881010780903,0.8701708673648344,0.9783569332707255,0.6480886611275047,0.031037341317957982,4920,246000,130.54447099999925,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/runs/A_C3/run_summary.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/runs/A_C3/round_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/metrics/A_C3_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/models/A_C3/model_manifest.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/ledgers/A_C3_ledger.jsonl,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/plots/convergence_A_C3.svg,0.009452226397904566,,,,,,,,,feature_vector_as_sequence,,,,,,15,14.747824612950616,,0.8970224640714385,0.9783569332707255,"[[156627, 5017], [165, 17366]]","[[160667, 977], [17474, 57]]",0.006140587126312954,0.0060441463957833265,0.6480886611275047,0.0551257253384913,0.0032513832639324623,0.007514748256653547
B_C3,3,WUSTL-IIOT-2021,baseline_uniform_hierarchical,hierarchical_fixed,cnn1d,FedAvg,weighted_arithmetic_mean,agglomerative,50,42,0.8744746352563244,0.9712404074229105,0.7761713520749666,0.9921852718042325,0.8709847024360933,0.9780082207158196,0.6438121505498337,0.031031154883571305,5904,295200,130.46500408300017,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/runs/B_C3/run_summary.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/runs/B_C3/round_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/metrics/B_C3_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/models/B_C3/model_manifest.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/ledgers/B_C3_ledger.jsonl,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/plots/convergence_B_C3.svg,0.00648169206277007,,,,,,,,,feature_vector_as_sequence,,f56d3171e2e665c9b46abf6a8b64524a2e8689417598358c290f3cb7d4237770,,,3,15,14.747824612950616,,0.8966429468396818,0.9780082207158196,"[[156628, 5016], [137, 17394]]","[[160627, 1017], [17502, 29]]",0.0031221402809926252,0.006291603771250402,0.6438121505498337,0.027724665391969407,0.0016542125377902001,0.009300285018980503
P_C3,3,WUSTL-IIOT-2021,proposed_specialized_hierarchical,hierarchical_fixed,cnn1d,SCAFFOLD,weighted_arithmetic_mean,agglomerative,50,50,0.8694008995821467,0.9707715920189759,0.7714386646648415,0.9965204494894758,0.8696517908255967,0.9812904781020331,0.6900707099878111,0.032020984385439606,11808,590400,132.81329108300088,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/runs/P_C3/run_summary.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/runs/P_C3/round_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/metrics/P_C3_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/models/P_C3/model_manifest.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/ledgers/P_C3_ledger.jsonl,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/plots/convergence_P_C3.svg,0.7991785497353426,,,,,,164,5904,0.01778540968985691,feature_vector_as_sequence,,f56d3171e2e665c9b46abf6a8b64524a2e8689417598358c290f3cb7d4237770,,,3,15,14.747824612950616,,0.9626454583507744,0.9812904781020331,"[[156468, 5176], [61, 17470]]","[[156975, 4669], [2024, 15507]]",0.8224998010979394,0.02888446215139442,0.6900707099878111,0.7685864393338621,0.8845473732245737,0.13174223899841309
AB_C1_FEDAVG_CNNBN,1,HAI 21.03,ablation_fl_method,hierarchical_fixed,cnn1d_bn,FedAvg,weighted_arithmetic_mean,agglomerative,50,36,0.7191011235955056,0.9937046004842615,0.852112676056338,0.47265625,0.6080402010050251,0.7801151104530255,0.5245374049809598,0.0008563040287065731,3466176,173308800,906.8553376250002,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/runs/AB_C1_FEDAVG_CNNBN/run_summary.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/runs/AB_C1_FEDAVG_CNNBN/round_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/metrics/AB_C1_FEDAVG_CNNBN_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/models/AB_C1_FEDAVG_CNNBN/model_manifest.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/ledgers/AB_C1_FEDAVG_CNNBN_ledger.jsonl,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_full_paper_suite_seed42/plots/convergence_AB_C1_FEDAVG_CNNBN.svg,0.552,"[32, 64, 64]",0.1,32,"[5, 3, 3]",,,,,sliding_window_feature_channels,,866d3cc56e44be563b9f9a489c87a5957dcf6d108c2a096dfb809333dca64cc2,,,2,12,120.23141361256545,,0.9934221146085553,0.7801151104530255,"[[24503, 21], [135, 121]]","[[24487, 37], [126, 130]]",0.6146572104018913,0.001508726145816343,0.5245374049809598,0.7784431137724551,0.5078125,0.8048277497291565
