round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.504866562595572,0.6003182985495714,0.7502486212819818,0.6645471453666687,0.8089451476793249,0.8098973607038124,0.9322362869198312,0.866771282856022,0.5755126991757019,0.6613955514611245,0.43763713080168776,0.663724422454834,0.8162025316455697,0.8148800352190183,0.9372151898734177,0.8717767573295655,0.6084772668197761,0.671052031261248,0.4258227848101266,0.5422340035438538,442512,0.6666666666666666,0.6666666666666666,1.0,0.8,0.5755126991757019,0.6613955514611245,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8,0.6084772668197761,0.671052031261248,1.0
2,0.4128013075340114,0.6003182985495714,0.7502486212819818,0.6368134617805481,0.6809001406469761,0.6762926606551763,1.0,0.8068909165191339,0.4996293329060514,0.6286268797449941,0.9572995780590717,0.6321493983268738,0.6759493670886076,0.6737220447284346,0.9965400843881856,0.8039349172850432,0.5387509907600279,0.6388941726881922,0.9652320675105486,0.6245415210723877,442512,0.6666666666666666,0.6666666666666666,1.0,0.8,0.4996293329060514,0.6286268797449941,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8,0.5387509907600279,0.6388941726881922,1.0
3,0.37716021733798627,0.6003182985495714,0.7502486212819818,0.6592304706573486,0.7212939521800281,0.7410851629142777,0.8944303797468355,0.8105689813398593,0.5208035250761096,0.6344131457985672,0.6249789029535865,0.6519813537597656,0.7480168776371308,0.7545059042883778,0.9220253164556962,0.8298963199270821,0.5533818013494989,0.6428664364510254,0.6,0.7203941345214844,442512,0.6666666666666666,0.6666666666666666,1.0,0.8,0.5208035250761096,0.6344131457985672,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8,0.5533818013494989,0.6428664364510254,1.0
4,0.39045406723546844,0.6003182985495714,0.7502486212819818,0.716264009475708,0.7916736990154711,0.7619108853597377,1.0,0.8648688099843083,0.5557026972173263,0.6435615398290233,0.6249789029535865,0.7086865901947021,0.8,0.7692307692307693,1.0,0.8695652173913043,0.5808838184763837,0.6500624833694969,0.6,0.8030316233634949,442512,0.6666666666666666,0.6666666666666666,1.0,0.8,0.5557026972173263,0.6435615398290233,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8,0.5808838184763837,0.6500624833694969,1.0
5,0.41742738348894354,0.6003182985495714,0.7502486212819818,0.7839946746826172,0.7916736990154711,0.7619108853597377,1.0,0.8648688099843083,0.5546643023731952,0.6432413930863472,0.6249789029535865,0.7767586708068848,0.8,0.7692307692307693,1.0,0.8695652173913043,0.582379632893589,0.6505716881893786,0.6,0.8725171685218811,442512,0.6666666666666666,0.6666666666666666,1.0,0.8,0.5546643023731952,0.6432413930863472,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8,0.582379632893589,0.6505716881893786,1.0
6,0.4375368974385638,0.6003182985495714,0.7502486212819818,0.843536376953125,0.7916736990154711,0.7619108853597377,1.0,0.8648688099843083,0.5760635083408998,0.6886707090755811,0.6249789029535865,0.8367508053779602,0.8,0.7692307692307693,1.0,0.8695652173913043,0.6100884758496679,0.7044563648478582,0.6,0.915630042552948,442512,0.6666666666666666,0.6666666666666666,1.0,0.8,0.5760635083408998,0.6886707090755811,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8,0.6100884758496679,0.7044563648478582,1.0
7,0.4467917441954136,0.6003182985495714,0.7502486212819818,0.8909903764724731,0.8339240506329114,0.9010998918139199,0.8434599156118143,0.871327695928864,0.8787205255568018,0.9264071085825706,0.1851476793248945,0.8848565220832825,0.8037693389592124,0.8526484480431848,0.8530801687763713,0.8528642537754155,0.8604681016218911,0.914412681988862,0.2948523206751055,0.9431804418563843,442512,0.6666666666666666,0.6666666666666666,1.0,0.8,0.8787205255568018,0.9264071085825706,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8,0.8604681016218911,0.914412681988862,1.0
8,0.44370342060383244,0.6003182985495714,0.7502486212819818,0.9238899946212769,0.8726300984528833,0.8611362266425557,0.9644725738396625,0.909879786641191,0.8049063077498264,0.8766488062616673,0.3110548523206751,0.9187955856323242,0.8764556962025316,0.8641919420552286,0.9665822784810126,0.9125239005736138,0.7955012693834677,0.8544078825353103,0.3037974683544304,0.9478492736816406,442512,0.6666666666666666,0.6666666666666666,1.0,0.8,0.8049063077498264,0.8766488062616673,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8,0.7955012693834677,0.8544078825353103,1.0
9,0.43057489846860975,0.6003182985495714,0.7502486212819818,0.9476258158683777,0.8947960618846694,0.8657285253591323,0.9967932489451476,0.9266494077037735,0.8100727376310777,0.8746873844326423,0.3091983122362869,0.9434080719947815,0.899353023909986,0.8688320258083437,1.0,0.9298128604496058,0.8085555021453114,0.8576802551881508,0.3019409282700422,0.950225293636322,442512,0.6666666666666666,0.6666666666666666,1.0,0.8,0.8100727376310777,0.8746873844326423,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8,0.8085555021453114,0.8576802551881508,1.0
10,0.41310142727113264,0.6003182985495714,0.7502486212819818,0.9605922698974609,0.8948523206751055,0.8653634965956513,0.9974683544303797,0.92673174173821,0.811274881162207,0.8743121690293241,0.31037974683544306,0.957281231880188,0.8986216596343178,0.8680046879578084,1.0,0.929338875382323,0.8095964250743293,0.8577875915724089,0.30413502109704643,0.9502159357070923,442512,0.6666666666666666,0.6666666666666666,1.0,0.8,0.811274881162207,0.8743121690293241,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8,0.8095964250743293,0.8577875915724089,1.0
