round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.438946885173713,0.6003182985495714,0.7502486212819818,0.6875629425048828,0.8749367088607595,0.8623804863359181,0.9666666666666667,0.9115505510683165,0.7805917498976304,0.8514561584548654,0.3085232067510549,0.6876223683357239,0.8950773558368496,0.868749538370633,0.9925738396624473,0.9265429910591201,0.7873050259039684,0.8337393295535916,0.299915611814346,0.5080230236053467,5904,0.6666666666666666,0.6666666666666666,1.0,0.8,0.7805917498976304,0.8514561584548654,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8,0.7873050259039684,0.8337393295535916,1.0
2,0.4397096861836542,0.6003182985495714,0.7502486212819818,0.6836917400360107,0.8719549929676512,0.8618291761148904,0.9621940928270042,0.909250398724083,0.7868096209653013,0.8560750064541289,0.3085232067510549,0.6837964057922363,0.8909142053445851,0.8680282213145192,0.9863291139240506,0.9234050957930081,0.7924228880699319,0.8381821418899769,0.299915611814346,0.5138910412788391,5904,0.6666666666666666,0.6666666666666666,1.0,0.8,0.7868096209653013,0.8560750064541289,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8,0.7924228880699319,0.8381821418899769,1.0
3,0.4392979569722391,0.6003182985495714,0.7502486212819818,0.6803451180458069,0.8311673699015472,0.8633489365196683,0.8871729957805907,0.8750988471303117,0.7620481475547011,0.8475052193226918,0.2808438818565401,0.6805233955383301,0.8348241912798875,0.8677999669912527,0.8874261603375527,0.8775033377837116,0.7569480318325055,0.8261536862266026,0.270379746835443,0.5188614726066589,5904,0.6666666666666666,0.6666666666666666,1.0,0.8,0.7620481475547011,0.8475052193226918,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8,0.7569480318325055,0.8261536862266026,1.0
4,0.4373880409908415,0.6003182985495714,0.7502486212819818,0.6768486499786377,0.829817158931083,0.8632584177163085,0.8848945147679325,0.8739425761553528,0.7614440705727358,0.8472908995148865,0.280337552742616,0.6771456599235535,0.8321237693389593,0.8674568965517241,0.8831223628691983,0.8752195366730785,0.755634253769873,0.8257215844008519,0.26987341772151896,0.5238891243934631,5904,0.6666666666666666,0.6666666666666666,1.0,0.8,0.7614440705727358,0.8472908995148865,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8,0.755634253769873,0.8257215844008519,1.0
5,0.4336093190632771,0.6003182985495714,0.7502486212819818,0.6726693511009216,0.8290857946554149,0.8633514761669141,0.8834599156118144,0.87328995662329,0.761071081913511,0.847148041008195,0.279662447257384,0.6731466054916382,0.8309423347398031,0.8674698795180723,0.8810126582278481,0.8741888214360477,0.7550418344638501,0.8255168691055665,0.26919831223628693,0.5297927856445312,5904,0.6666666666666666,0.6666666666666666,1.0,0.8,0.761071081913511,0.847148041008195,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8,0.7550418344638501,0.8255168691055665,1.0
6,0.4273697488644251,0.6003182985495714,0.7502486212819818,0.667466402053833,0.8279606188466948,0.8636664460622104,0.8810126582278481,0.8722533210794553,0.7604177322010361,0.846906488310571,0.2781434599156118,0.6682049632072449,0.829479606188467,0.8675502208885555,0.8783122362869198,0.8728980584559902,0.7543715643860492,0.8252757284631331,0.2681856540084388,0.5372124910354614,5904,0.6666666666666666,0.6666666666666666,1.0,0.8,0.7604177322010361,0.846906488310571,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8,0.7543715643860492,0.8252757284631331,1.0
7,0.4181369274161208,0.6003182985495714,0.7502486212819818,0.6613441705703735,0.8276793248945148,0.8638509316770187,0.880253164556962,0.871974921630094,0.7587349890508999,0.8464080126073776,0.27746835443037976,0.6624326705932617,0.8288607594936709,0.8675513269904858,0.8772151898734177,0.872356495468278,0.7523456141287899,0.8246596369776115,0.26784810126582276,0.5461928844451904,5904,0.6666666666666666,0.6666666666666666,1.0,0.8,0.7587349890508999,0.8464080126073776,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8,0.7523456141287899,0.8246596369776115,1.0
8,0.4054585608961477,0.6003182985495714,0.7502486212819818,0.6548816561698914,0.8277918424753867,0.8638734785128757,0.8804219409282701,0.8720692105153174,0.7588349872705585,0.8464416419261345,0.27746835443037976,0.6563968062400818,0.8291983122362869,0.8676176176176176,0.8777215189873417,0.8726403221746791,0.7524988801652157,0.8247082718251457,0.26784810126582276,0.5559527277946472,5904,0.6666666666666666,0.6666666666666666,1.0,0.8,0.7588349872705585,0.8464416419261345,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8,0.7524988801652157,0.8247082718251457,1.0
9,0.38964446278189513,0.6003182985495714,0.7502486212819818,0.6487470269203186,0.8278481012658228,0.8638847491306507,0.880506329113924,0.8721163490471414,0.7588855133614627,0.8464578062552273,0.27746835443037976,0.650741696357727,0.829310829817159,0.8676396997497915,0.8778902953586498,0.8727348993288591,0.752630753618544,0.8247480451830513,0.26784810126582276,0.5653983354568481,5904,0.6666666666666666,0.6666666666666666,1.0,0.8,0.7588855133614627,0.8464578062552273,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8,0.752630753618544,0.8247480451830513,1.0
10,0.3708190088352514,0.6003182985495714,0.7502486212819818,0.6435789465904236,0.8278481012658228,0.8638847491306507,0.880506329113924,0.8721163490471414,0.7589023126635689,0.8464624436339538,0.27746835443037976,0.6460750699043274,0.829479606188467,0.8676728091386642,0.8781434599156118,0.872876735310154,0.7527291068026848,0.8247789776459193,0.26784810126582276,0.573107123374939,5904,0.6666666666666666,0.6666666666666666,1.0,0.8,0.7589023126635689,0.8464624436339538,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8,0.7527291068026848,0.8247789776459193,1.0
