round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7206138190078107,0.9917513128800443,0.0,0.5387502312660217,0.00423728813559322,0.004197102385084144,1.0,0.008359120684804888,0.14199740171078717,0.0022604285782127217,0.9999594747933215,0.5453248620033264,0.010048426150121066,0.010051265490655149,0.97265625,0.019896919573294976,0.1987004439528625,0.0061022162807571525,1.0,0.20197992026805878,3036096,0.9958030669895077,0.0,0.0,0.0,0.14199740171078717,0.0022604285782127217,0.0,0.9896690879741727,0.0,0.0,0.0,0.1987004439528625,0.0061022162807571525,0.0
2,0.5440651990704987,0.9917513128800443,0.0,0.3984890580177307,0.004196933010492333,0.004196933010492333,1.0,0.008358784761292396,0.13425299574797062,0.0022453703588164596,1.0,0.4113108515739441,0.009887005649717515,0.009891396503694133,0.95703125,0.019580419580419582,0.19845172394898875,0.006051556928844104,1.0,0.07059852033853531,3036096,0.9958030669895077,0.0,0.0,0.0,0.13425299574797062,0.0022453703588164596,0.0,0.9896690879741727,0.0,0.0,0.0,0.19845172394898875,0.006051556928844104,0.0
3,0.4179566488088817,0.9917513128800443,0.0,0.28332650661468506,0.995318805488297,0.125,0.019230769230769232,0.03333333333333333,0.3473228425003429,0.006039763008394169,0.0005673528934997568,0.29571470618247986,0.9875302663438257,0.19540229885057472,0.06640625,0.09912536443148688,0.3307349273925543,0.05737415560389965,0.002854346762355244,0.2983258068561554,3036096,0.9958030669895077,0.0,0.0,0.0,0.3473228425003429,0.006039763008394169,0.0,0.9896690879741727,0.0,0.0,0.0,0.3307349273925543,0.05737415560389965,0.0
4,0.323919620846162,0.9930555555555556,0.291005291005291,0.19592981040477753,0.9964487489911219,0.6481481481481481,0.33653846153846156,0.4430379746835443,0.6263490217838573,0.3561674629240269,0.0007699789268925272,0.2038612812757492,0.9918886198547215,0.7165354330708661,0.35546875,0.4751958224543081,0.684610053544487,0.37847242677357107,0.0014679497634969825,0.31288620829582214,3036096,0.9963276836158192,1.0,0.125,0.2222222222222222,0.6263490217838573,0.3561674629240269,0.0,0.9918482647296206,0.95,0.22265625,0.36075949367088606,0.684610053544487,0.37847242677357107,0.00012232914695808187
5,0.2715063192725681,0.9943338861249309,0.5469613259668509,0.1372508853673935,0.997497982243745,0.92,0.4423076923076923,0.5974025974025974,0.8491959643128796,0.542881493477984,0.00016210082671421625,0.14328935742378235,0.9923728813559322,0.8602150537634409,0.3125,0.4584527220630373,0.7174321742221905,0.4384905432576664,0.0005300929701516882,0.6138432025909424,3036096,0.9972154963680387,0.7868852459016393,0.46153846153846156,0.5818181818181818,0.8491959643128796,0.542881493477984,0.0005268276868212028,0.992453591606134,0.8108108108108109,0.3515625,0.4904632152588556,0.7174321742221905,0.4384905432576664,0.0008563040287065731
6,0.2531779929928696,0.9946189192924267,0.6019169329073483,0.10888207703828812,0.9975786924939467,0.9074074074074074,0.47115384615384615,0.620253164556962,0.8811676247241168,0.5705767462825798,0.00020262603339277031,0.11298341304063797,0.9923728813559322,0.8526315789473684,0.31640625,0.46153846153846156,0.7253151568361607,0.46305942407778766,0.0005708693524710488,0.7531793713569641,3036096,0.9970137207425342,0.6973684210526315,0.5096153846153846,0.5888888888888889,0.8811676247241168,0.5705767462825798,0.0009320797536067434,0.9926957223567393,0.8151260504201681,0.37890625,0.5173333333333333,0.7253151568361607,0.46305942407778766,0.0008970804110259337
7,0.22941997677364065,0.9946621061359867,0.6294964028776978,0.08673129975795746,0.9972962066182405,0.7402597402597403,0.5480769230769231,0.6298342541436464,0.8866845081486838,0.5812711196886226,0.0008105041335710813,0.09070371836423874,0.9926553672316384,0.8135593220338984,0.375,0.5133689839572193,0.7550350071613521,0.4763682187191214,0.0008970804110259337,0.6252977848052979,3036096,0.9969330104923325,0.648936170212766,0.5865384615384616,0.6161616161616161,0.8866845081486838,0.5812711196886226,0.001337331820392284,0.9929378531073446,0.8188976377952756,0.40625,0.5430809399477807,0.7550350071613521,0.4763682187191214,0.0009378567933452944
8,0.2245077315971933,0.9949385019347706,0.6444174757281553,0.07073577493429184,0.9973769168684423,0.7468354430379747,0.5673076923076923,0.644808743169399,0.9026091608788359,0.5862132510559186,0.0008105041335710813,0.07501049339771271,0.992776432606941,0.8181818181818182,0.38671875,0.5251989389920424,0.7676990206022671,0.48306718926507386,0.0008970804110259337,0.5823050737380981,3036096,0.9969733656174334,0.6593406593406593,0.5769230769230769,0.6153846153846154,0.9026091608788359,0.5862132510559186,0.001256281407035176,0.9928974979822437,0.8076923076923077,0.41015625,0.5440414507772021,0.7676990206022671,0.48306718926507386,0.0010194095579840157
9,0.2104440983095202,0.9947830292979547,0.6548571428571428,0.0698453038930893,0.9976190476190476,0.8,0.5769230769230769,0.6703910614525139,0.8940877620110479,0.5815591231614381,0.0006078781001783109,0.07309224456548691,0.9928571428571429,0.8211382113821138,0.39453125,0.5329815303430079,0.7556585991019001,0.4870496142135132,0.0008970804110259337,0.7093992829322815,3036096,0.9968119451170299,0.6190476190476191,0.625,0.6220095693779905,0.8940877620110479,0.5815591231614381,0.0016210082671421625,0.9930589184826473,0.795774647887324,0.44140625,0.5678391959798995,0.7556585991019001,0.4870496142135132,0.0011825150872614581
10,0.19881045211186749,0.9951717108899945,0.6662686567164179,0.050240278244018555,0.9976190476190476,0.8082191780821918,0.5673076923076923,0.6666666666666666,0.8945006125540856,0.5798904623477361,0.0005673528934997568,0.05813124403357506,0.992816787732042,0.819672131147541,0.390625,0.5291005291005291,0.7515733949396509,0.48870552232589226,0.0008970804110259337,0.669232964515686,3036096,0.9971751412429378,0.6847826086956522,0.6057692307692307,0.6428571428571429,0.8945006125540856,0.5798904623477361,0.0011752309936780678,0.9931799838579499,0.8320610687022901,0.42578125,0.5633074935400517,0.7515733949396509,0.48870552232589226,0.0008970804110259337
