round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.4179601938435526,0.6003182985495714,0.7502486212819818,0.6875662207603455,0.8749367088607595,0.8623804863359181,0.9666666666666667,0.9115505510683165,0.7805919849027043,0.8514553726077991,0.3085232067510549,0.6876254677772522,0.8950773558368496,0.868749538370633,0.9925738396624473,0.9265429910591201,0.7873180508821593,0.8337321641663626,0.299915611814346,0.5080185532569885,4920,0.6666666666666666,0.6666666666666666,1.0,0.8,0.7805919849027043,0.8514553726077991,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8,0.7873180508821593,0.8337321641663626,1.0
2,0.4160875236446208,0.6003182985495714,0.7502486212819818,0.6836770176887512,0.8719549929676512,0.8618291761148904,0.9621940928270042,0.909250398724083,0.7868088589791522,0.8560744352365063,0.3085232067510549,0.683781623840332,0.8909142053445851,0.8680282213145192,0.9863291139240506,0.9234050957930081,0.7924222542683687,0.8381817631070447,0.299915611814346,0.5139155387878418,4920,0.6666666666666666,0.6666666666666666,1.0,0.8,0.7868088589791522,0.8560744352365063,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8,0.7924222542683687,0.8381817631070447,1.0
3,0.4136128916433363,0.6003182985495714,0.7502486212819818,0.6803346872329712,0.8311673699015472,0.8633489365196683,0.8871729957805907,0.8750988471303117,0.7620489024194842,0.8475055878170841,0.2808438818565401,0.6805129647254944,0.8348241912798875,0.8677999669912527,0.8874261603375527,0.8775033377837116,0.7569333404546992,0.826154187517276,0.270379746835443,0.5188797116279602,4920,0.6666666666666666,0.6666666666666666,1.0,0.8,0.7620489024194842,0.8475055878170841,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8,0.7569333404546992,0.826154187517276,1.0
4,0.40993777545112553,0.6003182985495714,0.7502486212819818,0.6768417954444885,0.829817158931083,0.8632584177163085,0.8848945147679325,0.8739425761553528,0.7614438213249302,0.8472905453077275,0.280337552742616,0.6771386861801147,0.8321237693389593,0.8674568965517241,0.8831223628691983,0.8752195366730785,0.7556302017126885,0.8257179211842338,0.26987341772151896,0.5239026546478271,4920,0.6666666666666666,0.6666666666666666,1.0,0.8,0.7614438213249302,0.8472905453077275,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8,0.7556302017126885,0.8257179211842338,1.0
5,0.4043497735352227,0.6003182985495714,0.7502486212819818,0.6726582050323486,0.8290857946554149,0.8633514761669141,0.8834599156118144,0.87328995662329,0.7610711032776086,0.8471480217103586,0.279662447257384,0.67313551902771,0.8309423347398031,0.8674698795180723,0.8810126582278481,0.8741888214360477,0.7550415780946785,0.8255170138949831,0.26919831223628693,0.5298134684562683,4920,0.6666666666666666,0.6666666666666666,1.0,0.8,0.7610711032776086,0.8471480217103586,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8,0.7550415780946785,0.8255170138949831,1.0
6,0.39605592538913087,0.6003182985495714,0.7502486212819818,0.667461633682251,0.8279606188466948,0.8636664460622104,0.8810126582278481,0.8722533210794553,0.760417803414695,0.8469069035357493,0.2781434599156118,0.6682002544403076,0.829479606188467,0.8675502208885555,0.8783122362869198,0.8728980584559902,0.7543566593672667,0.8252650065024068,0.2681856540084388,0.5372220873832703,4920,0.6666666666666666,0.6666666666666666,1.0,0.8,0.760417803414695,0.8469069035357493,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8,0.7543566593672667,0.8252650065024068,1.0
7,0.3845255325689461,0.6003182985495714,0.7502486212819818,0.6613519191741943,0.8276793248945148,0.8638509316770187,0.880253164556962,0.871974921630094,0.7587345190407518,0.8464078896228895,0.27746835443037976,0.6624405384063721,0.8288607594936709,0.8675513269904858,0.8772151898734177,0.872356495468278,0.7523459061047909,0.8246600917352469,0.26784810126582276,0.5461761355400085,4920,0.6666666666666666,0.6666666666666666,1.0,0.8,0.7587345190407518,0.8464078896228895,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8,0.7523459061047909,0.8246600917352469,1.0
8,0.36976020866722764,0.6003182985495714,0.7502486212819818,0.6548911929130554,0.8277918424753867,0.8638734785128757,0.8804219409282701,0.8720692105153174,0.758835079848315,0.8464417752290386,0.27746835443037976,0.6564058661460876,0.8291983122362869,0.8676176176176176,0.8777215189873417,0.8726403221746791,0.7524998842778046,0.8247085238596853,0.26784810126582276,0.5559362769126892,4920,0.6666666666666666,0.6666666666666666,1.0,0.8,0.758835079848315,0.8464417752290386,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8,0.7524998842778046,0.8247085238596853,1.0
9,0.3523256406188011,0.6003182985495714,0.7502486212819818,0.6487482190132141,0.8278481012658228,0.8638847491306507,0.880506329113924,0.8721163490471414,0.7588855916964874,0.8464579673350525,0.27746835443037976,0.6507420539855957,0.829310829817159,0.8676396997497915,0.8778902953586498,0.8727348993288591,0.7526307963467394,0.8247481330507471,0.26784810126582276,0.5654058456420898,4920,0.6666666666666666,0.6666666666666666,1.0,0.8,0.7588855916964874,0.8464579673350525,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8,0.7526307963467394,0.8247481330507471,1.0
10,0.3329341032739841,0.6003182985495714,0.7502486212819818,0.6435646414756775,0.8278481012658228,0.8638847491306507,0.880506329113924,0.8721163490471414,0.7589026616104968,0.846462657618595,0.27746835443037976,0.6460602283477783,0.829479606188467,0.8676728091386642,0.8781434599156118,0.872876735310154,0.7527291210454164,0.824779067262259,0.26784810126582276,0.5731528401374817,4920,0.6666666666666666,0.6666666666666666,1.0,0.8,0.7589026616104968,0.846462657618595,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8,0.7527291210454164,0.824779067262259,1.0
