round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.4496091908851023,0.9917513128800443,0.0,0.29584693908691406,0.9959644874899112,0.625,0.09615384615384616,0.16666666666666666,0.4774796750501889,0.09604308078323757,0.00024315124007132436,0.31127774715423584,0.9878934624697336,0.06,0.01171875,0.0196078431372549,0.4950893926612706,0.015643529848846257,0.0019164899690099495,0.3727630078792572,163184,0.9958030669895077,0.0,0.0,0.0,0.4774796750501889,0.09604308078323757,0.0,0.9896690879741727,0.0,0.0,0.0,0.4950893926612706,0.015643529848846257,0.0
2,0.30355114529898575,0.9936688087341072,0.4026079869600652,0.19181105494499207,0.9968926553672316,0.8292682926829268,0.3269230769230769,0.4689655172413793,0.818912139793259,0.36999525309653875,0.0002836764467498784,0.20788000524044037,0.990637610976594,0.75,0.140625,0.23684210526315788,0.7368344848413798,0.25201566508853607,0.0004893165878323275,0.4225466847419739,163184,0.9968926553672316,0.8857142857142857,0.2980769230769231,0.4460431654676259,0.818912139793259,0.36999525309653875,0.00016210082671421625,0.9906779661016949,0.8571428571428571,0.1171875,0.20618556701030927,0.7368344848413798,0.25201566508853607,0.00020388191159680314
3,0.27571742730181775,0.9947398424543947,0.5791292328956462,0.1356370449066162,0.997134786117837,0.7142857142857143,0.5288461538461539,0.6077348066298343,0.9400410083918351,0.5332655167666961,0.0008915545469281893,0.1494029313325882,0.9918886198547215,0.7669902912621359,0.30859375,0.4401114206128134,0.8440879979815691,0.3800218491106895,0.000978633175664655,0.4147533178329468,163184,0.9973365617433414,0.8275862068965517,0.46153846153846156,0.5925925925925926,0.9400410083918351,0.5332655167666961,0.00040525206678554063,0.9915254237288136,0.7875,0.24609375,0.375,0.8440879979815691,0.3800218491106895,0.0006931984994291307
4,0.2347363900790396,0.9946275566611388,0.5913272010512484,0.08771166950464249,0.9974172719935431,0.75,0.5769230769230769,0.6521739130434783,0.9511936232028629,0.5602994767677693,0.0008105041335710813,0.10145855695009232,0.9917675544794189,0.7653061224489796,0.29296875,0.423728813559322,0.8720611537422525,0.3842884747434008,0.0009378567933452944,0.48481565713882446,163184,0.9973769168684423,0.76,0.5480769230769231,0.6368715083798883,0.9511936232028629,0.5602994767677693,0.0007294537202139731,0.9917675544794189,0.782608695652174,0.28125,0.41379310344827586,0.8720611537422525,0.3842884747434008,0.0008155276463872126
5,0.21753530638152066,0.9946361940298507,0.6082018927444794,0.06971652060747147,0.997457627118644,0.7887323943661971,0.5384615384615384,0.64,0.9442832961332718,0.5613746861528826,0.0006078781001783109,0.08259566873311996,0.9912429378531074,0.76,0.22265625,0.34441087613293053,0.8695667859800604,0.381949895255154,0.0007339748817484913,0.6365973949432373,163184,0.9970137207425342,0.6666666666666666,0.5769230769230769,0.6185567010309279,0.9442832961332718,0.5613746861528826,0.0012157562003566218,0.9916464891041162,0.7525773195876289,0.28515625,0.41359773371104813,0.8695667859800604,0.381949895255154,0.000978633175664655
6,0.21252663982486233,0.9944202598120508,0.6103739445114595,0.064132921397686,0.9974172719935431,0.7439024390243902,0.5865384615384616,0.6559139784946236,0.9518934623489658,0.5822895255209601,0.0008510293402496353,0.0730484202504158,0.9917675544794189,0.7888888888888889,0.27734375,0.41040462427745666,0.879675346726676,0.42844790674101646,0.0007747512640678519,0.6699417233467102,163184,0.9967715899919289,0.6176470588235294,0.6057692307692307,0.6116504854368932,0.9518934623489658,0.5822895255209601,0.0015804830604636084,0.9918482647296206,0.7410714285714286,0.32421875,0.45108695652173914,0.879675346726676,0.42844790674101646,0.0011825150872614581
7,0.20168763275439827,0.994117951907131,0.6052173913043478,0.06013060361146927,0.9976997578692494,0.8309859154929577,0.5673076923076923,0.6742857142857143,0.960407457573226,0.5937322722256071,0.0004863024801426487,0.06648758798837662,0.9918886198547215,0.8160919540229885,0.27734375,0.4139941690962099,0.8776716494556352,0.4591146331535753,0.0006524221171097701,0.8617794513702393,163184,0.9964891041162227,0.5726495726495726,0.6442307692307693,0.6063348416289592,0.960407457573226,0.5937322722256071,0.002026260333927703,0.9925343018563357,0.762962962962963,0.40234375,0.5268542199488491,0.8776716494556352,0.4591146331535753,0.0013048442342195401
8,0.20169100143643692,0.994161138750691,0.6154721274175199,0.05824880674481392,0.9975786924939467,0.7682926829268293,0.6057692307692307,0.6774193548387096,0.9603891432971308,0.5915228376239186,0.0007699789268925272,0.06500373035669327,0.9922114608555287,0.8181818181818182,0.31640625,0.4563380281690141,0.8827551582123634,0.4635627607153364,0.0007339748817484913,0.8324474692344666,163184,0.9961662631154157,0.536,0.6442307692307693,0.5851528384279476,0.9603891432971308,0.5915228376239186,0.0023504619873561355,0.9923728813559322,0.7248322147651006,0.421875,0.5333333333333333,0.8827551582123634,0.4635627607153364,0.0016718316750937857
9,0.19356098088854143,0.9938847429519071,0.609271523178808,0.05792447552084923,0.9977401129943503,0.8529411764705882,0.5576923076923077,0.6744186046511628,0.9621929046597752,0.593215720838036,0.00040525206678554063,0.0642722025513649,0.9919693301049233,0.8275862068965517,0.28125,0.4198250728862974,0.883629461191078,0.47106747279173244,0.0006116457347904094,0.938075840473175,163184,0.9959241323648104,0.5112781954887218,0.6538461538461539,0.5738396624472574,0.9621929046597752,0.593215720838036,0.002634138434106014,0.9923728813559322,0.7189542483660131,0.4296875,0.5378973105134475,0.883629461191078,0.47106747279173244,0.001753384439732507
10,0.18468065722664467,0.9938156440022111,0.6091703056768559,0.05216294154524803,0.9975383373688459,0.7529411764705882,0.6153846153846154,0.6772486772486772,0.9616436712096463,0.5880820767090086,0.0008510293402496353,0.05896230414509773,0.9926150121065376,0.8288288288288288,0.359375,0.5013623978201635,0.8874096388996492,0.4730823331583042,0.0007747512640678519,0.8274832367897034,163184,0.9956012913640032,0.48226950354609927,0.6538461538461539,0.5551020408163265,0.9616436712096463,0.5880820767090086,0.0029583400875344465,0.992453591606134,0.7254901960784313,0.43359375,0.5427872860635696,0.8874096388996492,0.4730823331583042,0.0017126080574131463
